"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-06-12 11:05:02,5907
2024-06-12 11:05:04,5911
2024-06-12 11:05:06,6194
2024-06-12 11:05:08,6104
2024-06-12 11:05:10,6069
2024-06-12 11:05:12,8916
2024-06-12 11:05:14,9299
2024-06-12 11:05:16,9346
2024-06-12 11:05:18,9877
2024-06-12 11:05:20,9952
2024-06-12 11:05:22,10350
2024-06-12 11:05:24,12040
2024-06-12 11:05:26,12193
2024-06-12 11:05:28,12635
2024-06-12 11:05:30,12935
2024-06-12 11:05:32,25288
2024-06-12 11:05:34,26594
2024-06-12 11:05:36,26622
2024-06-12 11:05:38,27366
2024-06-12 11:05:40,27485
2024-06-12 11:05:42,41041
2024-06-12 11:05:44,41109
2024-06-12 11:05:46,43165
2024-06-12 11:05:48,43923
2024-06-12 11:05:50,43971
2024-06-12 11:05:52,45108
2024-06-12 11:05:54,49275
2024-06-12 11:05:56,49387
2024-06-12 11:05:58,49153
2024-06-12 11:06:00,73345
2024-06-12 11:06:02,73436
2024-06-12 11:06:04,75378
2024-06-12 11:06:06,75756
2024-06-12 11:06:08,76981
2024-06-12 11:06:10,77546
2024-06-12 11:06:12,83989
2024-06-12 11:06:14,85745
2024-06-12 11:06:16,111824
2024-06-12 11:06:18,113060
2024-06-12 11:06:20,113141
2024-06-12 11:06:22,118611
2024-06-12 11:06:24,119293
2024-06-12 11:06:26,138059
2024-06-12 11:06:28,139268
2024-06-12 11:06:30,139350
2024-06-12 11:06:32,145783
2024-06-12 11:06:34,148697
2024-06-12 11:06:36,154213
2024-06-12 11:06:38,175306
2024-06-12 11:06:40,175630
2024-06-12 11:06:42,175871
2024-06-12 11:06:44,175772
2024-06-12 11:06:46,178503
2024-06-12 11:06:48,178710
2024-06-12 11:06:50,179653
2024-06-12 11:06:52,216241
2024-06-12 11:06:54,216727
2024-06-12 11:06:56,224908
2024-06-12 11:06:58,224995
2024-06-12 11:07:00,226395
2024-06-12 11:07:02,226711
2024-06-12 11:07:04,232341
2024-06-12 11:07:06,262059
2024-06-12 11:07:08,262995
2024-06-12 11:07:10,264475
2024-06-12 11:07:12,273808
2024-06-12 11:07:14,276160
2024-06-12 11:07:16,296615
2024-06-12 11:07:18,304873
2024-06-12 11:07:20,308242
2024-06-12 11:07:22,310301
2024-06-12 11:07:24,310486
2024-06-12 11:07:26,319211
2024-06-12 11:07:28,319674
2024-06-12 11:07:30,319890
2024-06-12 11:07:32,321632
2024-06-12 11:07:34,363142
2024-06-12 11:07:36,377815
2024-06-12 11:07:38,378365
2024-06-12 11:07:40,384236
2024-06-12 11:07:42,383966
2024-06-12 11:07:44,388025
2024-06-12 11:07:46,389992
2024-06-12 11:07:48,388781
2024-06-12 11:07:50,428383
2024-06-12 11:07:52,443852
2024-06-12 11:07:54,446595
2024-06-12 11:07:56,447493
2024-06-12 11:07:58,448324
2024-06-12 11:08:00,449227
2024-06-12 11:08:02,457869
2024-06-12 11:08:04,451527
2024-06-12 11:08:06,504056
2024-06-12 11:08:08,504465
2024-06-12 11:08:10,506315
2024-06-12 11:08:12,508787
2024-06-12 11:08:14,510012
2024-06-12 11:08:16,509954
2024-06-12 11:08:18,530646
2024-06-12 11:08:20,567152
2024-06-12 11:08:22,569183
2024-06-12 11:08:24,571526
2024-06-12 11:08:26,573532
2024-06-12 11:08:28,573688
2024-06-12 11:08:30,576066
2024-06-12 11:08:32,591132
2024-06-12 11:08:34,596623
2024-06-12 11:08:36,603847
2024-06-12 11:08:38,636442
2024-06-12 11:08:40,637015
2024-06-12 11:08:42,665467
2024-06-12 11:08:44,666315
2024-06-12 11:08:46,675417
2024-06-12 11:08:48,676002
2024-06-12 11:08:50,677339
2024-06-12 11:08:52,678128
2024-06-12 11:08:54,709017
2024-06-12 11:08:56,709811
2024-06-12 11:08:58,745557
2024-06-12 11:09:00,747782
2024-06-12 11:09:02,752799
2024-06-12 11:09:04,770924
2024-06-12 11:09:06,771319
2024-06-12 11:09:08,772039
2024-06-12 11:09:10,775234
2024-06-12 11:09:12,779555
2024-06-12 11:09:14,808195
2024-06-12 11:09:16,808964
2024-06-12 11:09:18,819433
2024-06-12 11:09:20,841658
2024-06-12 11:09:22,845776
2024-06-12 11:09:24,846112
2024-06-12 11:09:26,848145
2024-06-12 11:09:28,884387
2024-06-12 11:09:30,885414
2024-06-12 11:09:32,893280
2024-06-12 11:09:34,911090
2024-06-12 11:09:36,907371
2024-06-12 11:09:38,907619
2024-06-12 11:09:40,917120
2024-06-12 11:09:42,918500
2024-06-12 11:09:44,938136
2024-06-12 11:09:46,964572
2024-06-12 11:09:48,984075
2024-06-12 11:09:50,984067
2024-06-12 11:09:52,987404
2024-06-12 11:09:54,983952
2024-06-12 11:09:56,983464
2024-06-12 11:09:58,1000789
2024-06-12 11:10:00,1009170
2024-06-12 11:10:02,1032784
2024-06-12 11:10:04,1035835
2024-06-12 11:10:06,1037069
2024-06-12 11:10:08,1037026
2024-06-12 11:10:10,1049675
2024-06-12 11:10:12,1063062
2024-06-12 11:10:14,1069085
2024-06-12 11:10:16,1094948
2024-06-12 11:10:18,1096111
2024-06-12 11:10:20,1082064
2024-06-12 11:10:22,1082530
2024-06-12 11:10:24,1073569
2024-06-12 11:10:26,1077805
2024-06-12 11:10:28,1078761
2024-06-12 11:10:30,1079100
2024-06-12 11:10:32,1075967
2024-06-12 11:10:34,1074342
2024-06-12 11:10:36,1074230
2024-06-12 11:10:38,1075241
2024-06-12 11:10:40,1075198
2024-06-12 11:10:42,1076964
2024-06-12 11:10:44,1082178
2024-06-12 11:10:46,1099043
2024-06-12 11:10:48,1099925
2024-06-12 11:10:50,1094957
2024-06-12 11:10:52,1095510
2024-06-12 11:10:54,1100273
2024-06-12 11:10:56,1105744
2024-06-12 11:10:58,1107904
2024-06-12 11:11:00,1122884
2024-06-12 11:11:02,1097628
2024-06-12 11:11:04,1092909
2024-06-12 11:11:06,1130057
2024-06-12 11:11:08,1129982
2024-06-12 11:11:10,1132442
2024-06-12 11:11:12,1134924
2024-06-12 11:11:14,1135838
2024-06-12 11:11:16,1146983
2024-06-12 11:11:18,1147953
2024-06-12 11:11:20,1155749
2024-06-12 11:11:22,1157911
2024-06-12 11:11:24,1158107
2024-06-12 11:11:26,1165833
2024-06-12 11:11:28,1166268
2024-06-12 11:11:30,1167635
2024-06-12 11:11:32,1163099
2024-06-12 11:11:34,1164390
2024-06-12 11:11:36,1174715
2024-06-12 11:11:38,1191026
2024-06-12 11:11:40,1192662
2024-06-12 11:11:42,1192838
2024-06-12 11:11:44,1192931
2024-06-12 11:11:46,1193191
2024-06-12 11:11:48,1193646
2024-06-12 11:11:50,1193253
2024-06-12 11:11:52,1176096
2024-06-12 11:11:54,1171282
2024-06-12 11:11:56,1214703
2024-06-12 11:11:58,1214928
2024-06-12 11:12:00,1215884
2024-06-12 11:12:02,1217992
2024-06-12 11:12:04,1218746
2024-06-12 11:12:06,1224437
2024-06-12 11:12:08,1224050
2024-06-12 11:12:10,1224910
2024-06-12 11:12:12,1196366
2024-06-12 11:12:14,1231277
2024-06-12 11:12:16,1207344
2024-06-12 11:12:18,1235045
2024-06-12 11:12:20,1233420
2024-06-12 11:12:22,1234209
2024-06-12 11:12:24,1237135
2024-06-12 11:12:26,1247822
2024-06-12 11:12:28,1246786
2024-06-12 11:12:30,1245765
2024-06-12 11:12:32,1243960
2024-06-12 11:12:34,1252311
2024-06-12 11:12:36,1249354
2024-06-12 11:12:38,1249346
2024-06-12 11:12:40,1249581
2024-06-12 11:12:42,1248690
2024-06-12 11:12:44,1246200
2024-06-12 11:12:46,1246265
2024-06-12 11:12:48,1245879
2024-06-12 11:12:50,1249222
2024-06-12 11:12:52,1221458
