"Time","default"
2024-06-17 11:25:22,0.00180
2024-06-17 11:25:24,0.00186
2024-06-17 11:25:26,0.00163
2024-06-17 11:25:28,0.00166
2024-06-17 11:25:30,0.00170
2024-06-17 11:25:32,0.00187
2024-06-17 11:25:34,0.00191
2024-06-17 11:25:36,0.00201
2024-06-17 11:25:38,0.00282
2024-06-17 11:25:40,0.00287
2024-06-17 11:25:42,0.00298
2024-06-17 11:25:44,0.00305
2024-06-17 11:25:46,0.00364
2024-06-17 11:25:48,0.00376
2024-06-17 11:25:50,0.00399
2024-06-17 11:25:52,0.00497
2024-06-17 11:25:54,0.00506
2024-06-17 11:25:56,0.00512
2024-06-17 11:25:58,0.00546
2024-06-17 11:26:00,0.00601
2024-06-17 11:26:02,0.00631
2024-06-17 11:26:04,0.00673
2024-06-17 11:26:06,0.00748
2024-06-17 11:26:08,0.00770
2024-06-17 11:26:10,0.00777
2024-06-17 11:26:12,0.00857
2024-06-17 11:26:14,0.00886
2024-06-17 11:26:16,0.00964
2024-06-17 11:26:18,0.0101
2024-06-17 11:26:20,0.0101
2024-06-17 11:26:22,0.0108
2024-06-17 11:26:24,0.0112
2024-06-17 11:26:26,0.0124
2024-06-17 11:26:28,0.0128
2024-06-17 11:26:30,0.0133
2024-06-17 11:26:32,0.0141
2024-06-17 11:26:34,0.0141
2024-06-17 11:26:36,0.0142
2024-06-17 11:26:38,0.0149
2024-06-17 11:26:40,0.0152
2024-06-17 11:26:42,0.0169
2024-06-17 11:26:44,0.0172
2024-06-17 11:26:46,0.0178
2024-06-17 11:26:48,0.0180
2024-06-17 11:26:50,0.0186
2024-06-17 11:26:52,0.0186
2024-06-17 11:26:54,0.0188
2024-06-17 11:26:56,0.0196
2024-06-17 11:26:58,0.0205
2024-06-17 11:27:00,0.0215
2024-06-17 11:27:02,0.0216
2024-06-17 11:27:04,0.0219
2024-06-17 11:27:06,0.0223
2024-06-17 11:27:08,0.0225
2024-06-17 11:27:10,0.0238
2024-06-17 11:27:12,0.0244
2024-06-17 11:27:14,0.0243
2024-06-17 11:27:16,0.0252
2024-06-17 11:27:18,0.0254
2024-06-17 11:27:20,0.0256
2024-06-17 11:27:22,0.0260
2024-06-17 11:27:24,0.0265
2024-06-17 11:27:26,0.0268
2024-06-17 11:27:28,0.0283
2024-06-17 11:27:30,0.0294
2024-06-17 11:27:32,0.0298
2024-06-17 11:27:34,0.0300
2024-06-17 11:27:36,0.0303
2024-06-17 11:27:38,0.0307
2024-06-17 11:27:40,0.0318
2024-06-17 11:27:42,0.0321
2024-06-17 11:27:44,0.0327
2024-06-17 11:27:46,0.0333
2024-06-17 11:27:48,0.0340
2024-06-17 11:27:50,0.0341
2024-06-17 11:27:52,0.0347
2024-06-17 11:27:54,0.0349
2024-06-17 11:27:56,0.0355
2024-06-17 11:27:58,0.0362
2024-06-17 11:28:00,0.0367
2024-06-17 11:28:02,0.0375
2024-06-17 11:28:04,0.0382
2024-06-17 11:28:06,0.0383
2024-06-17 11:28:08,0.0381
2024-06-17 11:28:10,0.0392
2024-06-17 11:28:12,0.0395
2024-06-17 11:28:14,0.0399
2024-06-17 11:28:16,0.0414
2024-06-17 11:28:18,0.0415
2024-06-17 11:28:20,0.0424
2024-06-17 11:28:22,0.0430
2024-06-17 11:28:24,0.0433
2024-06-17 11:28:26,0.0440
2024-06-17 11:28:28,0.0441
2024-06-17 11:28:30,0.0446
2024-06-17 11:28:32,0.0449
2024-06-17 11:28:34,0.0458
2024-06-17 11:28:36,0.0460
2024-06-17 11:28:38,0.0469
2024-06-17 11:28:40,0.0479
2024-06-17 11:28:42,0.0480
2024-06-17 11:28:44,0.0482
2024-06-17 11:28:46,0.0480
2024-06-17 11:28:48,0.0494
2024-06-17 11:28:50,0.0498
2024-06-17 11:28:52,0.0502
2024-06-17 11:28:54,0.0510
2024-06-17 11:28:56,0.0515
2024-06-17 11:28:58,0.0522
2024-06-17 11:29:00,0.0529
2024-06-17 11:29:02,0.0533
2024-06-17 11:29:04,0.0536
2024-06-17 11:29:06,0.0533
2024-06-17 11:29:08,0.0534
2024-06-17 11:29:10,0.0534
2024-06-17 11:29:12,0.0546
2024-06-17 11:29:14,0.0547
2024-06-17 11:29:16,0.0551
2024-06-17 11:29:18,0.0558
2024-06-17 11:29:20,0.0562
2024-06-17 11:29:22,0.0568
2024-06-17 11:29:24,0.0565
2024-06-17 11:29:26,0.0561
2024-06-17 11:29:28,0.0556
2024-06-17 11:29:30,0.0562
2024-06-17 11:29:32,0.0566
2024-06-17 11:29:34,0.0570
2024-06-17 11:29:36,0.0580
2024-06-17 11:29:38,0.0581
2024-06-17 11:29:40,0.0582
2024-06-17 11:29:42,0.0586
2024-06-17 11:29:44,0.0595
2024-06-17 11:29:46,0.0599
2024-06-17 11:29:48,0.0600
2024-06-17 11:29:50,0.0601
2024-06-17 11:29:52,0.0603
2024-06-17 11:29:54,0.0613
2024-06-17 11:29:56,0.0613
2024-06-17 11:29:58,0.0620
2024-06-17 11:30:00,0.0632
2024-06-17 11:30:02,0.0633
2024-06-17 11:30:04,0.0636
2024-06-17 11:30:06,0.0648
2024-06-17 11:30:08,0.0649
2024-06-17 11:30:10,0.0648
2024-06-17 11:30:12,0.0652
2024-06-17 11:30:14,0.0662
2024-06-17 11:30:16,0.0668
2024-06-17 11:30:18,0.0673
2024-06-17 11:30:20,0.0671
2024-06-17 11:30:22,0.0684
2024-06-17 11:30:24,0.0685
2024-06-17 11:30:26,0.0686
2024-06-17 11:30:28,0.0693
2024-06-17 11:30:30,0.0695
2024-06-17 11:30:32,0.0697
2024-06-17 11:30:34,0.0698
2024-06-17 11:30:36,0.0698
2024-06-17 11:30:38,0.0705
2024-06-17 11:30:40,0.0700
2024-06-17 11:30:42,0.0708
2024-06-17 11:30:44,0.0704
2024-06-17 11:30:46,0.0712
2024-06-17 11:30:48,0.0713
2024-06-17 11:30:50,0.0714
2024-06-17 11:30:52,0.0713
2024-06-17 11:30:54,0.0713
2024-06-17 11:30:56,0.0712
2024-06-17 11:30:58,0.0713
2024-06-17 11:31:00,0.0720
2024-06-17 11:31:02,0.0720
2024-06-17 11:31:04,0.0716
2024-06-17 11:31:06,0.0714
2024-06-17 11:31:08,0.0719
2024-06-17 11:31:10,0.0719
2024-06-17 11:31:12,0.0717
2024-06-17 11:31:14,0.0720
2024-06-17 11:31:16,0.0708
2024-06-17 11:31:18,0.0710
2024-06-17 11:31:20,0.0710
2024-06-17 11:31:22,0.0703
2024-06-17 11:31:24,0.0708
