"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-17 11:25:22,0
2024-06-17 11:25:24,0
2024-06-17 11:25:26,0
2024-06-17 11:25:28,0
2024-06-17 11:25:30,0
2024-06-17 11:25:32,0
2024-06-17 11:25:34,0
2024-06-17 11:25:36,0
2024-06-17 11:25:38,0
2024-06-17 11:25:40,0
2024-06-17 11:25:42,0
2024-06-17 11:25:44,0
2024-06-17 11:25:46,0
2024-06-17 11:25:48,0
2024-06-17 11:25:50,0
2024-06-17 11:25:52,0
2024-06-17 11:25:54,0
2024-06-17 11:25:56,0
2024-06-17 11:25:58,0
2024-06-17 11:26:00,0
2024-06-17 11:26:02,0
2024-06-17 11:26:04,0
2024-06-17 11:26:06,0
2024-06-17 11:26:08,0
2024-06-17 11:26:10,0
2024-06-17 11:26:12,0
2024-06-17 11:26:14,0
2024-06-17 11:26:16,0
2024-06-17 11:26:18,0
2024-06-17 11:26:20,0
2024-06-17 11:26:22,0
2024-06-17 11:26:24,0
2024-06-17 11:26:26,0
2024-06-17 11:26:28,0
2024-06-17 11:26:30,166
2024-06-17 11:26:32,171
2024-06-17 11:26:34,176
2024-06-17 11:26:36,176
2024-06-17 11:26:38,245
2024-06-17 11:26:40,245
2024-06-17 11:26:42,248
2024-06-17 11:26:44,250
2024-06-17 11:26:46,312
2024-06-17 11:26:48,310
2024-06-17 11:26:50,315
2024-06-17 11:26:52,316
2024-06-17 11:26:54,319
2024-06-17 11:26:56,316
2024-06-17 11:26:58,316
2024-06-17 11:27:00,315
2024-06-17 11:27:02,314
2024-06-17 11:27:04,311
2024-06-17 11:27:06,315
2024-06-17 11:27:08,321
2024-06-17 11:27:10,317
2024-06-17 11:27:12,317
2024-06-17 11:27:14,317
2024-06-17 11:27:16,309
2024-06-17 11:27:18,315
2024-06-17 11:27:20,319
2024-06-17 11:27:22,319
2024-06-17 11:27:24,323
2024-06-17 11:27:26,323
2024-06-17 11:27:28,705
2024-06-17 11:27:30,703
2024-06-17 11:27:32,703
2024-06-17 11:27:34,705
2024-06-17 11:27:36,722
2024-06-17 11:27:38,724
2024-06-17 11:27:40,725
2024-06-17 11:27:42,1113
2024-06-17 11:27:44,1113
2024-06-17 11:27:46,1107
2024-06-17 11:27:48,1107
2024-06-17 11:27:50,1123
2024-06-17 11:27:52,1139
2024-06-17 11:27:54,1139
2024-06-17 11:27:56,1115
2024-06-17 11:27:58,1117
2024-06-17 11:28:00,1133
2024-06-17 11:28:02,1121
2024-06-17 11:28:04,1121
2024-06-17 11:28:06,1121
2024-06-17 11:28:08,1112
2024-06-17 11:28:10,1116
2024-06-17 11:28:12,1130
2024-06-17 11:28:14,1130
2024-06-17 11:28:16,1108
2024-06-17 11:28:18,1108
2024-06-17 11:28:20,1109
2024-06-17 11:28:22,1109
2024-06-17 11:28:24,1109
2024-06-17 11:28:26,1102
2024-06-17 11:28:28,1120
2024-06-17 11:28:30,1137
2024-06-17 11:28:32,1139
2024-06-17 11:28:34,1143
2024-06-17 11:28:36,1113
2024-06-17 11:28:38,1136
2024-06-17 11:28:40,1116
2024-06-17 11:28:42,1116
2024-06-17 11:28:44,1113
2024-06-17 11:28:46,1111
2024-06-17 11:28:48,1091
2024-06-17 11:28:50,1121
2024-06-17 11:28:52,1132
2024-06-17 11:28:54,1148
2024-06-17 11:28:56,1121
2024-06-17 11:28:58,1121
2024-06-17 11:29:00,1124
2024-06-17 11:29:02,1124
2024-06-17 11:29:04,1150
2024-06-17 11:29:06,1133
2024-06-17 11:29:08,1116
2024-06-17 11:29:10,1146
2024-06-17 11:29:12,1127
2024-06-17 11:29:14,1110
2024-06-17 11:29:16,1110
2024-06-17 11:29:18,1110
2024-06-17 11:29:20,1134
2024-06-17 11:29:22,1138
2024-06-17 11:29:24,1111
2024-06-17 11:29:26,1132
2024-06-17 11:29:28,1132
2024-06-17 11:29:30,1104
2024-06-17 11:29:32,1104
2024-06-17 11:29:34,1136
2024-06-17 11:29:36,1140
2024-06-17 11:29:38,1140
2024-06-17 11:29:40,1166
2024-06-17 11:29:42,1126
2024-06-17 11:29:44,1107
2024-06-17 11:29:46,1107
2024-06-17 11:29:48,1107
2024-06-17 11:29:50,1107
2024-06-17 11:29:52,1135
2024-06-17 11:29:54,1117
2024-06-17 11:29:56,1109
2024-06-17 11:29:58,1108
2024-06-17 11:30:00,1127
2024-06-17 11:30:02,1127
2024-06-17 11:30:04,1127
2024-06-17 11:30:06,1156
2024-06-17 11:30:08,1156
2024-06-17 11:30:10,1103
2024-06-17 11:30:12,1100
2024-06-17 11:30:14,1102
2024-06-17 11:30:16,1119
2024-06-17 11:30:18,1135
2024-06-17 11:30:20,1135
2024-06-17 11:30:22,1170
2024-06-17 11:30:24,1163
2024-06-17 11:30:26,1106
2024-06-17 11:30:28,1106
2024-06-17 11:30:30,1106
2024-06-17 11:30:32,1109
2024-06-17 11:30:34,1126
2024-06-17 11:30:36,1127
2024-06-17 11:30:38,1127
2024-06-17 11:30:40,1159
2024-06-17 11:30:42,1103
2024-06-17 11:30:44,1120
2024-06-17 11:30:46,1124
2024-06-17 11:30:48,1124
2024-06-17 11:30:50,1120
2024-06-17 11:30:52,1119
2024-06-17 11:30:54,1119
2024-06-17 11:30:56,1113
2024-06-17 11:30:58,1105
2024-06-17 11:31:00,1141
2024-06-17 11:31:02,1139
2024-06-17 11:31:04,1139
2024-06-17 11:31:06,1139
2024-06-17 11:31:08,1139
2024-06-17 11:31:10,1092
2024-06-17 11:31:12,1092
2024-06-17 11:31:14,1092
2024-06-17 11:31:16,964
2024-06-17 11:31:18,1524
2024-06-17 11:31:20,1532
2024-06-17 11:31:22,1532
2024-06-17 11:31:24,1470
2024-06-17 11:31:26,1458
2024-06-17 11:31:28,1431
2024-06-17 11:31:30,1465
2024-06-17 11:31:32,1409
2024-06-17 11:31:34,1383
2024-06-17 11:31:36,1381
2024-06-17 11:31:38,1370
2024-06-17 11:31:40,1370
2024-06-17 11:31:42,1370
2024-06-17 11:31:44,1371
2024-06-17 11:31:46,1370
2024-06-17 11:31:48,1375
2024-06-17 11:31:50,1369
2024-06-17 11:31:52,1379
2024-06-17 11:31:54,1391
2024-06-17 11:31:56,1391
2024-06-17 11:31:58,1391
2024-06-17 11:32:00,1397
2024-06-17 11:32:02,1397
2024-06-17 11:32:04,1373
2024-06-17 11:32:06,1350
2024-06-17 11:32:08,1366
2024-06-17 11:32:10,1386
2024-06-17 11:32:12,1386
2024-06-17 11:32:14,1372
2024-06-17 11:32:16,993
2024-06-17 11:32:18,973
2024-06-17 11:32:20,960
2024-06-17 11:32:22,960
2024-06-17 11:32:24,976
2024-06-17 11:32:26,976
2024-06-17 11:32:28,597
2024-06-17 11:32:30,580
2024-06-17 11:32:32,580
2024-06-17 11:32:34,580
2024-06-17 11:32:36,570
2024-06-17 11:32:38,562
2024-06-17 11:32:40,576
2024-06-17 11:32:42,576
2024-06-17 11:32:44,594
2024-06-17 11:32:46,594
2024-06-17 11:32:48,575
2024-06-17 11:32:50,575
2024-06-17 11:32:52,575
2024-06-17 11:32:54,574
2024-06-17 11:32:56,566
2024-06-17 11:32:58,576
2024-06-17 11:33:00,576
2024-06-17 11:33:02,592
2024-06-17 11:33:04,592
2024-06-17 11:33:06,562
2024-06-17 11:33:08,562
2024-06-17 11:33:10,562
2024-06-17 11:33:12,562
2024-06-17 11:33:14,574
2024-06-17 11:33:16,589
2024-06-17 11:33:18,577
2024-06-17 11:33:20,577
