"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-tjvqt","loadgenerator-7c6fb64488-vz2nl","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-17 11:25:22,111,139,178,153,322,1001,4581,143,154,168,325,67.3,227
2024-06-17 11:25:24,110,139,177,153,322,1001,4548,158,154,168,325,67.3,229
2024-06-17 11:25:26,110,139,177,197,320,1001,4516,173,153,168,325,67.3,229
2024-06-17 11:25:28,110,139,177,203,314,2466,4483,188,153,168,325,67.3,227
2024-06-17 11:25:30,110,134,177,203,314,2466,4451,202,153,168,325,67.3,227
2024-06-17 11:25:32,110,243,177,203,314,2466,4418,434,153,168,325,67.3,227
2024-06-17 11:25:34,110,243,177,203,314,2549,4386,463,153,169,444,66.4,227
2024-06-17 11:25:36,110,243,177,203,314,2549,4206,493,153,1473,444,66.4,227
2024-06-17 11:25:38,110,243,177,701,314,2549,4348,522,144,1473,435,64.3,227
2024-06-17 11:25:40,106,243,353,701,314,2549,4315,552,149,1473,438,144,303
2024-06-17 11:25:42,106,243,353,701,307,12308,4282,582,174,1473,452,144,303
2024-06-17 11:25:44,292,243,353,701,339,12308,4250,611,174,1473,452,144,300
2024-06-17 11:25:46,300,738,353,716,339,12308,4217,1446,174,1473,452,150,310
2024-06-17 11:25:48,300,738,353,739,339,12308,4184,1512,174,1473,452,150,310
2024-06-17 11:25:50,300,738,353,739,339,12956,4151,1579,174,1538,848,150,310
2024-06-17 11:25:52,300,738,361,739,339,12956,4119,1646,174,5658,848,150,310
2024-06-17 11:25:54,300,738,794,739,364,28134,4086,1713,174,5658,848,150,310
2024-06-17 11:25:56,300,738,794,714,364,28134,4062,1779,174,5658,848,145,519
2024-06-17 11:25:58,300,1361,794,1980,364,28134,4030,1846,171,5658,875,374,519
2024-06-17 11:26:00,292,1361,794,1980,364,28134,3997,1913,233,5658,1275,374,519
2024-06-17 11:26:02,301,1361,794,1980,364,28134,3964,3059,233,9231,1275,386,527
2024-06-17 11:26:04,697,1361,825,2054,364,28134,3931,3162,233,9483,1275,386,527
2024-06-17 11:26:06,697,1361,825,2054,395,48653,3898,3265,233,9763,1275,386,527
2024-06-17 11:26:08,697,1361,825,2054,393,48990,3865,3368,233,9763,1275,386,527
2024-06-17 11:26:10,697,2157,825,3066,393,50571,3833,3471,233,9763,1289,573,527
2024-06-17 11:26:12,697,2157,1610,3066,393,50571,3800,3574,275,9763,1877,573,544
2024-06-17 11:26:14,697,2157,1610,3066,393,50571,3758,3678,281,9763,1877,603,834
2024-06-17 11:26:16,697,2157,1610,3237,393,50571,3725,3781,281,9763,1877,603,834
2024-06-17 11:26:18,697,2157,1670,3237,400,50571,3692,3884,281,16734,1877,603,834
2024-06-17 11:26:20,1202,2157,1670,3237,400,77014,3659,5405,281,17543,1877,807,834
2024-06-17 11:26:22,1202,2217,1670,4452,387,77014,3627,5545,328,17543,1877,807,834
2024-06-17 11:26:24,1202,2232,2407,4452,471,77014,3594,5685,328,17543,1877,807,834
2024-06-17 11:26:26,1202,3533,2407,4452,471,79717,3561,5824,328,17543,1877,807,1086
2024-06-17 11:26:28,1202,3533,2407,4452,471,79717,3528,5964,328,17543,1904,807,1086
2024-06-17 11:26:30,1202,3533,2485,4452,482,79717,3524,6104,340,17543,2914,849,1086
2024-06-17 11:26:32,1202,3533,2485,4680,482,79717,3491,6244,340,24057,2914,849,1086
2024-06-17 11:26:34,1235,3533,2485,4680,482,79717,3458,7658,340,24701,2914,1146,1086
2024-06-17 11:26:36,1710,3533,2485,4680,482,123371,3425,7826,340,25561,2914,1146,1086
2024-06-17 11:26:38,1767,4299,2485,6086,482,123371,3392,7993,330,25561,2914,1146,1132
2024-06-17 11:26:40,1767,4299,2607,6086,465,123371,3359,8161,327,25561,2914,1146,1132
2024-06-17 11:26:42,1767,4427,3510,6086,462,123371,3326,8329,418,25561,2914,1146,1436
2024-06-17 11:26:44,1767,4591,3510,6086,557,123371,3041,8497,418,25561,3844,1146,1436
2024-06-17 11:26:46,1767,4591,3510,6433,551,123371,3169,8664,427,25561,3844,1397,1436
2024-06-17 11:26:48,1767,4591,3510,7438,570,123371,3137,8832,427,24715,3844,1397,1436
2024-06-17 11:26:50,1767,4591,3510,7438,570,153427,3105,8206,427,24545,3844,1397,1436
2024-06-17 11:26:52,1767,5466,3510,7438,570,159050,3073,10473,427,35752,3844,1397,1436
2024-06-17 11:26:54,2284,5466,4302,7438,570,159050,3041,10665,469,35752,3844,1397,1515
2024-06-17 11:26:56,2300,5466,4302,7438,610,159050,3009,10856,469,35752,3844,1637,1515
2024-06-17 11:26:58,2376,5466,4302,7438,610,159050,2977,11048,487,35752,3844,1637,1764
2024-06-17 11:27:00,2376,5677,4302,7438,610,159050,2944,11240,487,35752,4643,1721,1764
2024-06-17 11:27:02,2376,5677,4302,7652,610,159050,2954,11431,487,35752,4675,1721,1764
2024-06-17 11:27:04,2376,6418,4302,7692,625,169452,2922,11623,487,35752,4838,1721,1764
2024-06-17 11:27:06,2376,6418,4302,7639,625,202980,2889,12629,487,34707,4838,1721,1764
2024-06-17 11:27:08,2376,6418,5138,9671,676,202980,2857,12833,550,45087,4838,1721,1764
2024-06-17 11:27:10,2699,6418,5138,9671,676,202980,2824,13038,550,45087,4838,1721,1851
2024-06-17 11:27:12,2699,6794,5400,9671,676,202980,2792,13243,569,45087,4838,2033,2103
2024-06-17 11:27:14,2831,6794,5400,9671,676,202980,2759,13448,569,45087,4838,2128,2103
2024-06-17 11:27:16,2831,6794,5400,9671,673,202980,2726,13653,569,45087,4673,2128,2103
2024-06-17 11:27:18,2831,6794,5995,9671,697,202980,2663,13858,569,45087,5733,2128,2103
2024-06-17 11:27:20,2831,7859,5995,9671,697,213847,2631,14870,614,47405,6019,2128,2103
2024-06-17 11:27:22,2831,7859,5995,11345,742,213847,2599,15087,614,47405,6019,2128,2103
2024-06-17 11:27:24,2831,7859,5995,11345,742,246824,2566,15303,614,45992,6019,2128,2300
2024-06-17 11:27:26,2735,7859,6166,11345,742,246824,2534,15520,614,45676,6019,2128,2404
2024-06-17 11:27:28,3446,8296,6209,11345,742,246824,2526,15737,641,55347,6019,2147,2404
2024-06-17 11:27:30,3446,8296,6973,11345,742,246824,2493,15953,641,55347,6019,2133,2404
2024-06-17 11:27:32,3446,8296,6973,11345,775,246824,2461,16170,641,55347,6624,2564,2404
2024-06-17 11:27:34,3446,8296,6973,11345,800,246824,2428,16387,641,58560,6624,2564,2404
2024-06-17 11:27:36,3446,9203,6973,11751,800,257282,2396,17258,622,58560,6995,2564,2541
2024-06-17 11:27:38,3446,9203,6973,11806,800,283596,2169,17483,691,58560,6995,2564,2541
2024-06-17 11:27:40,3681,9203,6973,13531,800,283596,2293,17708,691,62342,6995,2655,2650
2024-06-17 11:27:42,3911,9203,7427,13531,800,283596,2261,17933,691,62342,7365,2655,2650
2024-06-17 11:27:44,3911,9588,7427,13531,800,283596,2229,18158,714,62342,7365,2655,2650
2024-06-17 11:27:46,3911,9588,7864,13531,800,283596,2197,18383,714,62342,7365,2655,2650
2024-06-17 11:27:48,3911,9588,7864,13531,830,301597,2165,18609,714,62342,7365,2573,2650
2024-06-17 11:27:50,3911,9588,7864,14233,831,301597,2133,18834,751,65429,7365,2627,2650
2024-06-17 11:27:52,4190,9273,7864,14233,837,301597,2101,17892,751,65429,7628,3013,2821
2024-06-17 11:27:54,4190,9209,8288,14613,865,301597,2069,19889,751,65429,7628,3108,2994
2024-06-17 11:27:56,4190,10798,8288,14714,865,329233,2072,20121,775,63281,7628,3108,2994
2024-06-17 11:27:58,4190,11161,8288,15194,865,329233,2039,20353,775,70878,7399,3108,2994
2024-06-17 11:28:00,4365,11161,8288,15194,865,329233,2007,20586,775,70878,8154,3108,2994
2024-06-17 11:28:02,4365,11161,8504,15194,840,329233,1974,20818,775,70878,8488,3108,2994
2024-06-17 11:28:04,4365,11161,8785,15194,906,341996,1942,21050,775,74219,8488,3271,2994
2024-06-17 11:28:06,4607,11161,8785,14733,906,341996,1909,21282,752,74219,8488,3271,3151
2024-06-17 11:28:08,4607,11161,8785,14632,906,341996,1877,21515,775,74219,8488,3271,3151
2024-06-17 11:28:10,4607,11161,8510,16438,934,341996,1869,20640,854,77621,8833,3453,3151
2024-06-17 11:28:12,4772,11912,8451,16438,934,341996,1836,22560,854,77621,8833,3453,3320
2024-06-17 11:28:14,4772,12509,9511,17074,934,368267,1803,22798,854,77621,9061,3453,3320
2024-06-17 11:28:16,4772,12509,9511,17074,934,380507,1770,23037,854,77621,9124,3453,3423
2024-06-17 11:28:18,4772,12509,9511,17074,963,394296,1737,23275,854,81157,9434,3453,3423
2024-06-17 11:28:20,4772,12509,9796,17074,963,394296,1705,23514,905,81157,9434,3345,3423
2024-06-17 11:28:22,4854,12509,10115,17074,995,394296,1493,24020,905,84910,9434,3322,3423
2024-06-17 11:28:24,5319,13036,10115,17826,995,394296,1629,24261,905,84910,9434,3718,3423
2024-06-17 11:28:26,5319,13036,10115,17267,995,394296,1596,24502,905,84910,9155,3833,3423
2024-06-17 11:28:28,5319,13596,10115,17148,995,394296,1563,24743,905,84910,9951,3970,3596
2024-06-17 11:28:30,5319,13596,10527,18910,1008,381786,1531,24984,905,88193,9951,3970,3707
2024-06-17 11:28:32,5319,13596,10527,18910,1008,416636,1498,25225,941,88193,9951,3970,3707
2024-06-17 11:28:34,5319,13596,10527,18910,1008,416636,1465,25466,971,88193,10424,4092,3707
2024-06-17 11:28:36,5485,13596,10527,18910,1020,440346,1433,25707,971,91327,10424,4092,3707
2024-06-17 11:28:38,5697,13596,10968,20177,1050,440346,1400,24736,971,91327,10424,4092,3707
2024-06-17 11:28:40,5697,14000,10968,20177,1050,440346,1326,26642,971,91327,10716,4092,3707
2024-06-17 11:28:42,5962,13971,11302,20177,1050,440346,1295,26887,971,97138,10716,4092,3880
2024-06-17 11:28:44,5962,15115,11302,20856,1050,440346,1263,27133,971,97138,10716,4204,3907
2024-06-17 11:28:46,5962,15115,11302,20856,1017,440346,1231,27378,992,97138,10716,4345,4026
2024-06-17 11:28:48,5962,15115,11302,20856,1010,425819,1200,27623,992,97138,11262,4480,4026
2024-06-17 11:28:50,5962,15115,11904,20856,1083,461933,1168,27868,1031,97138,11262,4480,4026
2024-06-17 11:28:52,5962,15115,12204,20856,1122,487121,1136,28113,1031,94102,11262,4480,4026
2024-06-17 11:28:54,5962,15115,12204,20856,1122,487121,1105,28359,1031,93455,11262,4480,4026
2024-06-17 11:28:56,6411,15115,12204,21569,1122,487121,1126,28948,1055,101050,11581,4480,4134
2024-06-17 11:28:58,6411,16034,12204,22361,1122,487121,1093,29196,1055,105965,11581,4480,4134
2024-06-17 11:29:00,6411,15486,12204,22361,1122,487121,1059,29444,1055,105965,11581,4480,4134
2024-06-17 11:29:02,6411,16532,12204,21556,1122,487121,1026,29692,1106,105965,11895,4686,4352
2024-06-17 11:29:04,6411,16532,12835,23140,1147,487121,993,29941,1106,105965,12304,4812,4352
2024-06-17 11:29:06,6411,16532,12924,23140,1147,518659,960,30189,1106,105965,12304,4812,4352
2024-06-17 11:29:08,6411,16532,13337,23140,1192,526471,927,30437,1113,105965,12314,4812,4352
2024-06-17 11:29:10,6814,16532,13337,23140,1192,526471,722,30350,1113,105965,12314,4812,4326
2024-06-17 11:29:12,6814,16532,13337,23140,1192,526471,857,30596,1113,108390,12314,4812,4326
2024-06-17 11:29:14,6564,16693,13337,23140,1192,526471,824,30841,1113,109986,12314,5025,4326
2024-06-17 11:29:16,6680,16693,12853,23991,1192,526471,790,31086,1113,109986,12314,5025,4430
2024-06-17 11:29:18,6680,16693,12853,23991,1192,526471,757,31332,1138,109986,12314,5025,4461
2024-06-17 11:29:20,6680,16693,12853,23242,1156,526471,724,31577,1178,109986,12670,4788,4613
2024-06-17 11:29:22,6680,16693,12853,22886,1148,526471,690,30950,1178,109986,12758,4788,4472
2024-06-17 11:29:24,6680,16693,13415,22886,1191,527295,657,31188,1143,109986,12758,4788,4472
2024-06-17 11:29:26,7010,17237,13415,24061,1191,534985,623,31427,1135,109986,12590,4974,4472
2024-06-17 11:29:28,7010,17323,13415,24061,1191,534985,622,31666,1129,111470,12590,4974,4472
