"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-06-17 11:25:22,7569
2024-06-17 11:25:24,7552
2024-06-17 11:25:26,7574
2024-06-17 11:25:28,9021
2024-06-17 11:25:30,8999
2024-06-17 11:25:32,9307
2024-06-17 11:25:34,9505
2024-06-17 11:25:36,10658
2024-06-17 11:25:38,11308
2024-06-17 11:25:40,11641
2024-06-17 11:25:42,21428
2024-06-17 11:25:44,21641
2024-06-17 11:25:46,22975
2024-06-17 11:25:48,23032
2024-06-17 11:25:50,24175
2024-06-17 11:25:52,28337
2024-06-17 11:25:54,44008
2024-06-17 11:25:56,44229
2024-06-17 11:25:58,46405
2024-06-17 11:26:00,46893
2024-06-17 11:26:02,51609
2024-06-17 11:26:04,52433
2024-06-17 11:26:06,73333
2024-06-17 11:26:08,73738
2024-06-17 11:26:10,77398
2024-06-17 11:26:12,78901
2024-06-17 11:26:14,79287
2024-06-17 11:26:16,79529
2024-06-17 11:26:18,86637
2024-06-17 11:26:20,116086
2024-06-17 11:26:22,117502
2024-06-17 11:26:24,118446
2024-06-17 11:26:26,122810
2024-06-17 11:26:28,122945
2024-06-17 11:26:30,124232
2024-06-17 11:26:32,131081
2024-06-17 11:26:34,133436
2024-06-17 11:26:36,178559
2024-06-17 11:26:38,180958
2024-06-17 11:26:40,181196
2024-06-17 11:26:42,182753
2024-06-17 11:26:44,183824
2024-06-17 11:26:46,184722
2024-06-17 11:26:48,185036
2024-06-17 11:26:50,214263
2024-06-17 11:26:52,234203
2024-06-17 11:26:54,235793
2024-06-17 11:26:56,236248
2024-06-17 11:26:58,236750
2024-06-17 11:27:00,238003
2024-06-17 11:27:02,238452
2024-06-17 11:27:04,249970
2024-06-17 11:27:06,283373
2024-06-17 11:27:08,296908
2024-06-17 11:27:10,297490
2024-06-17 11:27:12,298883
2024-06-17 11:27:14,299284
2024-06-17 11:27:16,299288
2024-06-17 11:27:18,301110
2024-06-17 11:27:20,316670
2024-06-17 11:27:22,318574
2024-06-17 11:27:24,350519
2024-06-17 11:27:26,350567
2024-06-17 11:27:28,361683
2024-06-17 11:27:30,362617
2024-06-17 11:27:32,363870
2024-06-17 11:27:34,367293
2024-06-17 11:27:36,380391
2024-06-17 11:27:38,406826
2024-06-17 11:27:40,413118
2024-06-17 11:27:42,414365
2024-06-17 11:27:44,414966
2024-06-17 11:27:46,415597
2024-06-17 11:27:48,433739
2024-06-17 11:27:50,437813
2024-06-17 11:27:52,437630
2024-06-17 11:27:54,440629
2024-06-17 11:27:56,468067
2024-06-17 11:27:58,476477
2024-06-17 11:28:00,477608
2024-06-17 11:28:02,478333
2024-06-17 11:28:04,495145
2024-06-17 11:28:06,495259
2024-06-17 11:28:08,495381
2024-06-17 11:28:10,500066
2024-06-17 11:28:12,502980
2024-06-17 11:28:14,531977
2024-06-17 11:28:16,544588
2024-06-17 11:28:18,562458
2024-06-17 11:28:20,562892
2024-06-17 11:28:22,567350
2024-06-17 11:28:24,569867
2024-06-17 11:28:26,569352
2024-06-17 11:28:28,571107
2024-06-17 11:28:30,564386
2024-06-17 11:28:32,599480
2024-06-17 11:28:34,600313
2024-06-17 11:28:36,627543
2024-06-17 11:28:38,628491
2024-06-17 11:28:40,631020
2024-06-17 11:28:42,637788
2024-06-17 11:28:44,639964
2024-06-17 11:28:46,640425
2024-06-17 11:28:48,626786
2024-06-17 11:28:50,663826
2024-06-17 11:28:52,686533
2024-06-17 11:28:54,686099
2024-06-17 11:28:56,695916
2024-06-17 11:28:58,702757
2024-06-17 11:29:00,702424
2024-06-17 11:29:02,703668
2024-06-17 11:29:04,706659
2024-06-17 11:29:06,738500
2024-06-17 11:29:08,747002
2024-06-17 11:29:10,747089
2024-06-17 11:29:12,749895
2024-06-17 11:29:14,751826
2024-06-17 11:29:16,752625
2024-06-17 11:29:18,752893
2024-06-17 11:29:20,752630
2024-06-17 11:29:22,751552
2024-06-17 11:29:24,753151
2024-06-17 11:29:26,763106
2024-06-17 11:29:28,764909
2024-06-17 11:29:30,765114
2024-06-17 11:29:32,764649
2024-06-17 11:29:34,764158
2024-06-17 11:29:36,764787
2024-06-17 11:29:38,764365
2024-06-17 11:29:40,771824
2024-06-17 11:29:42,772059
2024-06-17 11:29:44,780437
2024-06-17 11:29:46,792463
2024-06-17 11:29:48,792654
2024-06-17 11:29:50,793150
2024-06-17 11:29:52,798479
2024-06-17 11:29:54,799141
