"Time","default"
2024-06-17 10:47:32,0.00122
2024-06-17 10:47:34,0.00122
2024-06-17 10:47:36,0.00121
2024-06-17 10:47:38,0.00121
2024-06-17 10:47:40,0.00122
2024-06-17 10:47:42,0.00122
2024-06-17 10:47:44,0.00123
2024-06-17 10:47:46,0.00123
2024-06-17 10:47:48,0.00172
2024-06-17 10:47:50,0.00179
2024-06-17 10:47:52,0.00184
2024-06-17 10:47:54,0.00190
2024-06-17 10:47:56,0.00204
2024-06-17 10:47:58,0.00241
2024-06-17 10:48:00,0.00283
2024-06-17 10:48:02,0.00289
2024-06-17 10:48:04,0.00310
2024-06-17 10:48:06,0.00327
2024-06-17 10:48:08,0.00331
2024-06-17 10:48:10,0.00348
2024-06-17 10:48:12,0.00357
2024-06-17 10:48:14,0.00467
2024-06-17 10:48:16,0.00522
2024-06-17 10:48:18,0.00555
2024-06-17 10:48:20,0.00564
2024-06-17 10:48:22,0.00569
2024-06-17 10:48:24,0.00578
2024-06-17 10:48:26,0.00713
2024-06-17 10:48:28,0.00731
2024-06-17 10:48:30,0.00755
2024-06-17 10:48:32,0.00761
2024-06-17 10:48:34,0.00838
2024-06-17 10:48:36,0.00864
2024-06-17 10:48:38,0.00888
2024-06-17 10:48:40,0.00892
2024-06-17 10:48:42,0.00900
2024-06-17 10:48:44,0.0102
2024-06-17 10:48:46,0.0112
2024-06-17 10:48:48,0.0119
2024-06-17 10:48:50,0.0124
2024-06-17 10:48:52,0.0124
2024-06-17 10:48:54,0.0126
2024-06-17 10:48:56,0.0130
2024-06-17 10:48:58,0.0136
2024-06-17 10:49:00,0.0142
2024-06-17 10:49:02,0.0147
2024-06-17 10:49:04,0.0160
2024-06-17 10:49:06,0.0163
2024-06-17 10:49:08,0.0165
2024-06-17 10:49:10,0.0167
2024-06-17 10:49:12,0.0177
2024-06-17 10:49:14,0.0181
2024-06-17 10:49:16,0.0188
2024-06-17 10:49:18,0.0201
2024-06-17 10:49:20,0.0201
2024-06-17 10:49:22,0.0202
2024-06-17 10:49:24,0.0204
2024-06-17 10:49:26,0.0207
2024-06-17 10:49:28,0.0208
2024-06-17 10:49:30,0.0212
2024-06-17 10:49:32,0.0234
2024-06-17 10:49:34,0.0238
2024-06-17 10:49:36,0.0244
2024-06-17 10:49:38,0.0246
2024-06-17 10:49:40,0.0248
2024-06-17 10:49:42,0.0251
2024-06-17 10:49:44,0.0254
2024-06-17 10:49:46,0.0259
2024-06-17 10:49:48,0.0261
2024-06-17 10:49:50,0.0272
2024-06-17 10:49:52,0.0289
2024-06-17 10:49:54,0.0290
2024-06-17 10:49:56,0.0298
2024-06-17 10:49:58,0.0299
2024-06-17 10:50:00,0.0303
2024-06-17 10:50:02,0.0303
2024-06-17 10:50:04,0.0311
2024-06-17 10:50:06,0.0316
2024-06-17 10:50:08,0.0323
2024-06-17 10:50:10,0.0327
2024-06-17 10:50:12,0.0327
2024-06-17 10:50:14,0.0327
2024-06-17 10:50:16,0.0328
2024-06-17 10:50:18,0.0326
2024-06-17 10:50:20,0.0334
2024-06-17 10:50:22,0.0336
2024-06-17 10:50:24,0.0342
2024-06-17 10:50:26,0.0346
2024-06-17 10:50:28,0.0345
2024-06-17 10:50:30,0.0346
2024-06-17 10:50:32,0.0351
2024-06-17 10:50:34,0.0354
2024-06-17 10:50:36,0.0359
2024-06-17 10:50:38,0.0373
2024-06-17 10:50:40,0.0381
