"Time","sum(rate(container_fs_reads_bytes_total{namespace=""default""}[5m]))"
2024-06-17 10:47:32,0
2024-06-17 10:47:34,0
2024-06-17 10:47:36,0
2024-06-17 10:47:38,0
2024-06-17 10:47:40,0
2024-06-17 10:47:42,0
2024-06-17 10:47:44,0
2024-06-17 10:47:46,611
2024-06-17 10:47:48,29758
2024-06-17 10:47:50,34636
2024-06-17 10:47:52,37861
2024-06-17 10:47:54,41065
2024-06-17 10:47:56,44291
2024-06-17 10:47:58,32557
2024-06-17 10:48:00,36785
2024-06-17 10:48:02,38761
2024-06-17 10:48:04,40712
2024-06-17 10:48:06,42518
2024-06-17 10:48:08,44476
2024-06-17 10:48:10,46536
2024-06-17 10:48:12,49115
2024-06-17 10:48:14,41894
2024-06-17 10:48:16,36100
2024-06-17 10:48:18,37246
2024-06-17 10:48:20,38411
2024-06-17 10:48:22,39643
2024-06-17 10:48:24,40694
2024-06-17 10:48:26,41964
2024-06-17 10:48:28,43212
2024-06-17 10:48:30,44392
2024-06-17 10:48:32,40119
2024-06-17 10:48:34,36601
2024-06-17 10:48:36,37428
2024-06-17 10:48:38,38437
2024-06-17 10:48:40,39953
2024-06-17 10:48:42,40731
2024-06-17 10:48:44,42144
2024-06-17 10:48:46,42978
2024-06-17 10:48:48,37564
2024-06-17 10:48:50,38294
2024-06-17 10:48:52,39044
2024-06-17 10:48:54,39704
2024-06-17 10:48:56,40549
2024-06-17 10:48:58,41141
2024-06-17 10:49:00,41811
2024-06-17 10:49:02,42492
2024-06-17 10:49:04,43070
2024-06-17 10:49:06,38128
2024-06-17 10:49:08,38745
2024-06-17 10:49:10,39222
2024-06-17 10:49:12,39855
2024-06-17 10:49:14,40546
2024-06-17 10:49:16,41025
2024-06-17 10:49:18,38118
2024-06-17 10:49:20,38685
2024-06-17 10:49:22,39361
2024-06-17 10:49:24,39974
2024-06-17 10:49:26,40583
2024-06-17 10:49:28,41001
2024-06-17 10:49:30,42018
2024-06-17 10:49:32,39098
2024-06-17 10:49:34,39559
2024-06-17 10:49:36,39874
2024-06-17 10:49:38,40058
2024-06-17 10:49:40,40508
2024-06-17 10:49:42,41604
2024-06-17 10:49:44,42159
2024-06-17 10:49:46,42702
2024-06-17 10:49:48,42978
2024-06-17 10:49:50,39475
2024-06-17 10:49:52,40050
2024-06-17 10:49:54,40260
2024-06-17 10:49:56,40820
2024-06-17 10:49:58,41092
2024-06-17 10:50:00,41530
2024-06-17 10:50:02,42293
2024-06-17 10:50:04,39855
2024-06-17 10:50:06,40350
2024-06-17 10:50:08,40517
2024-06-17 10:50:10,40772
2024-06-17 10:50:12,50232
2024-06-17 10:50:14,50440
2024-06-17 10:50:16,51084
2024-06-17 10:50:18,49268
2024-06-17 10:50:20,50082
2024-06-17 10:50:22,50545
2024-06-17 10:50:24,50777
2024-06-17 10:50:26,50611
2024-06-17 10:50:28,50608
2024-06-17 10:50:30,51112
2024-06-17 10:50:32,51531
2024-06-17 10:50:34,49452
2024-06-17 10:50:36,49917
2024-06-17 10:50:38,50505
2024-06-17 10:50:40,50541
2024-06-17 10:50:42,50282
2024-06-17 10:50:44,50563
2024-06-17 10:50:46,49172
2024-06-17 10:50:48,49702
2024-06-17 10:50:50,50051
2024-06-17 10:50:52,49974
2024-06-17 10:50:54,50413
2024-06-17 10:50:56,50668
2024-06-17 10:50:58,50839
2024-06-17 10:51:00,51001
2024-06-17 10:51:02,49444
