"Time","sum(rate(container_fs_writes_bytes_total{namespace=""default""}[5m]))"
2024-06-17 10:47:32,0
2024-06-17 10:47:34,0
2024-06-17 10:47:36,0
2024-06-17 10:47:38,0
2024-06-17 10:47:40,0
2024-06-17 10:47:42,0
2024-06-17 10:47:44,0
2024-06-17 10:47:46,0
2024-06-17 10:47:48,0
2024-06-17 10:47:50,2219
2024-06-17 10:47:52,2219
2024-06-17 10:47:54,2219
2024-06-17 10:47:56,2219
2024-06-17 10:47:58,4429
2024-06-17 10:48:00,4429
2024-06-17 10:48:02,4531
2024-06-17 10:48:04,4531
2024-06-17 10:48:06,4393
2024-06-17 10:48:08,4393
2024-06-17 10:48:10,4502
2024-06-17 10:48:12,4502
2024-06-17 10:48:14,4444
2024-06-17 10:48:16,4519
2024-06-17 10:48:18,4519
2024-06-17 10:48:20,4519
2024-06-17 10:48:22,4631
2024-06-17 10:48:24,4488
2024-06-17 10:48:26,4399
2024-06-17 10:48:28,4399
2024-06-17 10:48:30,4399
2024-06-17 10:48:32,4468
2024-06-17 10:48:34,4550
2024-06-17 10:48:36,4538
2024-06-17 10:48:38,4538
2024-06-17 10:48:40,4538
2024-06-17 10:48:42,4465
2024-06-17 10:48:44,4399
2024-06-17 10:48:46,4399
2024-06-17 10:48:48,4377
2024-06-17 10:48:50,4457
2024-06-17 10:48:52,4563
2024-06-17 10:48:54,4563
2024-06-17 10:48:56,4563
2024-06-17 10:48:58,4456
2024-06-17 10:49:00,4456
2024-06-17 10:49:02,4456
2024-06-17 10:49:04,4332
2024-06-17 10:49:06,4507
2024-06-17 10:49:08,4587
2024-06-17 10:49:10,4587
2024-06-17 10:49:12,4469
2024-06-17 10:49:14,4469
2024-06-17 10:49:16,4374
2024-06-17 10:49:18,4374
2024-06-17 10:49:20,4481
2024-06-17 10:49:22,4481
2024-06-17 10:49:24,4481
2024-06-17 10:49:26,4455
2024-06-17 10:49:28,4529
2024-06-17 10:49:30,4529
2024-06-17 10:49:32,4529
2024-06-17 10:49:34,4572
2024-06-17 10:49:36,4420
2024-06-17 10:49:38,4420
2024-06-17 10:49:40,4420
2024-06-17 10:49:42,4420
2024-06-17 10:49:44,4540
2024-06-17 10:49:46,4540
2024-06-17 10:49:48,4540
2024-06-17 10:49:50,4499
2024-06-17 10:49:52,4499
2024-06-17 10:49:54,4431
2024-06-17 10:49:56,4431
2024-06-17 10:49:58,4431
2024-06-17 10:50:00,4518
2024-06-17 10:50:02,4518
2024-06-17 10:50:04,4518
2024-06-17 10:50:06,4449
2024-06-17 10:50:08,4534
2024-06-17 10:50:10,4462
2024-06-17 10:50:12,4530
2024-06-17 10:50:14,4454
2024-06-17 10:50:16,4454
2024-06-17 10:50:18,4454
2024-06-17 10:50:20,4565
2024-06-17 10:50:22,4565
2024-06-17 10:50:24,4483
2024-06-17 10:50:26,4411
2024-06-17 10:50:28,4349
2024-06-17 10:50:30,4465
2024-06-17 10:50:32,4465
2024-06-17 10:50:34,4581
2024-06-17 10:50:36,4581
2024-06-17 10:50:38,4581
2024-06-17 10:50:40,4581
2024-06-17 10:50:42,4439
2024-06-17 10:50:44,4444
2024-06-17 10:50:46,4382
2024-06-17 10:50:48,4382
2024-06-17 10:50:50,4491
2024-06-17 10:50:52,4491
2024-06-17 10:50:54,4414
2024-06-17 10:50:56,4404
2024-06-17 10:50:58,4486
2024-06-17 10:51:00,4486
2024-06-17 10:51:02,4486
