"Time","adservice-66cdf5d799-qjcz9","cartservice-594d56988-6zw54","checkoutservice-678cdcb74b-gxdhc","currencyservice-65f5c47df6-57ktd","emailservice-57d8c6575f-l28zv","frontend-6b49fbfbff-tr2t9","loadgenerator-7c6fb64488-6n4d7","loadgenerator-7c6fb64488-tjvqt","paymentservice-dc6c9d6c6-4g7p8","productcatalogservice-5f999d9577-bdqw2","recommendationservice-6d849b6d76-kkqwm","redis-cart-855b76d469-tvvt6","shippingservice-5cb69d4cbd-khvz6"
2024-06-17 10:47:32,108,133,145,154,318,100,2271,,152,150,317,70.4,216
2024-06-17 10:47:34,108,133,145,151,318,100,2271,,152,150,323,70.4,216
2024-06-17 10:47:36,108,133,145,151,306,157,2190,,152,152,323,70.4,216
2024-06-17 10:47:38,108,129,145,151,317,157,2266,,152,152,323,68.0,216
2024-06-17 10:47:40,110,138,145,151,317,157,2194,,152,152,323,68.0,215
2024-06-17 10:47:42,110,137,139,151,317,160,2179,124,150,152,323,70.1,214
2024-06-17 10:47:44,109,137,144,151,317,160,2164,143,150,153,323,70.1,214
2024-06-17 10:47:46,113,137,144,145,317,160,2148,162,152,153,323,70.1,214
2024-06-17 10:47:48,113,137,144,201,317,160,2133,181,152,153,323,70.1,214
2024-06-17 10:47:50,113,137,144,201,317,160,2118,200,152,148,323,70.1,214
2024-06-17 10:47:52,141,137,139,201,317,1672,2103,220,152,153,309,70.1,246
2024-06-17 10:47:54,141,138,139,201,306,1672,2006,239,152,153,408,70.1,246
2024-06-17 10:47:56,141,133,276,201,324,1672,2006,524,152,153,408,70.1,246
2024-06-17 10:47:58,141,322,276,610,335,1763,2060,563,152,1338,408,70.1,246
2024-06-17 10:48:00,141,322,276,610,335,1763,2045,602,170,1338,408,67.6,246
2024-06-17 10:48:02,218,322,282,610,335,1763,2030,641,170,1338,408,134,246
2024-06-17 10:48:04,218,334,282,631,335,1763,2015,680,170,1338,411,134,315
2024-06-17 10:48:06,218,334,523,631,335,1763,2000,719,170,1338,411,134,315
2024-06-17 10:48:08,218,334,523,631,335,11062,1984,1186,174,1370,411,134,319
2024-06-17 10:48:10,218,334,523,631,361,11062,1969,1247,200,1379,411,134,319
2024-06-17 10:48:12,218,334,523,631,361,11062,1954,1308,200,1422,396,135,319
2024-06-17 10:48:14,218,324,543,1539,364,11639,1944,1369,200,1422,790,247,319
2024-06-17 10:48:16,218,916,543,1539,364,11639,1929,1430,200,4950,790,247,319
2024-06-17 10:48:18,438,916,543,1621,364,11639,1914,1491,200,4950,814,247,319
2024-06-17 10:48:20,456,961,543,1621,386,11639,1899,2112,200,4950,814,247,461
2024-06-17 10:48:22,456,961,543,1621,386,11639,1884,2195,200,4950,814,258,475
2024-06-17 10:48:24,456,961,523,1621,386,29282,1869,2278,199,4950,814,258,475
2024-06-17 10:48:26,456,961,1033,2397,391,29282,1853,2362,193,4950,814,258,475
2024-06-17 10:48:28,456,961,1033,2397,391,29282,1838,2445,239,8505,814,258,475
2024-06-17 10:48:30,456,961,1066,2397,391,30908,1823,2528,239,8804,1341,455,475
2024-06-17 10:48:32,456,961,1066,2397,411,30908,1808,2611,239,8804,1403,455,475
2024-06-17 10:48:34,479,1845,1066,2504,411,30908,1796,3412,239,8804,1403,455,475
2024-06-17 10:48:36,461,1916,1066,3312,411,30908,1781,3517,239,8804,1403,455,474
2024-06-17 10:48:38,894,1916,1491,3312,411,30908,1766,3622,240,12268,1403,478,710
2024-06-17 10:48:40,894,1916,1546,3312,402,29810,1751,3728,248,12268,1403,478,710
2024-06-17 10:48:42,894,1916,1546,3312,446,60040,1736,3833,248,12268,1403,478,710
2024-06-17 10:48:44,894,1916,1546,3312,446,62375,1724,3938,299,12268,1999,705,710
2024-06-17 10:48:46,894,1916,1546,3312,446,62375,1709,4044,299,12616,1999,705,710
2024-06-17 10:48:48,894,2921,1546,3495,446,62375,1693,3661,299,12703,1999,705,710
2024-06-17 10:48:50,894,2921,2062,3495,446,62375,1678,3661,299,13088,2107,705,719
2024-06-17 10:48:52,945,2921,2157,3387,446,62375,1663,5583,299,18665,2107,705,985
2024-06-17 10:48:54,1320,2921,2157,4985,446,62375,1648,5718,299,18665,2107,705,985
2024-06-17 10:48:56,1320,2921,2157,4985,446,65021,1632,5853,302,18665,2107,728,985
2024-06-17 10:48:58,1320,2921,2157,4985,440,65021,1617,5988,302,18665,2696,751,985
2024-06-17 10:49:00,1320,2921,2706,4985,512,98069,1602,6122,293,18665,2696,751,985
2024-06-17 10:49:02,1320,2921,2706,4985,512,98069,1586,6257,291,18665,2696,726,985
2024-06-17 10:49:04,1320,2921,2706,5219,512,98069,1571,7317,377,18665,2696,1116,985
2024-06-17 10:49:06,1623,4179,2838,5219,512,98069,1473,7472,387,25287,2696,1116,1229
2024-06-17 10:49:08,1661,4179,2838,5219,512,102527,1473,7626,387,25287,2782,1116,1273
2024-06-17 10:49:10,1673,4179,2838,5066,555,102527,1533,7780,387,25287,2782,1116,1273
2024-06-17 10:49:12,1730,4179,2838,6743,555,102527,1518,7935,387,25287,2782,1116,1273
2024-06-17 10:49:14,1730,4179,2838,6743,571,102527,1503,8089,387,25287,2782,1176,1273
2024-06-17 10:49:16,1730,4179,2838,6743,571,133220,1488,8243,443,25287,3564,1388,1445
2024-06-17 10:49:18,1730,4443,2734,7133,571,133220,1472,8398,443,26244,3752,1388,1445
2024-06-17 10:49:20,2101,4443,3997,7133,571,139153,1457,7834,446,32318,3752,1388,1445
2024-06-17 10:49:22,2101,4300,3997,7133,571,139153,1442,7834,449,32318,3752,1388,1480
2024-06-17 10:49:24,2101,5661,3997,8058,571,139153,1426,10232,464,32318,3752,1388,1528
2024-06-17 10:49:26,2101,5661,3997,8058,553,160461,1418,10410,464,32318,3752,1388,1528
2024-06-17 10:49:28,2221,5661,3997,8058,625,160461,1403,10589,464,33337,4304,1614,1528
2024-06-17 10:49:30,2221,5661,3997,8058,643,160461,1387,10767,464,34376,4304,1656,1528
2024-06-17 10:49:32,2532,5661,3997,8058,643,160461,1372,10945,449,34376,4304,1668,1482
2024-06-17 10:49:34,2532,5661,3997,8299,643,166867,1357,11123,519,34376,4525,1726,1472
2024-06-17 10:49:36,2532,6003,4109,8575,643,166867,1341,11301,519,40968,4525,1726,1825
2024-06-17 10:49:38,2532,6003,5179,8575,643,166867,1326,11480,519,40968,4525,1726,1825
2024-06-17 10:49:40,2532,7131,5179,8280,643,166867,1311,10741,535,40968,5112,1960,1901
2024-06-17 10:49:42,2532,7131,5179,10191,688,166867,1218,13216,535,40968,5112,1960,1901
2024-06-17 10:49:44,2620,7131,5179,10191,688,212783,1283,13415,582,40968,5112,1960,1901
2024-06-17 10:49:46,2620,7131,5179,10191,685,212783,1268,13614,582,42343,5112,1960,1901
2024-06-17 10:49:48,3027,7131,5179,10191,690,212783,1252,13813,582,43867,5112,1960,1901
2024-06-17 10:49:50,3027,7131,5179,10191,711,212783,1237,14012,582,49991,5400,2052,1901
2024-06-17 10:49:52,3027,7446,5499,10505,711,212783,1221,14211,606,49991,5400,2272,1839
2024-06-17 10:49:54,3104,7446,5499,10578,761,236187,1206,14410,606,49991,5400,2272,2255
2024-06-17 10:49:56,3126,8420,6430,10890,761,236187,1191,14609,606,49991,6138,2272,2255
2024-06-17 10:49:58,3236,8420,6430,10544,761,236187,1175,13871,606,49991,6138,2272,2255
2024-06-17 10:50:00,3236,8420,6430,12392,761,236187,1162,16389,660,49991,6138,2272,2255
2024-06-17 10:50:02,3236,8420,6430,12392,761,246997,1146,16606,660,49991,6138,2417,2255
2024-06-17 10:50:04,3468,8420,6430,12392,761,246997,1131,16824,660,51241,6138,2484,2339
