"Time","sum(rate(container_network_transmit_bytes_total{namespace=""default""}[5m]))"
2024-06-17 10:47:32,4134
2024-06-17 10:47:34,4138
2024-06-17 10:47:36,4103
2024-06-17 10:47:38,4184
2024-06-17 10:47:40,4122
2024-06-17 10:47:42,4226
2024-06-17 10:47:44,4234
2024-06-17 10:47:46,4239
2024-06-17 10:47:48,4299
2024-06-17 10:47:50,4299
2024-06-17 10:47:52,5862
2024-06-17 10:47:54,5871
2024-06-17 10:47:56,6307
2024-06-17 10:47:58,8285
2024-06-17 10:48:00,8324
2024-06-17 10:48:02,8497
2024-06-17 10:48:04,8625
2024-06-17 10:48:06,8890
2024-06-17 10:48:08,18680
2024-06-17 10:48:10,18787
2024-06-17 10:48:12,18863
2024-06-17 10:48:14,20916
2024-06-17 10:48:16,25082
2024-06-17 10:48:18,25455
2024-06-17 10:48:20,26289
2024-06-17 10:48:22,26382
2024-06-17 10:48:24,44072
2024-06-17 10:48:26,45424
2024-06-17 10:48:28,49093
2024-06-17 10:48:30,51844
2024-06-17 10:48:32,51995
2024-06-17 10:48:34,53798
2024-06-17 10:48:36,54748
2024-06-17 10:48:38,59421
2024-06-17 10:48:40,58467
2024-06-17 10:48:42,88831
2024-06-17 10:48:44,92132
2024-06-17 10:48:46,92570
2024-06-17 10:48:48,93448
2024-06-17 10:48:50,94450
2024-06-17 10:48:52,102239
2024-06-17 10:48:54,104330
2024-06-17 10:48:56,107121
2024-06-17 10:48:58,107848
2024-06-17 10:49:00,141627
2024-06-17 10:49:02,141719
2024-06-17 10:49:04,143475
2024-06-17 10:49:06,152101
2024-06-17 10:49:08,156881
2024-06-17 10:49:10,156997
2024-06-17 10:49:12,158870
2024-06-17 10:49:14,159085
2024-06-17 10:49:16,191139
2024-06-17 10:49:18,192973
2024-06-17 10:49:20,206039
2024-06-17 10:49:22,205918
2024-06-17 10:49:24,210650
2024-06-17 10:49:26,232109
2024-06-17 10:49:28,234261
2024-06-17 10:49:30,235524
2024-06-17 10:49:32,235949
2024-06-17 10:49:34,243097
2024-06-17 10:49:36,250934
2024-06-17 10:49:38,252168
2024-06-17 10:49:40,253160
2024-06-17 10:49:42,257498
2024-06-17 10:49:44,303812
2024-06-17 10:49:46,305368
2024-06-17 10:49:48,307487
2024-06-17 10:49:50,314196
2024-06-17 10:49:52,315512
2024-06-17 10:49:54,339715
2024-06-17 10:49:56,342876
2024-06-17 10:49:58,341887
2024-06-17 10:50:00,346294
2024-06-17 10:50:02,357451
2024-06-17 10:50:04,359284
2024-06-17 10:50:06,374053
2024-06-17 10:50:08,374638
2024-06-17 10:50:10,375947
2024-06-17 10:50:12,375875
2024-06-17 10:50:14,386771
2024-06-17 10:50:16,387281
2024-06-17 10:50:18,387364
2024-06-17 10:50:20,389461
2024-06-17 10:50:22,388605
2024-06-17 10:50:24,389274
2024-06-17 10:50:26,390056
2024-06-17 10:50:28,403798
2024-06-17 10:50:30,404347
2024-06-17 10:50:32,404674
2024-06-17 10:50:34,406326
2024-06-17 10:50:36,404916
2024-06-17 10:50:38,398465
2024-06-17 10:50:40,434435
2024-06-17 10:50:42,447841
2024-06-17 10:50:44,449443
2024-06-17 10:50:46,449541
2024-06-17 10:50:48,453053
2024-06-17 10:50:50,456648
2024-06-17 10:50:52,459917
2024-06-17 10:50:54,480476
2024-06-17 10:50:56,481372
2024-06-17 10:50:58,512672
2024-06-17 10:51:00,517376
2024-06-17 10:51:02,519205
2024-06-17 10:51:04,519753
2024-06-17 10:51:06,525367
2024-06-17 10:51:08,525694
2024-06-17 10:51:10,527014
2024-06-17 10:51:12,555425
2024-06-17 10:51:14,558930
2024-06-17 10:51:16,548945
2024-06-17 10:51:18,590708
2024-06-17 10:51:20,596678
2024-06-17 10:51:22,596967
2024-06-17 10:51:24,597218
2024-06-17 10:51:26,598879
2024-06-17 10:51:28,603338
2024-06-17 10:51:30,625405
2024-06-17 10:51:32,627309
2024-06-17 10:51:34,653846
2024-06-17 10:51:36,655513
2024-06-17 10:51:38,656312
2024-06-17 10:51:40,657362
2024-06-17 10:51:42,677773
2024-06-17 10:51:44,693610
2024-06-17 10:51:46,690566
2024-06-17 10:51:48,675623
2024-06-17 10:51:50,676824
2024-06-17 10:51:52,676839
2024-06-17 10:51:54,677688
2024-06-17 10:51:56,678028
2024-06-17 10:51:58,682702
2024-06-17 10:52:00,699612
2024-06-17 10:52:02,706676
2024-06-17 10:52:04,709443
2024-06-17 10:52:06,736354
2024-06-17 10:52:08,739774
2024-06-17 10:52:10,741025
2024-06-17 10:52:12,741457
2024-06-17 10:52:14,741903
2024-06-17 10:52:16,749785
2024-06-17 10:52:18,762960
2024-06-17 10:52:20,795379
2024-06-17 10:52:22,801016
2024-06-17 10:52:24,801867
