i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
0.0,0.0,11392536576.0,113.0,136.0,180.0,173.0,312.0,845.0,5388.0,154.0,148.0,166.0,325.0,70.4,224.0,8236.0,0.00195,0.00195,0.000334,0.000739,0.00164,0.000312,0.00485,,0.000348,0.000295,0.00155,0.00207,0.000371,0.00137,0.0
0.0,0.0,11420893184.0,114.0,137.0,180.0,173.0,319.0,845.0,5350.0,170.0,148.0,165.0,325.0,70.4,224.0,8220.0,0.00194,0.00196,0.000334,0.000739,0.00164,0.000312,0.00481,0.0047,0.000348,0.000285,0.00155,0.00208,0.00036,0.00176,0.0
0.0,0.0,11420094464.0,114.0,137.0,181.0,173.0,319.0,845.0,5311.0,185.0,148.0,165.0,325.0,72.1,224.0,8199.0,0.00194,0.00196,0.000334,0.000739,0.00164,0.000312,0.00478,0.00514,0.000348,0.000283,0.0015,0.00215,0.000358,0.00179,0.0
0.0,0.0,11422117888.0,114.0,137.0,180.0,167.0,321.0,845.0,5272.0,200.0,148.0,165.0,325.0,72.1,224.0,8170.0,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00474,0.00559,0.000339,0.00035,0.00158,0.00215,0.000392,0.00185,0.0
0.0,0.0,11424120832.0,114.0,137.0,180.0,173.0,321.0,814.0,5233.0,215.0,151.0,165.0,325.0,72.1,224.0,8124.0,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00471,0.00604,0.000339,0.00035,0.00153,0.00215,0.000392,0.00188,0.0
0.0,0.0,11423129600.0,114.0,132.0,180.0,173.0,321.0,1636.0,5259.0,230.0,151.0,165.0,354.0,72.1,224.0,9011.0,0.00194,0.00196,0.000335,0.000739,0.00164,0.000479,0.00468,0.00648,0.000339,0.00035,0.00158,0.00215,0.000392,0.00192,0.0
0.0,0.0,11424878592.0,114.0,181.0,180.0,265.0,327.0,1636.0,5220.0,385.0,151.0,165.0,354.0,70.8,224.0,9273.0,0.00186,0.00196,0.000386,0.000716,0.00164,0.000479,0.00464,0.00693,0.000327,0.00035,0.00158,0.00215,0.000392,0.00195,0.0
0.0,0.0,11435241472.0,114.0,181.0,180.0,265.0,327.0,1636.0,5180.0,409.0,153.0,566.0,354.0,70.8,224.0,9660.0,0.00193,0.00196,0.000386,0.00357,0.00164,0.000479,0.00449,0.00738,0.000546,0.00035,0.00158,0.00217,0.000392,0.00224,0.0
0.0,0.0,11440242688.0,115.0,181.0,180.0,265.0,327.0,1636.0,5141.0,433.0,153.0,566.0,354.0,70.8,224.0,9646.0,0.00204,0.00196,0.000386,0.00369,0.00168,0.000477,0.00463,0.00783,0.000546,0.00035,0.00158,0.00217,0.000392,0.00231,0.0
0.0,0.0,11514314752.0,152.0,184.0,292.0,265.0,327.0,1636.0,5102.0,457.0,153.0,566.0,354.0,70.8,224.0,9782.0,0.00204,0.00295,0.000386,0.00369,0.00168,0.000477,0.00459,0.00827,0.000564,0.00035,0.00191,0.00217,0.000392,0.00246,0.0
0.0,0.0,11528036352.0,152.0,184.0,292.0,265.0,327.0,1636.0,5063.0,481.0,153.0,566.0,354.0,68.5,224.0,9764.0,0.00204,0.00295,0.000386,0.00369,0.00168,0.000477,0.00456,0.00598,0.000564,0.000355,0.00191,0.00216,0.000392,0.00226,0.0
0.0,0.0,11542544384.0,152.0,184.0,300.0,265.0,327.0,4171.0,5023.0,505.0,165.0,566.0,354.0,103.0,282.0,12398.0,0.00204,0.00295,0.000386,0.00369,0.00161,0.000477,0.00452,0.00628,0.000564,0.000343,0.00191,0.00216,0.00038,0.00228,0.0
0.0,0.0,11557359616.0,152.0,184.0,300.0,265.0,327.0,4325.0,4984.0,528.0,165.0,587.0,356.0,103.0,284.0,12561.0,0.00204,0.00295,0.00066,0.00369,0.00162,0.00237,0.00449,0.00659,0.000564,0.000341,0.00191,0.00216,0.00052,0.00249,0.0
0.0,0.0,11576827904.0,152.0,184.0,300.0,643.0,327.0,4325.0,5009.0,552.0,165.0,587.0,356.0,103.0,284.0,12987.0,0.00204,0.00295,0.00066,0.00369,0.00174,0.00237,0.00445,0.00689,0.000564,0.00119,0.00192,0.00216,0.00052,0.0026,0.0
0.0,70.3,11578155008.0,152.0,178.0,300.0,643.0,344.0,4325.0,4969.0,990.0,165.0,1807.0,528.0,103.0,284.0,14788.0,0.00226,0.00299,0.00066,0.00378,0.00174,0.00237,0.00442,0.0072,0.000564,0.00119,0.00239,0.00223,0.00053,0.00269,0.0
0.0,140.0,11633795072.0,152.0,177.0,490.0,643.0,344.0,4325.0,4929.0,1031.0,165.0,1807.0,528.0,103.0,284.0,14978.0,0.00227,0.00458,0.00066,0.0114,0.00174,0.00237,0.00438,0.00751,0.00155,0.00123,0.00239,0.00223,0.00053,0.00357,0.0
0.0,140.0,11904212992.0,152.0,455.0,490.0,643.0,347.0,4325.0,4890.0,1072.0,165.0,1807.0,528.0,103.0,284.0,15260.0,0.00227,0.00458,0.00066,0.0117,0.00174,0.00237,0.00438,0.00781,0.00161,0.00123,0.00239,0.00223,0.00053,0.00363,0.0
0.0,140.0,11944435712.0,147.0,472.0,490.0,643.0,347.0,4325.0,4850.0,1113.0,165.0,1807.0,528.0,106.0,284.0,15275.0,0.00227,0.00458,0.00066,0.0117,0.00174,0.00244,0.00435,0.00747,0.00161,0.00123,0.00239,0.00223,0.00053,0.0036,0.0
0.0,144.0,12098969600.0,234.0,472.0,490.0,643.0,347.0,4325.0,4810.0,1154.0,183.0,1807.0,528.0,106.0,341.0,15438.0,0.00227,0.00458,0.000967,0.0117,0.00181,0.00252,0.00431,0.00775,0.00161,0.00123,0.00239,0.00223,0.00053,0.00366,0.0
0.0,148.0,12328214528.0,242.0,472.0,506.0,671.0,347.0,10180.0,4770.0,1195.0,183.0,1872.0,528.0,161.0,341.0,21468.0,0.00227,0.00458,0.000967,0.0117,0.00181,0.00495,0.00428,0.00803,0.00161,0.00123,0.00239,0.00223,0.00053,0.00388,0.0
