i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart
0.0,0.0,11465449472,127.0,140.0,140.0,184.0,318.0,329.0,3168.0,130.0,144.0,168.0,316.0,68.5,212.0,5445.0,0.00191,0.00251,0.000328,0.00093,0.00176,0.000336,0.00337,,0.000509,0.000306,0.00159,0.00215,0.000391,0.00134,0.0
0.0,0.0,11468533760,123.0,144.0,140.0,184.0,315.0,339.0,3146.0,142.0,144.0,168.0,316.0,68.5,212.0,5442.0,0.00191,0.00253,0.000328,0.00093,0.00176,0.000336,0.00336,,0.000502,0.000311,0.00155,0.00215,0.000391,0.00134,0.0
0.0,14.5,11540856832,123.0,144.0,174.0,182.0,311.0,339.0,3123.0,153.0,144.0,168.0,316.0,66.5,212.0,5456.0,0.00191,0.00253,0.000312,0.00093,0.0017,0.000336,0.00333,0.00541,0.000502,0.000311,0.00155,0.00215,0.000391,0.00178,0.0
0.0,14.5,11543244800,123.0,144.0,174.0,188.0,311.0,339.0,3100.0,164.0,144.0,493.0,317.0,76.2,211.0,5786.0,0.00191,0.00253,0.000323,0.00093,0.00175,0.000336,0.00331,0.00617,0.000502,0.000311,0.0016,0.00215,0.000391,0.00185,0.0
0.0,14.5,11546431488,123.0,144.0,174.0,188.0,311.0,339.0,3077.0,175.0,144.0,493.0,317.0,74.1,211.0,5772.0,0.00191,0.00253,0.000313,0.00093,0.00175,0.000343,0.00329,0.00694,0.000492,0.000311,0.0016,0.00215,0.000391,0.00191,0.0
0.0,28.7,11544469504,123.0,144.0,176.0,188.0,311.0,339.0,2991.0,187.0,149.0,515.0,420.0,74.7,245.0,5864.0,0.00191,0.00253,0.000311,0.00093,0.00175,0.000343,0.00326,0.00771,0.000508,0.000311,0.0016,0.00215,0.000391,0.00198,0.0
0.0,28.7,11541315584,123.0,144.0,176.0,188.0,311.0,4201.0,3069.0,482.0,153.0,515.0,420.0,76.9,245.0,10107.0,0.00191,0.00245,0.000321,0.00093,0.00175,0.000343,0.00324,0.00848,0.000508,0.000311,0.0016,0.00215,0.00038,0.00203,0.0
0.0,28.2,11540803584,123.0,340.0,176.0,505.0,311.0,4201.0,3046.0,509.0,153.0,515.0,420.0,76.9,245.0,10623.0,0.0019,0.00249,0.000321,0.0009,0.00175,0.000334,0.00322,0.00925,0.000508,0.000308,0.0016,0.00215,0.000391,0.00209,0.0
0.0,28.2,11542171648,193.0,349.0,176.0,505.0,303.0,4201.0,3023.0,537.0,153.0,515.0,420.0,76.9,250.0,10704.0,0.0019,0.00291,0.000321,0.00107,0.00175,0.000334,0.00323,0.01,0.000508,0.000309,0.0016,0.00215,0.000393,0.00221,0.0
14.2,28.2,11547836416,201.0,349.0,176.0,505.0,347.0,4348.0,3000.0,564.0,153.0,515.0,420.0,76.9,250.0,10906.0,0.0019,0.00291,0.000321,0.00111,0.00177,0.000334,0.00321,0.00597,0.000493,0.000309,0.0016,0.00208,0.000393,0.00187,0.0
290.0,28.6,11553058816,201.0,349.0,554.0,505.0,347.0,4348.0,2977.0,591.0,153.0,515.0,420.0,74.6,250.0,11285.0,0.0019,0.00291,0.000321,0.00111,0.00177,0.000329,0.00318,0.0064,0.00049,0.000309,0.00153,0.00214,0.000393,0.0019,0.0
296.0,29.1,11560407040,201.0,349.0,575.0,524.0,347.0,4348.0,2954.0,619.0,183.0,499.0,721.0,189.0,250.0,11759.0,0.0019,0.00291,0.000495,0.00111,0.00177,0.000329,0.00316,0.00682,0.000675,0.000309,0.00154,0.00221,0.000393,0.00197,0.0
578.0,29.9,11568189440,201.0,349.0,575.0,1123.0,347.0,4348.0,2931.0,646.0,183.0,495.0,721.0,189.0,408.0,12517.0,0.0019,0.00291,0.000495,0.00111,0.00177,0.000329,0.00314,0.00725,0.000675,0.000309,0.00208,0.00221,0.000393,0.00205,0.0
579.0,29.1,11577585664,334.0,812.0,575.0,1123.0,347.0,4348.0,2908.0,674.0,183.0,4191.0,721.0,195.0,408.0,16819.0,0.0019,0.00291,0.000495,0.00591,0.00177,0.000329,0.00311,0.00767,0.000682,0.000309,0.00208,0.00221,0.000393,0.00248,0.0
579.0,29.1,11582488576,334.0,838.0,575.0,1123.0,347.0,4360.0,2925.0,701.0,186.0,4191.0,721.0,195.0,408.0,16905.0,0.0019,0.00291,0.000495,0.00591,0.00177,0.00273,0.00309,0.00809,0.000682,0.000309,0.00208,0.00221,0.000393,0.00271,0.0
580.0,28.3,11666370560,334.0,838.0,575.0,1123.0,347.0,4474.0,2901.0,1707.0,186.0,4191.0,721.0,195.0,414.0,18007.0,0.0035,0.00605,0.000495,0.00591,0.00177,0.00273,0.00309,0.00795,0.000682,0.000301,0.00208,0.00221,0.000373,0.00309,0.0
579.0,28.3,11701219328,334.0,838.0,575.0,1123.0,379.0,24252.0,2878.0,1771.0,216.0,4191.0,721.0,195.0,414.0,37888.0,0.0035,0.00605,0.000495,0.00591,0.00177,0.00273,0.00307,0.00834,0.000682,0.00182,0.00208,0.00221,0.000371,0.00325,0.0
566.0,28.3,11703005184,334.0,838.0,575.0,1123.0,379.0,24252.0,2855.0,1835.0,216.0,4191.0,721.0,195.0,414.0,37929.0,0.0035,0.00605,0.000504,0.00606,0.00205,0.00289,0.00304,0.00874,0.000682,0.00182,0.00208,0.00221,0.000727,0.00336,0.0
555.0,28.3,11716706304,346.0,838.0,1001.0,1123.0,379.0,24252.0,2831.0,1900.0,216.0,4191.0,721.0,333.0,414.0,38546.0,0.0035,0.00605,0.00123,0.0061,0.00205,0.00289,0.00302,0.00913,0.0023,0.00182,0.00208,0.00222,0.000727,0.00359,0.0
568.0,29.5,11739336704,346.0,838.0,1025.0,1181.0,379.0,24252.0,2808.0,1964.0,216.0,4379.0,1312.0,346.0,584.0,39630.0,0.0035,0.00605,0.00123,0.00629,0.00205,0.00289,0.00299,0.00953,0.0023,0.00182,0.00208,0.00235,0.000727,0.00365,0.0
576.0,29.5,11893342208,529.0,867.0,1057.0,1181.0,379.0,24252.0,2785.0,2610.0,214.0,4379.0,1312.0,346.0,584.0,40494.0,0.0035,0.00628,0.00123,0.00629,0.00205,0.00751,0.00297,0.0107,0.0023,0.00182,0.00416,0.00235,0.000746,0.00432,0.0
586.0,29.4,11903942656,529.0,867.0,1057.0,2424.0,379.0,24252.0,2808.0,2692.0,214.0,8610.0,1312.0,346.0,584.0,46073.0,0.00357,0.00628,0.00123,0.00629,0.00205,0.00751,0.00295,0.0111,0.0023,0.00182,0.00416,0.00235,0.000746,0.00436,0.0
