high_i_o_read,high_i_o_write,high_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,high_pod_restart
2379,787,12764622848.0,7489,24659,27254,27942,2192,769938,46348.0,77.0,2111,167083,20718,6794,7584,1110188,0.00236,0.00578,0.000881,0.0153,0.00197,0.00482,0.00572,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827,0.00518,0.0
2379,800,12751368192.0,7373,24659,26224,26611,2192,769938,46013.0,82.4,2053,159168,20581,6794,7584,1099273,0.00236,0.00578,0.000876,0.0148,0.00197,0.00459,0.00629,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827,0.00516,0.0
2384,828,12748492800.0,7373,24659,26224,26795,2200,733613,45679.0,87.7,2053,159168,20581,6794,7265,1062493,0.0023,0.00568,0.000876,0.0147,0.00195,0.00459,0.00686,0.00585,0.00917,0.00149,0.00206,0.00358,0.00226,0.000837,0.00518,0.0
2402,791,12752961536.0,7097,23704,25200,27716,2200,733613,45583.0,93.1,2053,159168,20581,6794,6982,1060785,0.00232,0.00568,0.000876,0.0147,0.00195,0.00459,0.00469,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837,0.00501,0.0
2374,791,12758626304.0,7097,24550,26143,27716,2200,733613,45246.0,98.5,2053,158392,20581,6794,7231,1061715,0.00238,0.00581,0.000911,0.0147,0.00195,0.0048,0.00505,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837,0.00507,0.0
2382,791,12751814656.0,7097,23547,26143,26165,2200,730396,44910.0,338.0,2053,158392,20581,6794,7231,1055847,0.00238,0.00581,0.000911,0.0147,0.00195,0.0048,0.00541,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852,0.0051,0.0
2414,791,12746117120.0,7097,23547,26143,26165,2111,730396,44574.0,356.0,2042,158392,20581,6759,7231,1055392,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00576,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852,0.00519,0.0
2361,803,12747350016.0,7097,23547,26143,26165,2111,730396,44237.0,373.0,2042,158392,20522,6552,7231,1054806,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00612,0.00585,0.00917,0.00172,0.00224,0.00355,0.00227,0.000852,0.00524,0.0
2358,819,12685602816.0,6986,23547,26143,26165,2111,730396,43901.0,391.0,2042,153622,19883,6384,7231,1048800,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00647,0.00585,0.00917,0.00175,0.00224,0.00355,0.00228,0.000857,0.00528,0.0
2358,830,12686184448.0,6986,23547,26143,26165,2111,730396,43564.0,408.0,1978,150463,19316,6384,7231,1044692,0.00238,0.00611,0.000981,0.0153,0.00195,0.0048,0.00549,0.00585,0.00917,0.0018,0.00224,0.00355,0.00228,0.000857,0.00523,0.0
2363,833,12630052864.0,6986,23547,25235,26165,2103,707870,41429.0,426.0,1965,150463,19316,6384,7231,1019121,0.00238,0.0063,0.000981,0.0153,0.00189,0.0048,0.00549,0.00585,0.00917,0.0018,0.00229,0.00374,0.00228,0.000857,0.00526,0.0
2375,1254,12632346624.0,6986,23547,24537,24940,2103,703001,41429.0,443.0,1925,143912,19316,6384,6972,1005496,0.00242,0.0063,0.000981,0.0184,0.00198,0.00589,0.00549,0.00585,0.00917,0.0018,0.00229,0.00374,0.00228,0.000857,0.00562,0.0
2391,1710,12636446720.0,6584,23257,24537,24840,2103,651742,42758.0,461.0,1925,148356,19316,6384,6721,958982,0.00243,0.0063,0.00113,0.0194,0.00205,0.00589,0.00549,0.00585,0.00917,0.0018,0.00229,0.00376,0.00228,0.000857,0.00573,0.0
2407,1710,12636499968.0,6584,22038,23347,24840,2103,674543,42419.0,478.0,1830,148356,19024,6321,6721,978604,0.00243,0.0063,0.00118,0.0194,0.00205,0.00589,0.00589,0.00585,0.00917,0.0018,0.00229,0.00376,0.00229,0.000857,0.00576,0.0
2393,1710,12634861568.0,6584,22038,24106,24840,2035,674543,42081.0,777.0,1894,148356,19024,6321,6721,979320,0.00243,0.0063,0.00118,0.0194,0.00205,0.00589,0.00614,0.00585,0.00917,0.00218,0.00272,0.00376,0.00232,0.000828,0.00585,0.0
2368,1710,12642164736.0,6584,22038,24106,24840,1975,674543,41743.0,805.0,1894,148356,19024,6028,6721,978656,0.00243,0.0063,0.00118,0.0194,0.00205,0.00589,0.00639,0.00585,0.00917,0.00218,0.00283,0.00376,0.00232,0.000957,0.00589,0.0
2337,1710,12642955264.0,6443,22038,24106,24840,1975,674543,41405.0,832.0,1844,143775,19024,6028,6721,973573,0.00243,0.0063,0.00118,0.0194,0.00205,0.00589,0.00665,0.00585,0.00917,0.00218,0.00283,0.00376,0.00232,0.000957,0.00592,0.0
2354,1740,12647677952.0,6443,22038,23247,24840,1975,653570,41066.0,860.0,1844,142786,19024,6028,6721,950441,0.00243,0.00652,0.00118,0.0194,0.00205,0.00589,0.0069,0.00585,0.00917,0.00226,0.00283,0.00376,0.00232,0.000957,0.00596,0.0
2397,1772,12648280064.0,6443,22038,23247,24052,1975,653570,40728.0,887.0,1844,140330,18055,6028,6630,945827,0.00243,0.00628,0.00118,0.0194,0.00205,0.00589,0.00694,0.00114,0.00917,0.00226,0.00283,0.00364,0.00232,0.000957,0.00554,0.0
2403,1757,12652744704.0,6443,21657,23247,24052,1975,653570,40390.0,914.0,1844,137845,18055,5932,6630,942554,0.0026,0.00764,0.00118,0.0194,0.00198,0.00785,0.00719,0.00111,0.00917,0.00226,0.00346,0.0044,0.00232,0.000957,0.00596,0.0
2397,1731,12648161280.0,6443,20811,23247,23734,1975,653570,40110.0,942.0,1844,137845,18055,5932,6630,941138,0.00263,0.00764,0.00119,0.0187,0.00194,0.00822,0.00743,0.00108,0.00917,0.00226,0.00346,0.00432,0.00232,0.000957,0.00594,0.0
2397,1725,12653432832.0,6227,20811,23247,23734,1975,643844,39771.0,969.0,1844,137845,18055,5739,6323,930385,0.00263,0.00764,0.00144,0.027,0.00216,0.00822,0.00768,0.00105,0.00917,0.00226,0.00346,0.00435,0.00232,0.00106,0.00671,0.0
2359,1697,12653756416.0,6111,20811,21926,23734,1975,643844,39432.0,997.0,1820,137845,17752,5739,6323,928309,0.00263,0.00764,0.00144,0.027,0.00216,0.00822,0.00792,0.00101,0.00917,0.00228,0.00364,0.00449,0.00225,0.00107,0.00675,0.0
2361,1697,12646846464.0,6111,20811,22614,23734,1862,643844,39093.0,1024.0,1749,137845,17752,5739,6323,928501,0.00263,0.00764,0.00144,0.027,0.00216,0.00822,0.00817,0.000982,0.00917,0.00227,0.00364,0.00449,0.00239,0.00107,0.00678,0.0
2382,1697,12645572608.0,5943,20811,21736,23734,1862,643844,38755.0,1438.0,1749,137845,17752,5739,6178,927385,0.00263,0.00764,0.00144,0.027,0.00216,0.00822,0.00841,0.00095,0.00917,0.00294,0.00364,0.00449,0.00239,0.00107,0.00685,0.0
1484,1734,12638146560.0,5943,20811,21736,23253,1862,624273,38416.0,1476.0,1749,133713,17752,5415,6178,902576,0.00258,0.00785,0.00144,0.027,0.00216,0.0103,0.00867,0.000959,0.00917,0.00294,0.00364,0.00449,0.00239,0.00107,0.00706,0.0
1479,1760,12643151872.0,5943,20428,21736,22510,1862,619981,38077.0,1514.0,1749,129345,17066,5586,6178,891975,0.00266,0.00785,0.00144,0.0282,0.00216,0.0103,0.00891,0.000926,0.00917,0.00294,0.0044,0.00504,0.00239,0.00107,0.00728,0.0
1478,1734,12641497088.0,5943,20428,21736,22510,1862,596958,37738.0,1551.0,1749,129345,17066,5423,5987,868296,0.0029,0.00785,0.00167,0.0282,0.00216,0.0106,0.00916,0.000893,0.00917,0.00294,0.0044,0.00504,0.0024,0.00106,0.00737,0.0
1457,1738,12643700736.0,5943,19785,21736,22510,1862,596958,37436.0,1589.0,1698,129345,16747,5423,5987,867018,0.0029,0.00975,0.00167,0.0282,0.00216,0.0109,0.0094,0.000859,0.00917,0.00294,0.0044,0.00504,0.0024,0.0011,0.00758,0.0
1464,1701,12644061184.0,5943,19649,21736,22510,1862,596958,37097.0,1626.0,1698,129345,16747,5423,5987,866580,0.0029,0.00975,0.0017,0.0345,0.00211,0.0109,0.00965,0.000826,0.00917,0.00294,0.0044,0.00504,0.0024,0.0011,0.00812,0.0
1456,1701,12648554496.0,5943,19469,21056,22510,1862,596958,36758.0,1924.0,1643,129345,16747,5423,5809,865445,0.0029,0.00975,0.00176,0.0345,0.00231,0.0109,0.0099,0.000793,0.00917,0.00303,0.00454,0.00513,0.0024,0.00135,0.0082,0.0
1456,1743,12649295872.0,5699,19469,20708,22510,1756,596958,36419.0,1967.0,1643,129345,16747,5423,5809,864452,0.0029,0.00988,0.00176,0.0345,0.00231,0.0109,0.0101,0.000759,0.00917,0.00419,0.00454,0.00513,0.00246,0.00135,0.00833,0.0
1467,1743,12653740032.0,5460,19016,20708,22116,1756,596958,36079.0,2011.0,1643,126284,16747,5281,5809,859868,0.0029,0.0102,0.00176,0.0362,0.00231,0.0137,0.0107,0.000726,0.00917,0.00419,0.00454,0.00513,0.00246,0.00135,0.00878,0.0
1471,1709,12656422912.0,5460,19016,20708,20922,1756,596958,35740.0,2054.0,1643,126284,14927,5281,5809,856559,0.0029,0.0102,0.00218,0.0362,0.00231,0.0137,0.0109,0.000558,0.00917,0.00419,0.00592,0.00513,0.00247,0.00135,0.00894,0.0
1461,1677,12651995136.0,5460,19016,20708,21539,1756,540374,35401.0,2097.0,1643,121795,15031,5153,5630,795604,0.00313,0.0102,0.00218,0.0362,0.00231,0.0137,0.0112,0.000532,0.00917,0.00419,0.00592,0.00495,0.00247,0.00135,0.00896,0.0
1461,1677,12572647424.0,5460,19016,20202,21539,1756,557739,35147.0,2332.0,1643,121795,15547,5153,5630,812960,0.00313,0.0102,0.00218,0.0362,0.00231,0.0137,0.0114,0.000506,0.00917,0.00419,0.00614,0.00492,0.00247,0.00135,0.009,0.0
1463,1721,12557971456.0,5332,19016,18632,21539,1756,557739,34807.0,2379.0,1604,121795,15547,5153,5630,810931,0.00313,0.0131,0.00218,0.0362,0.00235,0.0137,0.0117,0.00048,0.00917,0.00419,0.00614,0.00641,0.00247,0.00132,0.00938,0.0
1473,1721,12548005888.0,5332,19016,19228,21539,1756,557739,34467.0,2427.0,1482,121795,15547,5153,5630,811112,0.00313,0.0131,0.00218,0.0362,0.00235,0.0144,0.012,0.000454,0.00917,0.00419,0.00614,0.00641,0.00247,0.00162,0.00948,0.0
1465,1770,12526706688.0,5332,17812,19228,21539,1756,557739,34128.0,2474.0,1537,121795,15177,5153,5474,809144,0.00313,0.0131,0.00226,0.0457,0.00227,0.0144,0.0126,0.000427,0.00917,0.00419,0.00614,0.00664,0.00247,0.00162,0.0104,0.0
