i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system
0,1547,12107333632,122,144,181,169,320,1789,5808.0,212,146,162,325,71.1,227,9675,0.00189,0.00201,0.000349,0.000854,0.00169,0.00057,0.0053,0.0075,0.000342,0.000323,0.00171,0.00226,0.000444,0.0021
0,1520,12108156928,122,144,181,169,317,1847,5764.0,226,146,191,325,71.1,227,9730,0.00189,0.00201,0.000349,0.000854,0.00168,0.00057,0.00522,0.00504,0.000342,0.000323,0.00171,0.00219,0.000444,0.00188
0,1515,12108808192,122,139,181,168,317,1847,5720.0,171,146,191,325,72.9,227,9627,0.00188,0.00194,0.000349,0.000854,0.00168,0.00057,0.00518,0.00537,0.000342,0.000323,0.00171,0.00217,0.000444,0.0019
0,1529,12103020544,125,179,181,168,318,1847,5676.0,171,146,191,327,72.9,227,9629,0.00188,0.00235,0.000349,0.00187,0.00168,0.000844,0.00514,0.0057,0.000342,0.000323,0.00171,0.00226,0.000444,0.00207
0,1529,12148690944,125,179,238,168,318,2695,5561.0,327,148,191,327,71.0,226,10574,0.00188,0.00235,0.000349,0.00195,0.00168,0.000844,0.0051,0.00603,0.000342,0.000323,0.00166,0.00226,0.000515,0.00211
0,1496,12161073152,125,179,238,168,318,2695,5518.0,345,148,191,316,71.0,218,10530,0.00188,0.00235,0.000349,0.00195,0.00168,0.000844,0.00506,0.00637,0.000577,0.000323,0.00171,0.00226,0.000515,0.00215
0,1496,12171853824,125,179,238,168,318,2695,5475.0,363,148,191,380,71.0,244,10593,0.00188,0.00234,0.000445,0.00195,0.00168,0.00088,0.00502,0.0067,0.000577,0.00033,0.00171,0.00226,0.000515,0.00219
0,1496,12178214912,125,179,238,168,328,2695,5431.0,380,148,191,380,71.0,244,10578,0.00194,0.00234,0.000447,0.00195,0.00168,0.00088,0.00492,0.00703,0.000605,0.000641,0.00171,0.00226,0.000515,0.00224
0,1521,12195266560,121,179,238,164,328,2695,5388.0,398,148,663,380,71.0,244,11016,0.00194,0.00234,0.000447,0.00195,0.00168,0.00088,0.00489,0.00736,0.000605,0.000641,0.00171,0.0022,0.000522,0.00226
0,1545,12440707072,120,260,237,416,328,2674,5345.0,416,148,663,383,70.2,244,11304,0.00194,0.00234,0.000447,0.00195,0.00173,0.00192,0.00485,0.00577,0.000605,0.000641,0.00165,0.00227,0.000522,0.00222
