i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
85.5,0.0,11597189120,109,136,132,156,317,156,3574.0,156,153,150,326,68.9,213,5646,0.00184,0.00181,0.000284,0.000542,0.00171,0.000313,0.00134,0.00586,0.000435,0.000304,0.00181,0.00225,0.000431,0.00158,0.0,0,0,0,0,0,0,0,0,0,0,0,0
84.9,0.0,11600678912,106,140,136,158,305,156,3547.0,170,153,150,311,70.1,212,5614,0.00178,0.00181,0.000284,0.00056,0.00171,0.000313,0.00133,0.00642,0.000435,0.000307,0.00181,0.00225,0.000432,0.00162,0.0,0,0,0,0,0,0,0,0,0,0,0,0
85.7,0.0,11604279296,117,140,136,158,316,151,3521.0,184,153,189,322,70.1,212,5668,0.00237,0.00181,0.000284,0.00056,0.00171,0.000313,0.00133,0.00698,0.000435,0.000307,0.00181,0.00216,0.000432,0.00171,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2121.0,0.0,11605180416,117,143,136,158,316,551,3494.0,232,153,189,322,70.1,212,6092,0.00237,0.00182,0.000284,0.00056,0.00171,0.000313,0.00133,0.00755,0.00042,0.000307,0.00187,0.00217,0.000432,0.00176,0.0,0,0,0,0,0,0,0,0,0,0,0,0
2441.0,0.0,11610284032,117,143,136,245,316,551,3468.0,248,153,189,322,70.1,212,6169,0.00237,0.00221,0.000284,0.00178,0.0017,0.000313,0.00136,0.00811,0.000442,0.000307,0.00187,0.00225,0.000432,0.00195,0.0,0,0,0,0,0,0,0,0,0,0,0,0
3030.0,0.0,11613687808,117,143,136,245,307,551,3563.0,265,148,189,322,70.1,212,6266,0.00237,0.00221,0.000284,0.00178,0.0017,0.000313,0.00135,0.00867,0.000442,0.000307,0.00187,0.00225,0.000432,0.002,0.0,0,0,0,0,0,0,0,0,0,0,0,0
5614.0,0.0,11613368320,117,143,136,245,316,551,3679.0,281,156,185,322,70.1,206,6407,0.00237,0.00221,0.000435,0.00178,0.0017,0.000313,0.00134,0.00625,0.000442,0.000307,0.00187,0.00225,0.000432,0.00181,0.0,0,0,0,0,0,0,0,0,0,0,0,0
7814.0,0.0,11696697344,118,143,175,243,316,579,3651.0,298,158,192,322,70.7,221,6486,0.00237,0.00221,0.000435,0.00178,0.0017,0.00119,0.00133,0.00663,0.000442,0.000307,0.00188,0.00225,0.000482,0.00192,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8290.0,0.0,11724894208,118,143,175,244,316,579,3622.0,314,158,192,322,70.7,223,6477,0.00237,0.00221,0.000442,0.00178,0.0017,0.00125,0.00132,0.00701,0.000442,0.000307,0.00188,0.00225,0.000474,0.00195,0.0,0,0,0,0,0,0,0,0,0,0,0,0
8648.0,0.0,11728142336,118,232,174,252,316,2692,3593.0,475,158,192,322,68.5,223,8816,0.00268,0.00221,0.000442,0.00186,0.00176,0.00125,0.00131,0.00739,0.000442,0.000296,0.00188,0.00225,0.000491,0.00202,0.0,0,0,0,0,0,0,0,0,0,0,0,0
