i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0,0,13055610880,122,142,180,202,321,2072,10638,242,145,188,329,68.6,229,14879,0.00184,0.00228,0.000317,0.0014,0.00173,0.000634,0.00458,0.00663,0.000335,0.000365,0.00208,0.00216,0.000479,0.00207,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,13056331776,148,143,180,308,321,2010,10556,254,145,188,329,78.9,229,14890,0.00184,0.00228,0.000317,0.0014,0.00173,0.000634,0.00455,0.00565,0.000331,0.000365,0.0021,0.00216,0.000479,0.00199,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,13068783616,152,143,310,306,330,5286,10473,267,145,188,329,78.9,229,18236,0.00184,0.00292,0.000317,0.00317,0.00173,0.000654,0.00451,0.00593,0.000331,0.000365,0.0021,0.00209,0.000479,0.0022,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1221,13084983296,152,143,310,308,327,5286,10423,279,145,188,329,80.0,229,18198,0.00184,0.00292,0.000317,0.00317,0.00181,0.000654,0.00447,0.00621,0.000331,0.00101,0.0021,0.00217,0.000479,0.00229,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1221,12719353856,152,507,310,317,327,5286,10340,229,145,182,329,80.0,229,18434,0.00209,0.00294,0.000317,0.00317,0.00181,0.000654,0.00444,0.00649,0.000319,0.00101,0.00388,0.00217,0.000479,0.00248,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1221,12650106880,152,507,310,317,327,5286,10257,1482,170,189,318,80.0,371,19767,0.00204,0.00294,0.000317,0.00333,0.00181,0.000654,0.0044,0.00677,0.00122,0.00101,0.00388,0.00217,0.000479,0.00259,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1221,12529713152,331,507,310,317,327,5286,10175,1543,171,182,327,80.0,371,19929,0.00211,0.00294,0.000319,0.00333,0.00181,0.000654,0.00437,0.00705,0.00122,0.00104,0.00388,0.00217,0.000479,0.00261,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1221,12642680832,331,507,310,317,376,5286,10092,1604,177,5931,327,293.0,367,25918,0.00211,0.00294,0.000319,0.00333,0.00181,0.00761,0.00434,0.00733,0.00122,0.00104,0.00388,0.0021,0.000466,0.00321,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,2361,12685312000,331,527,310,1362,376,5477,10009,1665,177,5931,317,293.0,379,27153,0.00211,0.00294,0.00142,0.0122,0.00181,0.00761,0.00431,0.00762,0.00122,0.00104,0.00388,0.00243,0.000482,0.00409,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,2361,12852932608,331,527,315,1362,382,5477,9879,1726,177,5931,1298,293.0,379,28076,0.00211,0.00291,0.00142,0.0122,0.00181,0.00789,0.00427,0.00658,0.00129,0.00104,0.00401,0.00243,0.000465,0.00404,0,0,0,0,0,0,0,0,0.0,0,0,0,0
