i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0,0,12160462848,111,150,179,174,322,649,334,4899.0,148,169,324,70.8,243,7771,0.00184,0.00205,0.000349,0.000846,0.00171,0.000347,0.00518,0.00458,0.000339,0.000325,0.00164,0.00208,0.000413,0.00181,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12187168768,111,150,179,174,322,649,349,4859.0,148,169,324,71.3,243,7746,0.00184,0.00205,0.000383,0.000851,0.0017,0.000347,0.00541,0.00454,0.000339,0.000325,0.00164,0.00208,0.000413,0.00183,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12432265216,111,149,179,174,322,649,364,4819.0,157,167,399,71.3,243,7803,0.00184,0.00205,0.000383,0.000879,0.00176,0.000347,0.00564,0.00451,0.000325,0.000315,0.00164,0.00208,0.000413,0.00185,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12449136640,111,149,179,174,322,649,584,4779.0,157,167,399,71.3,243,7984,0.00186,0.00198,0.000383,0.00338,0.00176,0.000347,0.00587,0.00447,0.000336,0.000325,0.00164,0.00208,0.000412,0.00207,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12499238912,111,149,179,168,322,649,607,4739.0,157,167,399,71.3,243,7961,0.00191,0.003,0.000383,0.00338,0.00176,0.00183,0.0061,0.00442,0.000336,0.000916,0.00164,0.00211,0.000412,0.00235,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12509663232,174,149,489,514,322,649,630,4699.0,157,162,399,131.0,243,8717,0.00191,0.003,0.000383,0.00338,0.00176,0.00183,0.00633,0.00438,0.00111,0.000916,0.00164,0.00211,0.000412,0.00243,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12723154944,174,149,489,514,319,649,652,4659.0,157,2258,399,131.0,243,10793,0.00191,0.003,0.000383,0.00338,0.00176,0.00183,0.00558,0.00434,0.00111,0.000916,0.00276,0.00211,0.000412,0.00246,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12798738432,174,149,499,528,351,11002,675,4375.0,157,2258,399,131.0,243,20940,0.00191,0.003,0.000989,0.00338,0.00176,0.00183,0.00558,0.00431,0.00111,0.000916,0.00276,0.00211,0.000398,0.0025,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,0,12845834240,176,144,499,528,351,11410,698,4518.0,185,2322,405,134.0,419,21788,0.00191,0.00305,0.00101,0.00338,0.00171,0.00189,0.00864,0.00427,0.00111,0.000916,0.00276,0.00211,0.000846,0.0028,0,0,0,0,0,0,0,0,0.0,0,0,0,0
0,1622,12859723776,176,750,499,528,351,11410,1544,4478.0,186,2395,799,134.0,419,23667,0.00237,0.00305,0.00101,0.00338,0.00177,0.00189,0.00892,0.00423,0.00111,0.000916,0.00276,0.00228,0.000846,0.00288,0,0,0,0,0,0,0,0,0.0,0,0,0,0
