i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0,12008,11683663872,5354,12489,11256,20686,969,373560,670,21143.0,987,82516,9333,3257,3572,545793,0.0158,0.0641,0.0183,0.169,0.0067,0.14,0.00679,0.0969,0.0286,0.0564,0.0437,0.00623,0.0103,0.0552,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11826,11751768064,5186,12489,11129,20686,969,373560,698,20944.0,957,82516,8921,3373,3572,545002,0.0158,0.0641,0.0183,0.175,0.00637,0.14,0.00708,0.0959,0.0286,0.0564,0.0437,0.00625,0.0103,0.0557,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,12106,11760447488,5091,12489,10592,20686,969,359966,726,20774.0,949,82516,8921,3373,3572,530624,0.0151,0.0588,0.0181,0.175,0.00641,0.14,0.00737,0.0952,0.0275,0.0564,0.0432,0.00625,0.00996,0.0549,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11921,12073209856,5091,12489,10592,20686,969,356787,755,20604.0,949,82516,8921,3373,3572,527303,0.0156,0.0591,0.0174,0.172,0.00662,0.14,0.00766,0.0944,0.0275,0.0564,0.0432,0.00625,0.00989,0.0547,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11880,12196200448,5091,12489,10592,20686,969,356787,1045,20433.0,908,79390,8921,3373,3529,524214,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00795,0.0936,0.027,0.0564,0.0432,0.00625,0.0098,0.0547,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11693,12209606656,5027,12489,10592,20101,969,356787,1082,20263.0,940,79390,8921,3373,3529,523464,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00755,0.0929,0.027,0.0561,0.0432,0.00625,0.0098,0.0546,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11693,12213125120,5027,12122,10592,20101,931,356787,1119,20093.0,940,79390,8921,3251,3529,522802,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00781,0.0921,0.027,0.0544,0.0416,0.00625,0.0098,0.0542,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11960,12203630592,5027,11960,10592,19118,931,356787,1157,19923.0,940,79390,8827,3218,3529,521400,0.0152,0.0609,0.0174,0.172,0.00647,0.134,0.00808,0.0914,0.027,0.0544,0.0416,0.0062,0.00925,0.0537,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11891,12256227328,4887,11960,10592,19821,931,347141,1194,19752.0,940,78724,8827,3218,3529,511517,0.0152,0.0609,0.017,0.172,0.00647,0.134,0.00834,0.0905,0.027,0.0544,0.0416,0.00608,0.00931,0.0536,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11891,12308537344,4887,11960,10229,19821,931,343739,1232,19530.0,940,78724,8528,3218,3386,507125,0.0152,0.0609,0.017,0.172,0.00647,0.134,0.00861,0.0897,0.027,0.0544,0.0416,0.00608,0.00963,0.0536,0,0.0,0,0,0,0,0,0,0,0,0,0,0
0,11891,12319506432,4887,11960,10084,19821,931,343739,1269,19360.0,912,78724,8454,3169,3386,506695,0.0149,0.0609,0.017,0.165,0.00647,0.134,0.00887,0.0889,0.0261,0.0537,0.0397,0.00608,0.00963,0.0526,0,0.0,0,0,0,0,0,0,0,0,0,0,0
