i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0,0,11933786112,123,139,148,159,314,166,,4769.0,154,158,320,68.5,218,6737,0.00195,0.00194,0.000322,0.000519,0.0017,0.000287,0.0061,0.00295,0.000535,0.000303,0.00183,0.00239,0.000456,0.00177,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
0,5035,11936305152,123,138,148,159,310,166,201.0,4734.0,154,158,320,68.5,218,6898,0.00195,0.00194,0.000322,0.000519,0.0017,0.000569,0.0068,0.00293,0.000535,0.000303,0.00183,0.00265,0.000456,0.00187,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
0,5035,11937472512,123,133,148,159,310,1263,221.0,4699.0,154,158,320,76.9,218,7984,0.00195,0.00194,0.000322,0.000519,0.0017,0.000587,0.0075,0.00291,0.000535,0.000303,0.00201,0.00265,0.000456,0.00195,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
0,5035,11932729344,123,195,148,154,310,1312,240.0,4664.0,154,158,320,76.9,218,8075,0.00195,0.00194,0.000323,0.00202,0.0017,0.000587,0.0082,0.00288,0.000535,0.000299,0.00201,0.00265,0.000456,0.00213,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
0,5035,11932811264,121,195,202,357,316,1312,260.0,4630.0,154,158,320,76.9,209,8312,0.00195,0.00253,0.000526,0.00202,0.00164,0.000587,0.0089,0.00286,0.000535,0.000309,0.00202,0.00265,0.000534,0.00226,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
0,5314,11924406272,125,195,202,367,316,1312,280.0,4595.0,148,1037,419,76.9,251,9324,0.00195,0.00253,0.000526,0.00202,0.00165,0.000587,0.0096,0.00295,0.000518,0.000871,0.00202,0.00266,0.000534,0.00237,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
2045,5314,11929956352,125,199,202,367,316,1312,300.0,4560.0,166,1037,426,76.9,251,9337,0.00195,0.00253,0.000526,0.0021,0.0017,0.00276,0.0103,0.00292,0.000998,0.000871,0.00202,0.00266,0.000534,0.00266,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
4323,5314,11941486592,210,199,202,367,316,1312,320.0,1843.0,166,1037,426,76.9,251,6725,0.00222,0.00253,0.000526,0.0021,0.00164,0.00276,0.0076,0.0029,0.00102,0.000871,0.00202,0.00266,0.000544,0.00245,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
4676,10214,11933011968,210,199,202,367,316,6280,340.0,1829.0,166,1037,426,136.0,251,11758,0.00222,0.00253,0.000532,0.0021,0.00186,0.00276,0.00808,0.00288,0.00102,0.000871,0.00202,0.00274,0.000544,0.00251,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
5030,10214,11934535680,210,199,202,367,317,6619,955.0,1815.0,166,1037,426,136.0,251,12698,0.00222,0.00253,0.000532,0.0021,0.00186,0.00276,0.00857,0.00286,0.00102,0.000871,0.00289,0.00274,0.000771,0.00264,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
