i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
87.1,0,11367145472,111,138,140,155,314,161,191,3777.0,152,159,323,69.0,215,5907,0.00158,0.00184,0.000297,0.000493,0.00148,0.000232,0.00702,0.00177,0.000451,0.000289,0.00171,0.00234,0.000445,0.00166,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
87.9,0,11365793792,111,138,140,158,314,161,212,3749.0,151,159,329,69.0,220,5911,0.00158,0.0019,0.000297,0.000487,0.00148,0.000232,0.00781,0.00182,0.000429,0.000317,0.00183,0.00234,0.000445,0.00175,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
87.3,294,11362508800,115,138,140,163,314,161,232,3995.0,151,159,329,73.0,224,6194,0.00158,0.0019,0.000277,0.000487,0.00148,0.000232,0.00861,0.0018,0.000432,0.000317,0.00183,0.00234,0.000457,0.00181,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
86.7,304,11361492992,116,138,140,163,314,161,171,3965.0,151,159,329,73.0,224,6104,0.00158,0.0019,0.000287,0.000487,0.00143,0.000232,0.0094,0.00179,0.000457,0.000317,0.00183,0.00234,0.000457,0.00188,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
239.0,593,11365306368,116,137,140,163,313,161,171,3935.0,151,159,326,73.0,224,6069,0.00158,0.0019,0.000287,0.000487,0.0015,0.000232,0.00593,0.00178,0.000457,0.000317,0.00183,0.0024,0.000457,0.0016,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
406.0,606,11369754624,116,137,180,163,313,2443,171,3906.0,152,712,326,73.0,224,8916,0.00167,0.00185,0.000287,0.000487,0.0015,0.000232,0.00639,0.00176,0.000457,0.000317,0.00177,0.00239,0.000456,0.00163,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
437.0,606,11375300608,116,137,180,163,302,2556,474,3876.0,152,724,326,70.9,224,9299,0.00167,0.00292,0.000287,0.000487,0.0015,0.000236,0.00685,0.00175,0.000457,0.000317,0.00183,0.00239,0.000456,0.00176,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
468.0,606,11377790976,116,137,182,163,321,2556,505,3846.0,152,747,326,73.4,224,9346,0.00167,0.00292,0.000287,0.00463,0.0015,0.000236,0.0073,0.00174,0.000457,0.000984,0.00183,0.00239,0.000456,0.0022,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
498.0,606,11382841344,111,133,182,555,321,2556,536,3816.0,152,747,472,73.4,224,9877,0.00167,0.00292,0.000512,0.0048,0.0015,0.00229,0.00776,0.00173,0.000457,0.000984,0.00183,0.00239,0.000456,0.00244,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
530.0,606,11389280256,198,132,182,555,321,2556,567,3787.0,147,747,472,73.4,217,9952,0.00167,0.00292,0.000512,0.0048,0.0015,0.00229,0.00822,0.00178,0.000457,0.00102,0.00177,0.00239,0.000456,0.00248,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
502.0,590,11393683456,198,420,182,575,321,2556,598,3757.0,165,747,471,71.1,291,10350,0.00167,0.00292,0.000512,0.0048,0.00156,0.00229,0.00868,0.00177,0.000993,0.00102,0.00284,0.00239,0.000615,0.00267,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
446.0,620,11395686400,198,420,182,575,319,2556,629,3879.0,164,2195,488,143.0,291,12040,0.00167,0.00292,0.000509,0.0048,0.00157,0.00229,0.0077,0.00176,0.000993,0.00102,0.00284,0.00239,0.000594,0.00259,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
407.0,603,11456217088,198,420,182,575,319,2556,660,4002.0,164,2195,488,143.0,291,12193,0.00167,0.00451,0.000512,0.0048,0.00157,0.00242,0.00809,0.00174,0.000993,0.00102,0.00284,0.00247,0.000598,0.00277,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
414.0,603,11463176192,198,420,176,575,319,2559,1137,3970.0,164,2195,488,143.0,291,12635,0.00162,0.00451,0.00053,0.0048,0.00157,0.00242,0.00848,0.00173,0.000993,0.00102,0.00284,0.00247,0.000618,0.0028,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
353.0,603,11482480640,198,420,176,575,339,2637,1189,3937.0,164,2195,671,143.0,291,12935,0.00205,0.00465,0.000854,0.00509,0.00157,0.00242,0.00886,0.00172,0.000993,0.00102,0.00288,0.00247,0.000618,0.00293,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
369.0,603,11488526336,198,420,483,575,339,14546,1240,3905.0,164,2314,671,142.0,291,25288,0.00205,0.00465,0.000854,0.00491,0.00157,0.00242,0.00925,0.0017,0.000993,0.00262,0.00288,0.00247,0.000618,0.00308,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
383.0,603,11495297024,198,778,483,1427,339,14546,1291,3873.0,164,2314,671,219.0,291,26594,0.00205,0.00465,0.000854,0.00488,0.00157,0.00742,0.00963,0.00171,0.000993,0.00262,0.00288,0.00247,0.000618,0.00353,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
397.0,578,11576913920,192,783,483,1437,339,14546,1342,3841.0,164,2314,671,219.0,291,26622,0.00205,0.00465,0.000854,0.017,0.00157,0.00742,0.01,0.00176,0.000993,0.00262,0.00288,0.00259,0.000618,0.00458,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
380.0,587,11744264192,368,808,483,1486,345,14546,1831,3808.0,200,2314,671,219.0,286,27366,0.00205,0.00749,0.000854,0.017,0.00153,0.00742,0.00879,0.00174,0.000961,0.00262,0.00279,0.00259,0.000963,0.00473,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
312.0,606,11813220352,380,808,483,1486,345,14546,1898,3776.0,200,2239,671,219.0,432,27485,0.00205,0.00749,0.000854,0.017,0.00152,0.00742,0.011,0.00173,0.000961,0.00262,0.00277,0.0026,0.000963,0.00491,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
321.0,615,11843461120,380,808,483,1486,345,24150,1966,4046.0,200,5581,945,219.0,432,41041,0.00207,0.00749,0.000854,0.017,0.00179,0.00782,0.0114,0.00172,0.00241,0.00262,0.00448,0.0026,0.000963,0.00527,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
329.0,615,11982090240,380,808,491,1486,373,24150,2033,4011.0,200,5581,945,219.0,432,41109,0.00249,0.00749,0.00139,0.017,0.00179,0.00782,0.0118,0.0017,0.00241,0.00269,0.00461,0.0026,0.000983,0.0054,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
337.0,615,12123955200,380,808,507,2421,373,25223,2100,3976.0,200,5581,945,219.0,432,43165,0.00249,0.00781,0.00139,0.0177,0.00179,0.012,0.0122,0.00169,0.00241,0.00278,0.00461,0.0026,0.000983,0.00587,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
349.0,615,12143775744,380,808,924,2421,373,25223,2167,3942.0,200,5889,945,219.0,432,43923,0.00249,0.00781,0.00139,0.0253,0.00179,0.012,0.0126,0.00167,0.00241,0.00278,0.00461,0.0026,0.000983,0.00654,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
359.0,605,12151738368,380,808,924,2421,373,25223,2235,3907.0,223,5889,945,212.0,432,43971,0.00249,0.00781,0.00139,0.0253,0.00179,0.012,0.013,0.00172,0.00241,0.00268,0.00461,0.0026,0.000983,0.00657,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
368.0,603,12163325952,610,1386,924,2421,375,25223,2302,3872.0,230,5889,945,396.0,536,45108,0.00249,0.00781,0.00139,0.0253,0.00176,0.012,0.0134,0.00171,0.00241,0.0052,0.00461,0.0026,0.00125,0.00683,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
376.0,583,12169785344,610,1466,924,2541,375,25223,3014,3837.0,230,9156,954,408.0,537,49275,0.00253,0.00757,0.00139,0.0253,0.00199,0.012,0.0138,0.0017,0.00241,0.0052,0.00461,0.00251,0.00127,0.00686,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
323.0,607,12279758848,636,1466,924,2541,375,25223,3100,3802.0,230,9156,986,408.0,540,49387,0.00299,0.0119,0.00145,0.0253,0.00199,0.0165,0.0155,0.00168,0.00241,0.0052,0.00461,0.00286,0.00131,0.00781,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
307.0,607,12279562240,636,1466,924,2541,375,24451,3185,3768.0,230,9156,1456,408.0,558,49153,0.00299,0.0119,0.00145,0.0265,0.00199,0.017,0.0159,0.00167,0.00238,0.0052,0.00676,0.00286,0.00131,0.00816,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
313.0,607,12323250176,636,1466,924,2541,363,48358,3271,3979.0,230,9156,1456,408.0,558,73345,0.00299,0.0121,0.0014,0.0345,0.00199,0.0176,0.0164,0.00165,0.00415,0.0052,0.00676,0.00286,0.00131,0.00907,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
320.0,607,12352471040,636,1466,969,2465,409,48358,3357,3942.0,258,9156,1456,408.0,558,73436,0.00299,0.0122,0.00226,0.0345,0.00199,0.0176,0.0168,0.00169,0.00415,0.00547,0.00676,0.00286,0.00131,0.00922,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
326.0,607,12407287808,636,1466,969,3938,409,48358,3442,3905.0,258,9577,1456,408.0,558,75378,0.00299,0.0126,0.00226,0.0345,0.00199,0.0176,0.0172,0.00168,0.00415,0.00547,0.00676,0.00286,0.00131,0.00929,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
335.0,607,12428017664,636,1466,934,3938,415,48358,3528,3868.0,259,9577,1456,583.0,741,75756,0.00305,0.0126,0.00226,0.0345,0.00219,0.0176,0.0177,0.00166,0.00415,0.00547,0.00676,0.00286,0.00131,0.00934,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
341.0,607,12428836864,615,2293,1680,3938,415,48358,3237,3830.0,259,9577,1456,583.0,741,76981,0.00305,0.0126,0.00226,0.0345,0.00219,0.0176,0.0181,0.00165,0.00415,0.00852,0.00686,0.00286,0.00127,0.00964,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
346.0,606,12430790656,997,2293,1680,4138,415,48358,3237,3793.0,259,9577,1456,604.0,741,77546,0.00305,0.0168,0.00232,0.0359,0.00222,0.0176,0.0185,0.00163,0.00415,0.00852,0.00712,0.00286,0.00189,0.0102,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
314.0,606,12436578304,997,2370,1680,4138,415,48358,3237,4003.0,301,15086,2058,604.0,741,83989,0.00296,0.0168,0.0024,0.042,0.00222,0.0171,0.0169,0.00169,0.00415,0.00852,0.00712,0.00312,0.00196,0.0106,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
304.0,606,12450500608,997,2370,1680,4138,415,48358,5003,3964.0,301,15086,2058,604.0,770,85745,0.00384,0.0168,0.00323,0.042,0.00222,0.0258,0.0225,0.00167,0.00403,0.00852,0.00712,0.00312,0.00196,0.0119,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
308.0,606,12454244352,997,2370,1680,4138,415,73948,5114,3924.0,301,15503,2058,604.0,770,111824,0.00385,0.0168,0.00323,0.042,0.00222,0.027,0.023,0.00166,0.00597,0.00852,0.0102,0.00312,0.00196,0.0125,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
312.0,606,12468391936,997,2917,1755,4138,463,73948,5225,3885.0,304,15995,2058,604.0,770,113060,0.00399,0.0168,0.00323,0.042,0.00222,0.027,0.0235,0.00164,0.00616,0.00891,0.0102,0.00312,0.00196,0.0126,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
320.0,606,12473581568,997,2917,1755,4138,463,73948,5335,3845.0,314,15995,2058,604.0,770,113141,0.00399,0.0173,0.00323,0.042,0.00245,0.027,0.024,0.00162,0.00616,0.00891,0.0102,0.00312,0.00196,0.0127,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
324.0,595,12476129280,1019,3004,1755,5357,471,73948,5446,3806.0,314,19817,2058,612.0,1005,118611,0.00399,0.0174,0.00323,0.0436,0.00242,0.027,0.0245,0.00161,0.00616,0.00891,0.0102,0.00312,0.00196,0.0128,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
316.0,595,12485488640,1026,3101,1755,5576,471,73948,5557,4011.0,314,19817,2106,608.0,1005,119293,0.00399,0.022,0.00323,0.0502,0.00251,0.027,0.025,0.0017,0.00616,0.0116,0.0102,0.00312,0.0026,0.0141,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
320.0,607,12485828608,1025,3101,2503,5576,471,90769,6455,3969.0,314,19817,2120,935.0,1005,138059,0.00399,0.022,0.00323,0.0502,0.00251,0.027,0.0255,0.00169,0.00616,0.0116,0.0102,0.00312,0.0026,0.0141,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
324.0,609,12475924480,1486,3101,2503,5576,471,90769,6581,3927.0,305,19817,2759,935.0,1039,139268,0.00473,0.022,0.00339,0.0502,0.00251,0.027,0.026,0.00167,0.00746,0.0116,0.0106,0.00305,0.0026,0.0144,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0
