i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13
0,0,11289747456,111,139,178,153,322,1001,4581.0,143,154,168,325,67.3,227,7569,0.0019,0.00187,0.000331,0.000665,0.00172,0.000365,0.00262,0.00702,0.000419,0.000313,0.00163,0.00225,0.000455,0.0018,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11288674304,110,139,177,153,322,1001,4548.0,158,154,168,325,67.3,229,7552,0.0019,0.00187,0.000331,0.000665,0.00172,0.00037,0.0026,0.00777,0.000415,0.000323,0.00163,0.00225,0.000455,0.00186,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11289317376,110,139,177,197,320,1001,4516.0,173,153,168,325,67.3,229,7574,0.0019,0.00195,0.000331,0.000665,0.00172,0.00037,0.00258,0.00496,0.000415,0.000323,0.00163,0.00225,0.000455,0.00163,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11292655616,110,139,177,203,314,2466,4483.0,188,153,168,325,67.3,227,9021,0.00189,0.00196,0.000331,0.000676,0.00172,0.00037,0.00256,0.00539,0.000416,0.000313,0.00163,0.00225,0.000455,0.00166,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11298971648,110,134,177,203,314,2466,4451.0,202,153,168,325,67.3,227,8999,0.00189,0.00203,0.000331,0.000676,0.00172,0.000359,0.00242,0.00583,0.000416,0.000604,0.00157,0.00209,0.000455,0.0017,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11305426944,110,243,177,203,314,2466,4418.0,434,153,168,325,67.3,227,9307,0.00189,0.00203,0.000331,0.000676,0.00172,0.00179,0.00242,0.00626,0.000416,0.000604,0.00163,0.00222,0.000455,0.00187,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11309547520,110,243,177,203,314,2549,4386.0,463,153,169,444,66.4,227,9505,0.00189,0.00203,0.000331,0.000676,0.00167,0.00179,0.00242,0.00669,0.000416,0.000604,0.00163,0.00229,0.000528,0.00191,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11312218112,110,243,177,203,314,2549,4206.0,493,153,1473,444,66.4,227,10658,0.00183,0.00203,0.000308,0.000676,0.00166,0.00188,0.00249,0.00712,0.000416,0.000604,0.00235,0.00229,0.000528,0.00201,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,4009,11403481088,110,243,177,701,314,2549,4348.0,522,144,1473,435,64.3,227,11308,0.00223,0.00369,0.00048,0.00857,0.00176,0.00188,0.00247,0.00654,0.000406,0.000604,0.00235,0.00229,0.000528,0.00282,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,4009,11423621120,106,243,353,701,314,2549,4315.0,552,149,1473,438,144.0,303,11641,0.00223,0.00369,0.000496,0.0088,0.00176,0.00188,0.00245,0.00691,0.000419,0.000605,0.00235,0.00229,0.000528,0.00287,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,7973,11441479680,106,243,353,701,307,12308,4282.0,582,174,1473,452,144.0,303,21428,0.00223,0.00369,0.000496,0.00886,0.00176,0.00188,0.00243,0.00728,0.00113,0.00061,0.00235,0.00251,0.000528,0.00298,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,7973,11459084288,292,243,353,701,339,12308,4250.0,611,174,1473,452,144.0,300,21641,0.00223,0.00369,0.000496,0.00914,0.00176,0.00188,0.00241,0.00766,0.00113,0.00061,0.00235,0.00251,0.000781,0.00305,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,7973,11482042368,300,738,353,716,339,12308,4217.0,1446,174,1473,452,150.0,310,22975,0.00225,0.00379,0.000496,0.00914,0.00176,0.00654,0.00239,0.00803,0.00113,0.00252,0.00235,0.00251,0.000804,0.00364,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,8197,11505295360,300,738,353,739,339,12308,4184.0,1512,174,1473,452,150.0,310,23032,0.00256,0.00379,0.000496,0.00914,0.00188,0.00654,0.00237,0.00904,0.00113,0.00252,0.00235,0.00251,0.000804,0.00376,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,8205,11673030656,300,738,353,739,339,12956,4151.0,1579,174,1538,848,150.0,310,24175,0.00256,0.00607,0.000496,0.00914,0.00189,0.00654,0.00236,0.00944,0.00113,0.00252,0.00238,0.00252,0.000804,0.00399,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,8205,11776634880,300,738,361,739,339,12956,4119.0,1646,174,5658,848,150.0,310,28337,0.00256,0.00607,0.000496,0.0183,0.00189,0.00688,0.00234,0.00984,0.00113,0.00252,0.00431,0.00252,0.000804,0.00497,0.0,0,0,0,0,0,0,0,0,0,0,0,0
0,8205,11894165504,300,738,794,739,364,28134,4086.0,1713,174,5658,848,150.0,310,44008,0.00256,0.00607,0.00117,0.0183,0.00189,0.00688,0.00232,0.0102,0.00113,0.00252,0.00431,0.00252,0.000804,0.00506,0.0,0,0,0,0,0,0,0,0,0,0,0,0
