Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
22,10,104.0
24,11,67.72727272727273
26,16,119.6875
28,20,165.55
30,25,67.24
32,21,81.47619047619048
34,34,157.41176470588235
36,43,223.8372093023256
38,35,110.28571428571429
40,43,154.0
42,59,192.72881355932202
44,54,203.96296296296296
46,53,181.0
48,56,211.42857142857142
50,62,279.64516129032256
52,60,158.93333333333334
54,64,312.28125
56,45,142.6
58,53,215.83018867924528
60,44,152.27272727272728
62,68,612.1176470588235
64,61,173.91803278688525
66,68,187.44117647058823
68,50,109.5
70,53,649.0188679245283
72,71,231.0
74,54,139.66666666666666
76,62,206.11290322580646
78,34,108.73529411764706
80,78,150.84615384615384
82,45,186.73333333333332
84,69,240.04347826086956
86,58,164.55172413793105
88,60,189.68333333333334
90,44,139.5
92,73,189.94520547945206
94,57,149.3859649122807
96,61,149.55737704918033
98,23,703.8695652173913
100,63,463.8888888888889
102,61,488.04918032786884
104,74,514.1081081081081
106,56,164.17857142857142
108,48,101.5625
110,57,117.26315789473684
112,57,151.8421052631579
114,63,193.28571428571428
116,64,153.75
118,61,228.0
120,51,127.92156862745098
122,55,178.6
124,53,124.62264150943396
126,57,175.33333333333334
128,59,174.94915254237287
130,59,124.89830508474576
132,53,110.01886792452831
134,66,172.24242424242425
136,59,164.9322033898305
138,60,266.21666666666664
140,58,216.0
142,63,216.0
144,48,283.5416666666667
146,63,217.0
148,57,158.01754385964912
150,50,147.76
152,55,278.03636363636366
154,67,163.2537313432836
156,55,410.76363636363635
158,79,218.0
160,65,160.56923076923076
162,56,149.33928571428572
164,59,216.0
166,51,139.54901960784315
168,66,275.07575757575756
170,52,138.75
172,65,152.2
174,63,477.1746031746032
176,47,307.1914893617021
178,65,546.4615384615385
180,48,134.3125
182,22,223.0
184,83,488.66265060240966
186,53,143.79245283018867
188,65,87.67692307692307
190,55,141.6727272727273
192,55,392.6545454545454
194,57,143.6315789473684
196,66,152.86363636363637
198,51,224.0
200,50,126.76
202,65,147.2
204,68,148.5441176470588
206,54,127.5
208,51,120.0
210,62,219.0
212,43,461.09302325581393
214,75,150.6
216,58,220.0
218,56,220.0
220,49,108.91836734693878
222,52,219.0
224,74,143.74324324324326
226,47,98.51063829787235
228,67,217.0
230,57,116.29824561403508
232,49,570.4285714285714
234,77,371.3636363636364
236,69,221.0
238,50,101.3
240,60,220.0
242,71,220.0
244,55,220.0
246,54,104.72222222222223
248,55,104.81818181818181
250,53,456.9811320754717
252,76,220.0
254,56,220.0
256,62,220.0
258,60,110.21666666666667
260,76,219.0
262,58,103.12068965517241
264,52,87.75
266,61,217.0
268,54,89.44444444444444
270,68,216.0
272,64,106.3125
274,50,215.0
276,58,92.10344827586206
278,58,214.0
280,53,214.0
282,71,316.9577464788732
284,54,78.62962962962963
286,62,214.0
288,70,214.0
290,60,88.06666666666666
292,55,213.0
294,62,213.0
296,65,93.95384615384616
298,69,212.0
300,41,212.0
302,40,606.4
304,79,314.8481012658228
306,55,69.14545454545454
308,52,214.0
310,58,73.79310344827586
312,57,213.0
314,49,44.87755102040816
316,69,212.0
318,60,72.55
320,60,211.0
322,1,211.0
