Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,2,36.0
4,2,21.0
6,4,79.0
8,7,33.142857142857146
10,4,25.0
12,7,42.0
14,9,54.333333333333336
16,11,49.36363636363637
18,5,24.8
20,10,37.7
22,6,54.5
24,14,132.92857142857142
26,11,41.90909090909091
28,13,73.46153846153847
30,14,50.357142857142854
32,13,88.92307692307692
34,23,108.78260869565217
36,21,169.71428571428572
38,12,64.16666666666667
40,10,79.0
42,20,68.0
44,25,127.0
46,23,106.30434782608695
48,8,16.0
50,21,68.85714285714286
52,20,50.3
54,21,63.904761904761905
56,29,129.6206896551724
58,26,83.0
60,25,66.28
62,28,97.92857142857143
64,28,66.07142857142857
66,33,128.0909090909091
68,18,85.0
70,27,146.33333333333334
72,23,63.0
74,29,107.82758620689656
76,33,107.3030303030303
78,32,130.8125
80,29,115.06896551724138
82,38,130.73684210526315
84,40,171.6
86,36,98.0
88,21,177.33333333333334
90,37,217.56756756756758
92,36,256.0
94,44,154.1818181818182
96,39,163.71794871794873
98,28,151.32142857142858
100,48,271.3125
102,43,277.6046511627907
104,44,155.1818181818182
106,52,176.30769230769232
108,43,103.0
110,50,131.0
112,47,131.0
114,49,159.42857142857142
116,44,99.3409090909091
118,38,169.81578947368422
120,63,156.4126984126984
122,48,199.08333333333334
124,61,270.0
126,38,184.3421052631579
128,38,186.3421052631579
130,70,295.6857142857143
132,53,113.16981132075472
134,48,186.45833333333334
136,47,106.70212765957447
138,66,207.8181818181818
140,34,329.0882352941176
142,72,269.3888888888889
144,63,156.0
146,48,109.66666666666667
148,47,106.68085106382979
150,55,196.29090909090908
152,57,196.80701754385964
154,79,280.65822784810126
156,63,160.0
158,64,240.90625
160,63,204.0952380952381
162,70,240.77142857142857
164,54,165.0
166,66,165.0
168,68,165.0
170,59,215.32203389830508
172,78,244.12820512820514
174,63,168.0
176,72,212.19444444444446
178,78,169.0
180,63,169.0
182,64,169.0
184,78,169.0
186,63,169.0
188,77,403.09090909090907
190,69,174.0
192,75,223.98666666666668
194,73,227.35616438356163
196,77,226.63636363636363
198,85,223.87058823529412
200,72,178.0
202,88,272.1818181818182
204,86,278.3720930232558
206,66,116.9090909090909
208,82,181.0
210,74,181.0
212,87,233.17241379310346
214,73,245.17808219178082
216,55,1031.5454545454545
218,87,411.57471264367814
220,86,197.0
222,54,287.6296296296296
224,86,255.90697674418604
226,88,199.0
228,73,199.0
230,56,106.19642857142857
232,89,198.0
234,77,198.0
236,83,329.2289156626506
238,81,268.2345679012346
240,79,201.0
242,73,123.20547945205479
244,77,200.0
246,65,110.44615384615385
248,85,268.4823529411765
250,73,200.0
252,72,115.95833333333333
254,75,199.0
256,70,199.0
258,82,199.0
260,69,474.95652173913044
262,101,393.5247524752475
264,67,205.0
266,64,102.203125
268,88,279.7613636363636
270,79,205.0
272,80,205.0
274,85,205.0
276,77,205.0
278,85,205.0
280,57,205.0
282,97,279.50515463917526
284,81,115.77777777777777
286,74,205.0
288,79,299.44303797468353
290,88,291.78409090909093
292,96,286.6354166666667
294,82,113.76829268292683
296,71,316.83098591549293
298,84,208.0
300,74,208.0
302,63,208.0
304,86,302.24418604651163
306,73,209.0
308,68,209.0
310,93,298.6666666666667
312,79,316.55696202531647
314,65,80.49230769230769
316,78,319.7564102564103
318,74,327.68918918918916
320,74,212.0
322,71,88.33802816901408
324,80,211.0
326,77,211.0
328,85,211.0
330,71,339.07042253521126
332,91,312.9230769230769
334,78,213.0
336,86,104.30232558139535
338,70,212.0
340,74,212.0
342,78,212.0
344,75,212.0
346,60,212.0
348,84,328.5357142857143
350,74,213.0
352,74,347.2837837837838
354,66,365.56060606060606
356,66,215.0
358,70,649.5285714285715
360,53,218.0
362,112,586.0
364,68,69.47058823529412
366,75,221.0
368,75,221.0
370,76,221.0
372,88,221.0
374,82,614.9512195121952
376,79,224.0
378,72,224.0
380,76,224.0
382,84,224.0
384,83,224.0
386,66,224.0
388,87,224.0
390,89,352.13483146067415
392,80,225.0
394,69,57.56521739130435
396,84,224.0
398,85,224.0
400,80,371.525
402,65,42.43076923076923
404,78,377.14102564102564
406,78,225.0
408,67,225.0
410,95,353.2631578947368
412,76,226.0
414,73,226.0
416,81,72.72839506172839
418,78,225.0
420,38,225.0
422,108,810.1388888888889
424,73,55.863013698630134
426,58,669.3448275862069
428,75,231.0
430,81,231.0
432,81,231.0
434,66,231.0
436,79,397.4810126582278
438,84,232.0
440,70,232.0
442,85,389.54117647058825
444,73,233.0
446,76,54.8421052631579
448,74,232.0
450,83,232.0
452,66,232.0
454,95,377.87368421052633
456,68,233.0
458,68,233.0
460,78,52.58974358974359
462,72,624.8888888888889
464,94,234.0
466,66,234.0
468,84,234.0
470,77,234.0
472,76,234.0
474,82,234.0
476,63,234.0
478,69,20.159420289855074
480,84,409.6547619047619
482,71,234.0
484,65,234.0
486,77,234.0
488,88,578.0909090909091
490,77,236.0
492,90,236.0
494,74,236.0
496,66,236.0
498,75,236.0
500,84,50.214285714285715
502,78,235.0
504,34,235.0
506,0,0
508,0,0
