Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,1,255.0
26,2,60.0
28,3,39.0
30,6,26.0
32,3,39.0
34,5,75.0
36,8,71.0
38,5,34.6
40,8,87.75
42,10,170.1
44,11,38.90909090909091
46,9,76.0
48,8,56.25
50,10,136.3
52,12,114.66666666666667
54,15,208.73333333333332
56,18,71.22222222222223
58,15,126.8
60,24,157.66666666666666
62,17,74.47058823529412
64,14,61.285714285714285
66,15,102.0
68,16,72.625
70,18,114.05555555555556
72,15,65.26666666666667
74,22,85.81818181818181
76,23,125.21739130434783
78,24,156.16666666666666
80,24,88.95833333333333
82,26,103.0
84,20,62.3
86,20,549.35
88,26,122.0
90,26,103.57692307692308
92,17,266.88235294117646
94,24,104.33333333333333
96,32,176.75
98,36,128.0
100,26,80.76923076923077
102,30,83.06666666666666
104,33,124.0
106,44,205.9318181818182
108,29,77.27586206896552
110,41,88.41463414634147
112,40,145.775
114,38,148.8684210526316
116,47,146.48936170212767
118,46,128.0
120,28,128.0
122,47,172.12765957446808
124,33,162.42424242424244
126,43,131.0
128,38,161.28947368421052
130,51,155.5686274509804
132,31,133.0
134,46,299.82608695652175
136,41,235.58536585365854
138,51,115.11764705882354
140,48,111.4375
142,40,212.95
144,51,112.3921568627451
146,66,212.63636363636363
148,46,249.7826086956522
150,52,147.0
152,50,147.0
154,46,108.52173913043478
156,50,146.0
158,59,273.3898305084746
160,48,150.0
162,53,112.64150943396227
164,36,149.0
166,51,149.0
168,38,93.60526315789474
170,58,558.2241379310345
172,38,390.6842105263158
174,39,105.56410256410257
176,55,162.0
178,50,115.1
180,47,110.1063829787234
182,30,402.2
184,53,396.49056603773585
186,67,471.5223880597015
188,48,122.04166666666667
190,41,110.82926829268293
192,49,119.3061224489796
194,34,173.0
196,50,173.0
198,65,129.47692307692307
200,41,102.0
202,39,394.7692307692308
204,44,442.45454545454544
206,66,223.74242424242425
208,46,179.0
210,60,126.91666666666667
212,37,92.54054054054055
214,35,85.65714285714286
216,46,176.0
218,52,112.63461538461539
220,52,175.0
222,53,175.0
224,45,251.55555555555554
226,56,176.0
228,54,241.83333333333334
230,39,177.0
232,49,177.0
234,62,177.0
236,50,101.9
238,53,176.0
240,47,176.0
242,51,176.0
244,44,265.77272727272725
246,46,177.0
248,44,177.0
250,50,177.0
252,65,177.0
254,51,94.52941176470588
256,34,176.0
258,61,176.0
260,49,176.0
262,32,176.0
264,58,329.1034482758621
266,53,347.54716981132077
268,61,254.65573770491804
270,52,181.0
272,37,181.0
274,55,351.8363636363636
276,50,88.04
278,50,182.0
280,52,182.0
282,41,182.0
284,48,182.0
286,47,75.91489361702128
288,46,181.0
290,31,181.0
292,72,466.27777777777777
294,42,185.0
296,46,71.45652173913044
298,50,184.0
300,53,184.0
302,52,80.57692307692308
304,44,183.0
306,60,183.0
308,55,82.32727272727273
310,43,182.0
312,41,44.90243902439025
314,57,181.0
316,53,289.1320754716981
318,44,182.0
320,41,40.146341463414636
322,63,181.0
324,52,181.0
326,55,181.0
328,47,181.0
330,47,181.0
332,51,181.0
334,27,181.0
336,58,288.17241379310343
338,56,182.0
340,34,0
342,58,181.0
344,53,181.0
346,50,181.0
348,57,181.0
350,51,181.0
352,47,181.0
354,58,181.0
356,45,31.555555555555557
358,42,180.0
360,54,306.31481481481484
362,47,181.0
364,43,181.0
366,51,44.490196078431374
368,54,180.0
370,42,180.0
372,61,180.0
374,46,180.0
376,42,8.404761904761905
378,47,179.0
380,48,179.0
382,59,179.0
384,34,179.0
386,50,30.1
388,63,178.0
390,49,178.0
392,30,430.9
394,46,179.0
396,74,491.44594594594594
398,33,0
400,46,181.0
402,33,181.0
404,45,355.75555555555553
406,57,182.0
408,39,182.0
410,61,182.0
412,35,182.0
414,53,182.0
416,50,18.82
418,42,181.0
420,54,181.0
422,47,181.0
424,56,181.0
426,44,181.0
428,52,181.0
430,53,20.49056603773585
432,54,180.0
434,54,180.0
436,36,180.0
438,45,180.0
440,57,180.0
442,43,180.0
444,53,13.037735849056604
446,46,179.0
448,46,179.0
450,51,179.0
452,50,179.0
454,48,0
456,66,178.0
458,45,178.0
460,52,355.9423076923077
462,39,0
464,46,178.0
466,49,178.0
468,57,178.0
470,54,178.0
472,51,0
474,40,177.0
476,54,177.0
478,49,177.0
480,58,177.0
482,57,4.947368421052632
484,40,176.0
486,46,176.0
488,42,176.0
490,68,28.897058823529413
492,45,175.0
494,46,175.0
496,36,175.0
498,39,435.7435897435897
500,80,304.1125
502,29,177.0
504,64,338.59375
506,51,178.0
508,51,178.0
510,48,178.0
512,43,178.0
514,47,178.0
516,46,0
518,46,177.0
520,55,177.0
522,54,177.0
524,28,177.0
526,60,177.0
528,36,479.97222222222223
530,57,370.35087719298247
532,53,0
534,51,395.01960784313724
536,34,179.0
538,50,179.0
540,57,179.0
542,48,179.0
544,52,179.0
546,44,0
548,39,178.0
550,48,178.0
552,54,178.0
554,46,178.0
556,42,178.0
558,61,178.0
560,44,178.0
562,45,0
564,56,177.0
566,57,177.0
568,45,177.0
570,48,177.0
572,53,177.0
574,49,177.0
576,55,177.0
578,51,177.0
580,53,0
582,35,176.0
584,45,176.0
586,49,176.0
588,50,176.0
590,37,176.0
592,50,176.0
594,51,176.0
596,44,176.0
598,49,690.6530612244898
600,43,178.0
602,58,0
604,51,427.2156862745098
606,45,0
608,52,177.0
610,42,177.0
612,31,177.0
614,58,177.0
616,57,177.0
618,39,177.0
620,42,177.0
622,55,177.0
624,28,177.0
626,68,567.5294117647059
628,49,179.0
630,52,0
632,49,178.0
634,55,178.0
636,39,178.0
638,51,178.0
640,51,178.0
642,46,178.0
644,44,178.0
646,51,178.0
648,51,178.0
650,52,178.0
652,42,0
654,48,177.0
656,39,177.0
658,55,177.0
660,56,177.0
662,62,177.0
664,47,177.0
666,43,0
668,31,176.0
670,74,370.1216216216216
672,42,177.0
674,61,177.0
676,16,177.0
678,83,352.50602409638554
680,47,178.0
682,38,178.0
684,58,178.0
686,46,0
688,59,177.0
690,35,177.0
692,42,177.0
694,57,177.0
