Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
14,0,0
16,1,34.0
18,1,68.0
20,2,51.0
22,3,53.333333333333336
24,5,76.0
26,4,190.0
28,4,74.0
30,5,30.0
32,7,55.142857142857146
34,13,52.23076923076923
36,11,41.54545454545455
38,5,37.6
40,3,81.33333333333333
42,12,111.66666666666667
44,18,157.77777777777777
46,9,177.55555555555554
48,11,114.72727272727273
50,16,63.5
52,16,73.75
54,21,105.9047619047619
56,13,64.3076923076923
58,19,110.94736842105263
60,10,50.2
62,18,77.38888888888889
64,19,89.0
66,19,186.6315789473684
68,15,77.33333333333333
70,21,152.33333333333334
72,17,155.11764705882354
74,27,140.33333333333334
76,19,85.84210526315789
78,28,174.0
80,29,181.58620689655172
82,27,147.1851851851852
84,30,100.06666666666666
86,30,98.06666666666666
88,30,167.8
90,27,137.92592592592592
92,36,134.69444444444446
94,47,160.36170212765958
96,25,148.92
98,20,157.65
100,45,206.0
102,28,129.0
104,36,151.27777777777777
106,41,109.4390243902439
108,39,196.84615384615384
110,39,132.0
112,30,163.7
114,41,157.1951219512195
116,27,398.18518518518516
118,46,511.4347826086956
120,48,157.0
122,31,157.0
124,41,157.0
126,47,157.0
128,45,185.37777777777777
130,41,125.85365853658537
132,42,189.38095238095238
134,52,158.0
136,51,244.05882352941177
138,56,188.125
140,49,162.0
142,45,162.0
144,55,131.6727272727273
146,44,161.0
148,46,161.0
150,40,205.95
152,70,295.42857142857144
154,49,206.12244897959184
156,50,246.68
158,63,170.0
160,64,268.15625
162,53,132.49056603773585
164,47,172.0
166,61,282.9016393442623
168,59,253.4406779661017
170,69,211.53623188405797
172,52,178.0
174,73,212.35616438356163
176,44,179.0
178,81,309.0246913580247
180,55,134.12727272727273
182,63,225.66666666666666
184,59,421.135593220339
186,63,279.2063492063492
188,74,190.0
190,58,241.81034482758622
192,89,364.82022471910113
194,71,240.57746478873239
196,83,392.66265060240966
198,59,314.10169491525426
200,76,337.5394736842105
202,75,299.2133333333333
204,73,305.73972602739724
206,83,602.8795180722891
208,60,220.0
210,42,485.42857142857144
212,99,685.4242424242424
214,62,172.46774193548387
216,75,444.7733333333333
218,77,342.64935064935065
220,64,815.578125
222,49,840.7142857142857
224,105,822.2666666666667
226,49,796.0408163265306
228,109,720.5412844036697
230,72,597.9027777777778
232,79,292.0
234,82,348.5609756097561
236,72,620.0833333333334
238,94,604.6382978723404
240,84,304.0
242,94,304.0
244,79,304.0
246,80,304.0
248,97,358.0
250,76,374.92105263157896
252,83,371.0240963855422
254,78,377.1923076923077
256,101,584.039603960396
258,87,508.2758620689655
260,94,499.7340425531915
262,93,570.6129032258065
264,79,247.9493670886076
266,87,598.5977011494252
268,107,497.67289719626166
270,102,634.1470588235294
272,51,334.0
274,90,1182.8
276,98,939.6326530612245
278,92,782.5652173913044
280,101,954.1980198019802
282,103,698.1553398058253
284,88,764.0909090909091
286,100,935.84
288,110,708.8181818181819
290,83,393.0
292,95,697.6736842105263
294,105,536.8285714285714
296,101,546.3663366336634
298,111,469.0450450450451
300,92,568.195652173913
302,102,479.95098039215685
304,94,405.0
306,93,575.6236559139785
308,108,779.3148148148148
310,116,833.9655172413793
312,103,578.4077669902913
314,96,594.1041666666666
316,96,950.3125
318,98,689.765306122449
320,112,895.0892857142857
322,97,798.2371134020618
324,124,655.9354838709677
326,69,703.5072463768116
328,140,965.6
330,114,615.5263157894736
332,89,560.4494382022472
334,127,902.1811023622047
336,111,806.5675675675676
338,105,650.6
340,119,961.0
342,129,781.5736434108527
344,86,479.0
346,123,971.4878048780488
348,114,753.6842105263158
350,95,1030.3684210526317
352,116,942.1810344827586
354,99,1241.8383838383838
356,135,1057.4814814814815
358,101,1044.4752475247524
360,121,966.4628099173553
362,127,1041.8740157480315
364,110,528.0
366,114,921.9649122807018
368,138,1108.536231884058
370,106,863.6792452830189
372,110,1068.4545454545455
374,136,1236.2941176470588
376,129,1197.860465116279
378,101,1035.1881188118812
380,110,1114.090909090909
382,101,1293.3168316831684
384,143,1437.2797202797203
386,113,1026.4690265486727
388,115,1244.7391304347825
390,125,1305.68
392,137,1164.2335766423357
394,115,946.704347826087
396,121,936.00826446281
398,128,1027.125
400,124,1155.483870967742
402,140,1296.0
404,110,1247.0
406,137,1235.5547445255474
408,110,1143.9818181818182
410,126,1309.047619047619
412,130,1408.623076923077
414,110,1302.8636363636363
416,135,1088.0518518518518
418,106,1483.188679245283
420,118,1289.4915254237287
422,142,1711.2676056338028
424,136,1559.4117647058824
426,137,1242.4160583941605
428,109,1254.4128440366972
430,124,1440.0645161290322
432,112,1666.875
434,164,1848.7317073170732
436,125,1229.632
438,121,1513.1239669421489
440,151,1370.728476821192
442,121,1275.0743801652893
444,113,1036.1946902654868
446,145,1424.4275862068966
448,145,1549.1655172413793
450,140,1473.5857142857142
452,151,1434.112582781457
454,110,1235.7636363636364
456,128,1441.21875
458,144,1496.1666666666667
460,160,1437.25
462,140,1293.857142857143
464,123,1370.2520325203252
466,135,1588.2444444444445
468,132,1752.1666666666667
470,137,1601.6204379562043
472,116,1445.4137931034484
474,178,1951.073033707865
476,117,1465.2051282051282
478,127,1858.3464566929133
480,153,1700.1437908496732
482,141,1653.8510638297873
484,151,1613.2119205298013
486,135,1713.888888888889
488,140,1559.3214285714287
490,131,1616.1984732824428
492,157,1628.1337579617834
494,145,1431.9793103448276
496,147,1432.6462585034014
498,132,1801.7727272727273
500,146,1590.664383561644
502,162,1657.3703703703704
504,136,1513.9117647058824
506,121,1932.6776859504132
508,166,1918.2650602409637
510,143,1659.4615384615386
512,130,1581.6461538461538
514,136,1715.4779411764705
516,128,2103.0859375
518,139,2025.8345323741007
520,132,2420.090909090909
522,158,2879.3037974683543
524,149,2440.8926174496646
526,164,1795.5487804878048
528,123,2252.1869918699185
530,153,2165.7124183006536
532,160,1713.71875
534,141,1658.5744680851064
536,134,1867.9701492537313
538,142,1990.3098591549297
540,143,1836.006993006993
542,153,1493.5098039215686
544,139,2210.0647482014388
546,142,2035.6901408450703
548,141,2220.6028368794327
550,164,1784.3536585365853
552,117,1273.3846153846155
554,162,1807.8333333333333
556,171,1919.5263157894738
558,147,1576.0408163265306
560,107,1539.5700934579438
562,144,1935.5694444444443
564,102,2054.2549019607845
566,172,2388.6046511627906
568,145,2133.406896551724
