Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,1,81.0
18,2,126.0
20,3,91.0
22,7,78.71428571428571
24,5,35.0
26,7,52.57142857142857
28,3,105.33333333333333
30,6,185.33333333333334
32,7,74.42857142857143
34,8,82.875
36,7,48.0
38,15,144.53333333333333
40,14,59.57142857142857
42,13,384.0
44,10,96.6
46,10,244.0
48,20,260.2
50,12,91.5
52,17,70.41176470588235
54,18,182.11111111111111
56,18,235.22222222222223
58,15,123.93333333333334
60,18,124.77777777777777
62,23,103.95652173913044
64,19,188.89473684210526
66,20,133.1
68,28,368.2142857142857
70,26,125.38461538461539
72,25,359.04
74,21,194.95238095238096
76,26,144.3846153846154
78,17,97.17647058823529
80,28,406.5
82,31,137.61290322580646
84,23,114.78260869565217
86,25,136.16
88,32,196.125
90,37,128.97297297297297
92,25,124.64
94,33,174.0
96,32,151.90625
98,32,149.90625
100,26,113.15384615384616
102,29,170.0
104,45,207.2888888888889
106,31,115.87096774193549
108,30,110.0
110,37,294.6216216216216
112,31,141.7741935483871
114,42,196.04761904761904
116,39,173.0
118,50,173.0
120,44,173.0
122,39,173.0
124,30,92.2
126,45,198.93333333333334
128,46,200.32608695652175
130,46,202.32608695652175
132,42,174.0
134,52,146.25
136,44,206.79545454545453
138,42,137.5952380952381
140,55,173.0
142,52,173.0
144,41,213.90243902439025
146,59,262.271186440678
148,56,337.0
150,56,149.0
152,56,181.0
154,55,145.38181818181818
156,47,180.0
158,54,218.14814814814815
160,60,287.0
162,57,298.57894736842104
164,69,187.0
166,62,224.2258064516129
168,57,229.49122807017545
170,56,145.76785714285714
172,62,268.0967741935484
174,52,190.0
176,66,426.45454545454544
178,57,196.0
180,59,196.0
182,60,288.56666666666666
184,75,236.02666666666667
186,73,319.2054794520548
188,38,202.0
190,69,421.71014492753625
192,81,783.4814814814815
194,69,268.1159420289855
196,73,312.17808219178085
198,58,396.36206896551727
200,71,323.32394366197184
202,80,230.0
204,73,230.0
206,78,183.65384615384616
208,71,177.08450704225353
210,74,278.81081081081084
212,83,367.90361445783134
214,66,172.77272727272728
216,71,287.056338028169
218,83,280.95180722891564
220,71,233.0
222,59,233.0
224,80,500.0625
226,80,401.2375
228,84,505.10714285714283
230,81,246.0
232,66,454.3636363636364
234,75,497.48
236,91,513.989010989011
238,68,470.55882352941177
240,74,525.4324324324324
242,83,504.7590361445783
244,85,388.05882352941177
246,85,331.52941176470586
248,65,432.3076923076923
250,89,393.07865168539325
252,69,587.1884057971015
254,99,666.5555555555555
256,84,353.0833333333333
258,94,468.1595744680851
260,87,422.7701149425287
262,89,293.0
264,61,582.2786885245902
266,106,1030.377358490566
268,97,371.7319587628866
270,84,383.4404761904762
272,79,390.0886075949367
274,102,312.0
276,94,517.6595744680851
278,100,576.76
280,98,657.8775510204082
282,108,449.0
284,94,326.0
286,80,412.55
288,100,327.0
290,99,398.949494949495
292,81,505.87654320987656
294,102,831.3921568627451
296,89,1001.7191011235955
298,122,653.0737704918033
300,96,429.3020833333333
302,99,740.4949494949495
304,104,581.4615384615385
306,121,490.1900826446281
308,89,631.5393258426966
310,70,826.6285714285714
312,119,920.2689075630252
314,99,711.9191919191919
316,136,814.9264705882352
318,93,570.7204301075269
320,101,389.0
322,98,656.6122448979592
324,122,900.5901639344262
326,112,799.7142857142857
328,120,934.6
330,88,515.3636363636364
332,121,565.801652892562
334,110,670.7727272727273
336,118,820.9406779661017
338,112,766.4642857142857
340,86,878.6046511627907
342,117,935.025641025641
344,114,872.9298245614035
346,134,1043.7462686567164
348,108,921.4074074074074
350,125,701.896
352,99,667.6666666666666
354,116,731.6896551724138
356,108,659.2592592592592
358,112,848.4285714285714
360,113,949.2831858407079
362,121,927.4628099173553
364,107,893.1401869158879
366,121,853.1074380165289
368,125,1121.656
370,127,1125.6456692913387
372,87,898.7931034482758
374,125,1064.12
376,107,1391.018691588785
378,134,1407.3731343283582
380,117,1350.7948717948718
382,137,979.7080291970802
384,98,1041.3469387755101
386,118,1384.7457627118645
388,138,1460.623188405797
390,105,1284.5142857142857
392,131,1250.6335877862596
394,112,1150.3125
396,149,1279.9194630872482
398,113,1053.4513274336284
400,120,1144.875
402,109,1456.1376146788991
404,118,1404.6101694915253
406,126,1367.7777777777778
408,100,1304.1
410,140,1712.1571428571428
412,144,1509.375
414,113,1142.787610619469
416,122,1113.9180327868853
418,115,1275.1739130434783
420,157,1395.5159235668789
422,110,1195.7454545454545
424,106,1362.7641509433963
426,142,1406.0774647887324
428,129,1493.953488372093
430,126,1407.2857142857142
432,129,1520.7906976744187
434,130,1646.7692307692307
436,132,1530.871212121212
438,138,1622.536231884058
440,149,1783.6711409395973
442,122,1385.704918032787
444,137,1441.4890510948906
446,94,1431.531914893617
448,165,1836.1333333333334
450,132,1631.560606060606
452,145,1223.903448275862
454,114,1356.421052631579
456,148,1343.6283783783783
458,132,1551.409090909091
460,126,1600.1904761904761
462,168,1305.4940476190477
464,109,1434.3853211009175
466,153,1488.1960784313726
468,120,1394.9666666666667
470,139,1706.8057553956835
472,131,1364.7557251908397
474,152,1297.078947368421
476,130,1385.6461538461538
478,136,1638.8676470588234
480,128,1557.0703125
482,129,1850.062015503876
484,163,1653.3742331288342
486,122,1628.549180327869
488,138,1410.7971014492753
490,141,1271.0425531914893
492,152,1629.0263157894738
494,118,1531.2542372881355
496,112,1749.2142857142858
498,136,1605.1176470588234
500,176,1789.2727272727273
502,127,1523.8897637795276
504,138,1481.6811594202898
506,117,1248.2222222222222
508,131,1370.8320610687024
510,155,1702.0967741935483
512,152,1593.657894736842
514,123,1594.9105691056911
516,122,1436.844262295082
518,142,1667.218309859155
520,159,1464.2893081761006
522,124,1450.8225806451612
524,129,1436.7906976744187
526,116,1498.801724137931
528,155,1645.0
530,113,1528.7522123893805
532,133,1943.842105263158
534,117,1713.4102564102564
536,168,1757.1785714285713
538,121,1337.4793388429753
540,149,1726.1476510067114
542,138,1303.0
544,148,1439.1554054054054
546,146,1136.5
548,150,1288.6
550,139,1149.5107913669065
552,108,1632.7777777777778
554,148,1463.162162162162
556,123,1758.5284552845528
