Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
44,20,157.0
46,25,97.2
48,24,107.58333333333333
50,40,147.1
52,43,153.7674418604651
54,52,148.30769230769232
56,60,176.8
58,63,182.22222222222223
60,60,191.5
62,58,259.5344827586207
64,93,276.6774193548387
66,84,249.0
68,67,415.46268656716416
70,106,437.688679245283
72,102,282.4901960784314
74,89,452.03370786516854
76,116,479.51724137931035
78,127,515.0236220472441
80,106,466.0377358490566
82,122,674.2377049180328
84,140,767.7142857142857
86,124,725.6451612903226
88,137,987.0583941605839
90,133,1193.4736842105262
92,145,772.1517241379311
94,148,802.7567567567568
96,154,970.8441558441558
98,130,886.0461538461539
100,118,1041.6101694915253
102,180,1403.3333333333333
104,129,1749.1162790697674
106,193,1778.3730569948186
108,141,1453.3333333333333
110,158,1725.0506329113923
112,150,1712.8
114,172,1850.4418604651162
116,103,1869.4563106796118
118,210,2614.6666666666665
120,137,2585.299270072993
122,145,2690.6620689655174
124,165,3100.4969696969697
126,166,3202.0602409638554
128,186,3233.0
130,164,3581.951219512195
132,161,3245.478260869565
134,161,3592.913043478261
136,158,3512.240506329114
138,180,3830.277777777778
140,157,4185.101910828025
142,156,4179.7307692307695
144,176,4062.818181818182
146,145,4323.703448275862
148,164,4868.9390243902435
150,215,5322.7953488372095
152,214,4767.579439252337
154,53,4696.264150943396
156,188,4997.898936170212
158,236,5647.927966101695
160,153,5258.83660130719
162,130,5289.846153846154
164,107,6220.158878504673
166,275,5868.403636363636
168,148,6667.243243243243
170,110,7210.727272727273
172,145,7066.896551724138
174,208,7256.485576923077
176,80,6918.85
178,308,7875.25
180,127,7377.496062992126
182,88,8092.181818181818
184,240,7806.6
186,209,7866.545454545455
188,166,8143.77108433735
190,138,8005.630434782609
192,124,7560.419354838709
194,137,7356.824817518248
196,186,7612.5161290322585
198,156,8844.846153846154
200,165,9308.4
202,213,11310.0
204,167,9858.718562874252
206,130,10453.569230769232
208,206,11758.067961165048
210,173,10610.42774566474
212,141,10441.652482269503
214,154,9140.11038961039
216,382,7415.321989528796
218,760,8072.8263157894735
220,2,0
222,1,4868.0
224,1,0
226,1,4867.0
228,3,470.0
230,2,4866.0
232,2,4866.0
234,1,18062.0
236,2,11466.0
238,2,4868.0
240,2,0
242,2,4867.0
244,1,4867.0
246,18,10743.888888888889
248,17,7211.470588235294
250,12,12608.333333333334
252,29,32820.89655172414
254,8,31524.0
256,17,30791.29411764706
258,136,37710.455882352944
260,16,33924.25
262,171,34929.350877192985
264,208,38527.35096153846
266,88,40561.78409090909
268,225,35558.555555555555
270,22,39113.09090909091
