Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,0,0
18,0,0
20,0,0
22,0,0
24,0,0
26,0,0
28,0,0
30,3,109.0
32,2,29.0
34,2,38.5
36,3,36.0
38,6,51.666666666666664
40,3,36.0
42,3,59.333333333333336
44,6,85.66666666666667
46,6,48.666666666666664
48,6,51.333333333333336
50,10,72.0
52,7,76.28571428571429
54,10,48.6
56,13,66.15384615384616
58,11,61.0
60,12,69.58333333333333
62,9,62.0
64,14,134.0
66,15,79.4
68,10,55.9
70,20,104.2
72,17,62.94117647058823
74,15,113.6
76,15,76.0
78,13,58.23076923076923
80,30,135.9
82,17,98.3529411764706
84,31,122.87096774193549
86,21,118.42857142857143
88,25,89.0
90,30,101.83333333333333
92,25,106.4
94,25,212.8
96,21,271.7142857142857
98,24,146.0
100,26,205.30769230769232
102,32,297.9375
104,18,154.88888888888889
106,32,106.625
108,33,274.54545454545456
110,29,199.24137931034483
112,26,135.0
114,31,135.0
116,27,243.74074074074073
118,39,218.28205128205127
120,30,116.23333333333333
122,27,142.0
124,36,142.0
126,33,114.75757575757575
128,36,218.91666666666666
130,39,518.6153846153846
132,43,206.30232558139534
134,35,100.88571428571429
136,33,126.12121212121212
138,33,124.12121212121212
140,35,91.11428571428571
142,47,155.0
144,39,91.46153846153847
146,33,191.54545454545453
148,49,234.87755102040816
150,47,98.7872340425532
152,47,124.8936170212766
154,41,154.0
156,42,118.33333333333333
158,55,181.23636363636365
160,46,327.80434782608694
162,51,126.6470588235294
164,48,87.25
166,51,121.70588235294117
168,49,155.0
170,64,125.90625
172,57,120.33333333333333
174,60,153.0
176,53,421.37735849056605
178,53,120.66037735849056
180,54,396.6666666666667
182,50,252.56
184,56,567.8928571428571
186,75,146.06666666666666
188,56,133.57142857142858
190,58,133.0344827586207
192,49,123.3265306122449
194,64,133.203125
196,63,172.0
198,70,133.71428571428572
200,86,171.0
202,56,171.0
204,58,121.34482758620689
206,77,131.5974025974026
208,69,125.14492753623189
210,60,168.0
212,68,121.61764705882354
214,69,167.0
216,67,216.1044776119403
218,66,168.0
220,74,168.0
222,68,168.0
224,56,104.53571428571429
226,80,575.825
228,85,569.7764705882353
230,36,289.30555555555554
232,87,274.32183908045977
234,84,188.0
236,70,130.9142857142857
238,65,124.52307692307693
240,71,127.80281690140845
242,88,137.04545454545453
244,76,184.0
246,76,126.47368421052632
248,75,123.70666666666666
250,64,182.0
252,92,232.0326086956522
254,86,510.13953488372096
256,69,120.04347826086956
258,81,188.0
260,96,239.40625
262,76,123.0657894736842
264,92,132.5326086956522
266,84,187.0
268,80,384.5125
270,78,395.5769230769231
272,86,698.2093023255813
274,88,201.0
276,64,637.171875
278,116,255.1293103448276
280,79,207.0
282,84,137.21428571428572
284,81,132.62962962962962
286,93,140.09677419354838
288,78,125.61538461538461
290,85,203.0
292,86,129.91860465116278
294,86,202.0
296,97,135.31958762886597
298,95,131.9157894736842
300,73,200.0
302,93,127.64516129032258
304,81,114.92592592592592
306,105,263.85714285714283
308,82,199.0
310,92,121.94565217391305
312,89,117.34831460674157
314,82,197.0
316,90,197.0
318,90,114.33333333333333
320,93,196.0
322,98,118.13265306122449
324,93,195.0
326,90,108.17777777777778
328,78,194.0
330,97,194.0
332,96,278.21875
334,88,102.125
336,93,194.0
338,92,103.15217391304348
340,97,193.0
342,99,193.0
344,91,98.0
346,84,192.0
348,89,192.0
350,96,99.14583333333333
352,82,191.0
354,107,191.0
356,88,191.0
358,89,295.2696629213483
360,35,192.0
362,0,0
