Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,0,0
14,0,0
16,11,123.0
18,14,133.71428571428572
20,18,296.22222222222223
22,20,104.5
24,20,285.2
26,24,250.5
28,30,140.5
30,41,354.6341463414634
32,29,181.0344827586207
34,45,442.4
36,54,161.0
38,44,181.36363636363637
40,54,199.59259259259258
42,50,241.08
44,67,287.43283582089555
46,60,336.8333333333333
48,69,334.7826086956522
50,77,287.3246753246753
52,71,194.56338028169014
54,69,343.95652173913044
56,71,487.59154929577466
58,99,657.0909090909091
60,79,443.1392405063291
62,90,539.4
64,97,421.5979381443299
66,71,772.7464788732394
68,121,863.2148760330579
70,107,708.4392523364486
72,83,753.8192771084338
74,97,812.4226804123712
76,76,1149.5263157894738
78,149,1462.8255033557048
80,120,990.4
82,111,770.4594594594595
84,109,856.3853211009174
86,100,1099.4
88,103,1521.2621359223301
90,131,1586.9541984732825
92,139,1319.63309352518
94,123,1123.8292682926829
96,147,1072.3061224489795
98,124,1031.1935483870968
100,103,1232.8543689320388
102,113,1524.495575221239
104,134,1671.1044776119404
106,154,1528.0
108,106,1024.301886792453
110,103,1227.1359223300972
112,127,1403.740157480315
114,155,1560.716129032258
116,117,1413.6666666666667
118,123,1343.878048780488
120,97,1238.1958762886597
122,119,1747.0336134453783
124,145,1679.6206896551723
126,116,1343.7241379310344
128,130,1167.5692307692307
130,101,1220.2376237623762
132,98,1288.1122448979593
134,104,1694.875
136,153,2298.9150326797385
138,168,2019.6666666666667
140,115,1957.6521739130435
142,111,2394.972972972973
144,142,2547.521126760563
146,160,2959.8
148,191,2996.638743455497
150,131,2669.7251908396947
152,120,2798.25
154,123,3036.0162601626016
156,97,4263.81443298969
158,109,4858.48623853211
160,172,5113.6511627906975
162,141,5628.58865248227
164,118,5138.610169491525
166,181,5913.861878453039
168,129,4771.248062015504
170,128,6182.1875
172,134,6188.835820895522
174,167,7290.808383233533
176,160,5975.84375
178,156,8287.698717948719
180,106,6150.207547169812
182,166,6527.6024096385545
184,126,7953.960317460317
186,124,6824.548387096775
188,166,8601.240963855422
190,63,8497.42857142857
192,149,9851.167785234898
194,205,9615.707317073171
196,143,9127.0
198,139,10620.913669064748
200,95,10996.894736842105
202,150,10758.093333333334
204,156,10429.23076923077
206,197,11554.989847715737
208,157,11023.656050955415
210,182,10222.824175824177
212,140,12945.521428571428
214,116,11070.163793103447
216,99,12108.727272727272
218,141,8958.163120567377
220,155,9672.483870967742
222,171,8489.736842105263
224,212,8624.971698113208
226,158,10570.987341772152
228,133,9808.87969924812
230,146,11463.72602739726
232,181,13031.381215469613
234,137,12136.627737226278
236,153,9357.503267973856
238,157,13537.452229299362
240,158,12620.974683544304
242,146,10456.369863013699
244,138,12146.376811594202
246,145,11115.586206896553
248,91,10151.538461538461
250,0,0
252,0,0
254,0,0
256,0,0
258,-13558,0
260,14,115.57142857142857
262,17,82.41176470588235
264,18,59.666666666666664
266,20,127.05
268,31,131.80645161290323
270,31,106.48387096774194
272,29,160.93103448275863
274,33,143.45454545454547
276,46,182.43478260869566
278,46,161.84782608695653
280,58,231.82758620689654
282,50,231.2
284,66,217.6060606060606
286,58,277.62068965517244
288,54,331.1111111111111
290,60,333.45
292,73,354.3013698630137
294,77,253.74025974025975
296,78,437.1923076923077
298,80,552.775
300,82,521.9756097560976
302,86,511.40697674418607
304,96,371.0729166666667
306,79,476.2911392405063
308,72,360.8333333333333
310,90,663.8
312,114,854.2631578947369
314,97,691.5979381443299
316,106,851.5943396226415
318,120,837.2833333333333
320,118,862.2033898305085
322,95,1009.0315789473684
324,96,1074.3958333333333
326,109,1246.6146788990825
328,124,1600.0564516129032
330,130,1421.7
332,113,1530.5575221238937
334,134,1299.7014925373135
336,105,1359.0857142857142
338,164,1588.2987804878048
340,106,1269.4528301886792
342,94,1641.6808510638298
344,100,1571.94
346,116,1664.0258620689656
348,123,1671.7560975609756
350,142,1804.8028169014085
352,129,1421.108527131783
354,108,1435.8796296296296
356,127,1389.9370078740158
358,104,1346.7115384615386
360,106,1603.0188679245282
362,144,1626.6666666666667
364,130,1131.2923076923078
366,108,853.4074074074074
368,101,1214.6930693069307
370,128,1452.7890625
372,107,1227.785046728972
374,125,1498.4
376,99,1054.0
378,125,1054.0
380,100,1108.99
382,107,1107.392523364486
384,99,998.3737373737374
386,98,1173.4285714285713
388,123,1249.7154471544716
390,93,1190.4408602150538
392,100,1368.95
394,127,1068.0
396,99,747.5454545454545
398,86,838.6627906976744
400,106,813.3207547169811
402,113,938.3008849557522
404,118,881.9322033898305
406,88,739.3636363636364
408,99,765.989898989899
410,99,829.2424242424242
412,99,967.7474747474747
414,109,705.8807339449542
416,95,646.7894736842105
418,82,756.8414634146342
420,105,810.4571428571429
422,92,525.0
424,85,381.15294117647056
426,94,511.17021276595744
428,77,594.025974025974
430,103,689.5145631067961
432,88,628.5909090909091
434,91,542.8791208791209
436,84,298.8333333333333
438,92,435.4347826086956
440,83,364.3855421686747
442,90,494.5
444,90,675.9
446,73,841.013698630137
448,125,888.512
450,74,477.72972972972974
452,84,633.6785714285714
454,92,557.0434782608696
456,67,402.04477611940297
458,83,610.0722891566265
460,103,849.5728155339806
462,85,386.11764705882354
464,90,617.7
466,86,485.6511627906977
468,81,569.3703703703703
470,92,924.0
472,102,537.7254901960785
474,88,468.27272727272725
476,82,549.4146341463414
478,98,706.5102040816327
480,76,642.7368421052631
482,98,698.9591836734694
484,80,647.7
486,84,282.6190476190476
488,74,473.1081081081081
490,91,430.14285714285717
492,79,622.1139240506329
494,89,527.3258426966293
496,78,470.03846153846155
498,63,191.03174603174602
500,93,406.89247311827955
502,59,501.33898305084745
504,96,525.6875
506,72,247.0
508,57,471.2631578947368
510,59,288.06779661016947
512,83,449.1807228915663
514,66,685.530303030303
516,70,197.0
518,51,170.52941176470588
520,65,311.95384615384614
522,54,195.94444444444446
524,69,503.27536231884056
526,53,171.71698113207546
528,60,45.2
530,53,384.54716981132077
532,44,288.0
534,66,283.0
536,53,142.0943396226415
538,42,246.28571428571428
540,52,118.4423076923077
542,43,250.37209302325581
544,50,79.6
546,53,349.33962264150944
