Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
16,3,64.0
18,7,81.14285714285714
20,9,59.111111111111114
22,16,98.625
24,12,46.75
26,20,163.45
28,23,154.7826086956522
30,21,66.42857142857143
32,29,100.17241379310344
34,26,97.61538461538461
36,20,103.0
38,25,69.24
40,30,147.2
42,42,300.4047619047619
44,28,111.78571428571429
46,44,180.4090909090909
48,39,158.2051282051282
50,48,176.83333333333334
52,39,144.0
54,47,256.3404255319149
56,42,194.71428571428572
58,52,192.8846153846154
60,53,185.47169811320754
62,62,173.88709677419354
64,50,131.52
66,63,201.47619047619048
68,63,265.44444444444446
70,70,185.04285714285714
72,61,172.0
74,64,327.8125
76,81,239.71604938271605
78,75,269.26666666666665
80,84,302.3333333333333
82,75,178.02666666666667
84,87,404.2758620689655
86,76,291.4736842105263
88,91,377.85714285714283
90,84,451.60714285714283
92,81,368.44444444444446
94,78,558.0
96,87,527.8275862068965
98,96,832.5625
100,95,798.0105263157894
102,93,360.26881720430106
104,89,366.4831460674157
106,101,486.9504950495049
108,91,717.6923076923077
110,103,777.504854368932
112,115,716.9130434782609
114,77,889.2727272727273
116,106,1139.2735849056603
118,139,1035.8776978417266
120,103,624.2815533980582
122,109,625.9724770642201
124,110,667.5272727272727
126,121,896.702479338843
128,115,822.0434782608696
130,124,726.7741935483871
132,120,946.6333333333333
134,117,710.7179487179487
136,85,848.964705882353
138,127,1285.4173228346456
140,142,1095.8450704225352
142,127,1268.5511811023623
144,109,1129.1284403669724
146,120,1223.1333333333334
148,112,1256.955357142857
150,152,1478.1184210526317
152,130,1043.0
154,133,1370.9624060150377
156,122,1471.2459016393443
158,132,1823.5
160,132,1663.3333333333333
162,169,1535.4792899408285
164,112,977.9642857142857
166,135,1579.3333333333333
168,122,1752.327868852459
170,132,1861.0
172,185,1954.881081081081
174,146,1544.7328767123288
176,120,1384.125
178,125,1326.6
180,147,1851.7755102040817
182,147,2136.469387755102
184,148,1880.554054054054
186,141,1753.063829787234
188,134,2222.5522388059703
190,134,2324.39552238806
192,134,2488.082089552239
