Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
10,0,0
12,0,0
14,0,0
16,0,0
18,7,262.0
20,11,320.90909090909093
22,22,114.36363636363636
24,22,115.27272727272727
26,13,312.2307692307692
28,23,729.8695652173913
30,50,691.96
32,50,250.96
34,34,184.47058823529412
36,58,370.0
38,31,334.93548387096774
40,44,653.3409090909091
42,51,1205.5294117647059
44,75,778.5066666666667
46,70,459.85714285714283
48,69,438.69565217391306
50,78,320.3076923076923
52,68,395.29411764705884
54,110,529.2727272727273
56,74,312.3783783783784
58,107,480.0
60,78,612.1153846153846
62,117,596.8632478632478
64,94,412.4468085106383
66,92,493.0
68,124,670.483870967742
70,94,507.0
72,112,840.375
74,134,956.0597014925373
76,124,968.483870967742
78,124,966.2258064516129
80,118,1203.457627118644
82,110,1374.1090909090908
84,116,1382.344827586207
86,160,1418.95
88,145,1094.703448275862
90,109,871.0825688073395
92,124,1234.1129032258063
94,111,1411.918918918919
96,129,1343.2790697674418
98,128,1362.8125
100,125,1274.2
102,132,1226.1439393939395
104,121,1159.7520661157025
106,130,1278.8
108,108,1347.3333333333333
110,140,1209.5714285714287
112,122,1449.2131147540983
114,109,1259.7155963302753
116,152,1483.6973684210527
118,105,1672.1809523809525
120,144,1478.7916666666667
122,139,1242.6258992805756
124,157,1130.783439490446
126,131,965.1145038167939
128,103,1159.1844660194174
130,147,1230.469387755102
132,112,1112.767857142857
134,138,1346.8840579710145
136,126,1255.1825396825398
138,123,1416.5528455284552
140,137,1482.058394160584
142,138,1317.695652173913
144,146,1052.0
146,99,658.4242424242424
148,127,993.8661417322835
150,110,1350.9545454545455
152,123,1495.7886178861788
154,154,1467.5584415584415
156,92,1221.3478260869565
158,132,1452.5151515151515
160,117,1452.871794871795
162,143,1343.958041958042
164,105,1231.7047619047619
166,127,1210.6377952755906
168,126,1215.6031746031747
170,120,1491.5
172,138,1392.768115942029
174,126,1169.3492063492063
176,133,979.1804511278195
178,92,1011.054347826087
180,138,1164.2971014492753
182,133,1299.9172932330828
184,149,1284.7718120805368
186,130,1178.3
188,106,1024.0094339622642
190,119,1264.1932773109243
192,155,1232.1483870967743
194,93,807.1290322580645
196,152,1617.0526315789473
198,118,1531.2203389830509
200,137,1411.7299270072992
202,132,1430.6666666666667
204,103,1327.5825242718447
206,145,1699.5655172413792
208,138,1367.2391304347825
210,119,1232.453781512605
212,109,1340.1376146788991
214,118,1602.635593220339
216,164,1617.969512195122
218,122,1159.0
220,119,971.4705882352941
222,121,1063.7851239669421
224,107,1156.0
226,119,1542.7226890756303
228,143,1893.090909090909
230,138,1510.623188405797
232,93,1300.731182795699
234,166,1391.6807228915663
236,131,1177.0
238,94,1046.468085106383
240,0,0
242,0,0
244,0,0
246,0,0
248,0,0
250,-12250,0
252,18,100.66666666666667
254,28,106.35714285714286
256,36,107.83333333333333
258,41,165.29268292682926
260,46,147.65217391304347
262,48,272.1875
264,57,297.2631578947368
266,58,221.41379310344828
268,77,191.0
270,75,244.76
272,74,230.24324324324326
274,70,369.62857142857143
276,99,417.1818181818182
278,107,534.3271028037383
280,99,456.27272727272725
282,94,590.5957446808511
284,101,622.5247524752475
286,108,550.7037037037037
288,80,687.3
290,122,1070.1967213114754
292,137,1179.4671532846714
294,111,1077.6666666666667
296,157,866.3885350318471
298,110,806.1727272727272
300,135,1101.2888888888888
302,125,1530.064
304,149,1597.221476510067
306,147,1622.6122448979593
308,141,1594.2553191489362
310,162,1697.0740740740741
312,101,1773.2277227722773
314,144,2207.4513888888887
316,130,1902.4307692307693
318,192,2348.4375
320,151,1972.3774834437086
322,141,2739.9929078014184
324,153,2334.7124183006536
326,158,2010.2025316455697
328,161,2031.7142857142858
330,161,2790.0
332,138,2182.6666666666665
334,149,1986.9261744966443
336,130,2299.730769230769
338,185,2451.4540540540543
340,155,2337.0774193548386
342,162,1932.0987654320988
344,179,1856.486033519553
346,141,1465.5460992907801
348,107,2033.9065420560748
350,153,2427.4117647058824
352,144,2408.1875
354,162,2580.5
356,167,2264.6107784431138
358,160,1926.8
360,166,1771.566265060241
362,139,1761.9208633093526
364,86,1937.4651162790697
366,0,0
368,0,0
370,0,0
372,0,0
374,-6827,0
376,18,160.88888888888889
378,32,176.6875
380,35,231.0
382,40,189.5
384,44,148.9318181818182
386,45,213.6
388,37,604.8108108108108
390,68,527.1470588235294
392,73,363.7260273972603
394,83,308.0
396,70,364.5
398,76,525.8552631578947
400,60,480.2
402,107,805.0841121495328
404,105,594.6
406,83,517.0
408,119,683.6134453781513
410,106,604.2264150943396
412,108,711.8055555555555
414,150,842.1
416,108,605.4722222222222
418,124,950.9516129032259
420,114,1031.2543859649122
422,126,1370.2063492063492
424,149,1308.4161073825503
426,131,1425.3129770992366
428,127,1460.1102362204724
430,132,1623.8636363636363
432,146,1686.6301369863013
434,165,1750.739393939394
436,142,1541.7605633802816
438,135,1588.4
440,134,1840.9253731343283
442,163,2090.687116564417
444,158,2273.481012658228
446,169,2324.792899408284
448,176,1858.0568181818182
450,101,2230.29702970297
452,155,2058.8
454,167,2473.4610778443116
456,175,2000.5828571428572
458,169,1969.1597633136096
460,149,2035.6644295302012
462,172,1640.8488372093022
464,128,1827.765625
466,148,2498.9864864864867
468,169,2232.4437869822486
470,181,1889.5303867403316
472,154,1993.3636363636363
474,141,1860.7659574468084
476,131,1953.3893129770993
478,55,2056.090909090909
480,0,0
482,0,0
484,-6072,0
486,2,49.0
488,4,52.25
490,4,20.25
492,3,38.333333333333336
494,7,24.0
496,4,42.25
498,5,79.0
500,5,72.0
502,8,53.375
504,14,81.57142857142857
506,10,36.9
508,11,32.72727272727273
510,8,51.0
512,11,51.0
514,13,42.53846153846154
516,15,25.0
518,14,47.0
520,11,47.0
522,23,84.6086956521739
524,17,29.647058823529413
526,24,67.83333333333333
528,19,101.05263157894737
530,22,102.36363636363636
532,20,101.25
534,13,85.15384615384616
536,29,238.89655172413794
538,16,100.8125
540,25,138.28
542,28,112.57142857142857
544,26,87.0
546,24,105.16666666666667
548,35,101.45714285714286
550,21,65.57142857142857
552,30,157.6
554,32,126.625
556,27,438.2962962962963
558,27,132.5185185185185
560,35,74.25714285714285
562,32,130.09375
564,26,406.5769230769231
566,26,148.96153846153845
568,34,144.38235294117646
570,44,123.0
572,30,150.83333333333334
574,44,163.95454545454547
576,34,99.1470588235294
578,29,222.44827586206895
580,39,153.15384615384616
582,44,105.70454545454545
584,39,128.0
586,40,128.0
588,47,176.9787234042553
590,34,130.0
592,46,156.7608695652174
594,34,317.02941176470586
596,61,418.59016393442624
598,33,107.81818181818181
600,46,148.0
602,46,148.0
604,48,148.0
606,50,148.0
608,55,148.0
610,59,176.1864406779661
612,51,149.0
614,56,180.60714285714286
616,56,150.0
618,54,254.44444444444446
620,56,153.0
622,57,153.0
624,47,196.40425531914894
626,56,228.85714285714286
628,60,191.93333333333334
630,70,220.6
632,48,111.625
634,50,158.0
636,52,295.0769230769231
638,79,285.30379746835445
640,57,165.0
642,54,212.5185185185185
644,61,252.13114754098362
646,64,168.0
648,56,168.0
650,65,211.26153846153846
652,68,296.05882352941177
654,45,237.0
656,75,213.0
658,61,224.18032786885246
660,83,288.6385542168675
662,60,338.2
664,76,396.7894736842105
666,79,271.0379746835443
668,69,188.0
670,67,292.32835820895525
672,69,293.30434782608694
674,88,441.0
676,67,253.50746268656715
678,67,199.0
680,77,349.5064935064935
682,74,521.2162162162163
684,90,386.97777777777776
686,77,265.2987012987013
688,65,341.2769230769231
690,82,526.0487804878048
692,78,221.0
694,73,221.0
696,82,221.0
698,61,444.5245901639344
700,86,600.9418604651163
702,108,494.27777777777777
704,78,298.7564102564103
706,74,238.0
708,84,474.9047619047619
710,82,303.6707317073171
712,92,466.8695652173913
714,91,534.9120879120879
716,88,494.1818181818182
718,80,323.6
720,100,312.08
722,90,382.4
724,94,623.3191489361702
726,87,332.42528735632186
728,69,436.5072463768116
730,94,395.4255319148936
732,99,576.10101010101
734,94,406.531914893617
736,101,648.4554455445544
738,94,822.7234042553191
740,101,483.019801980198
742,99,360.95959595959596
744,89,370.3707865168539
746,79,551.3544303797469
748,114,479.2631578947368
750,81,473.1975308641975
752,96,669.0104166666666
754,106,510.8018867924528
756,110,509.5
758,65,651.5384615384615
760,118,1132.9322033898304
762,79,710.0759493670886
764,113,805.5575221238938
766,102,1246.764705882353
768,124,795.6612903225806
770,102,594.5882352941177
772,97,860.1546391752578
774,116,721.0431034482758
776,96,718.375
778,113,969.7345132743363
780,126,1059.111111111111
782,125,672.592
784,121,833.5041322314049
786,98,677.3877551020408
788,113,963.1327433628319
790,131,970.3053435114504
792,124,943.5483870967741
794,100,896.4
796,142,1034.4084507042253
798,121,840.8429752066115
800,102,924.2058823529412
802,120,1269.75
804,88,1361.6363636363637
806,146,1432.6575342465753
808,162,1240.7777777777778
810,91,1063.6373626373627
812,148,1278.081081081081
814,113,795.787610619469
816,132,1003.3181818181819
818,128,1114.4921875
820,114,1582.342105263158
822,140,1566.8214285714287
824,160,1325.28125
826,125,1381.6
828,96,1051.8333333333333
830,131,1724.9007633587787
832,124,1627.5564516129032
834,116,1822.2758620689656
836,163,2007.6134969325153
838,103,1921.0776699029127
840,169,1657.8165680473373
842,138,1555.2028985507247
844,153,1487.5359477124182
846,118,1108.4915254237287
848,130,1665.076923076923
850,123,1636.2682926829268
852,137,1842.7737226277372
854,151,2109.58940397351
856,161,1724.2732919254659
858,123,1836.3577235772357
860,141,1620.6170212765958
862,133,1793.827067669173
864,137,1884.802919708029
866,167,1707.0778443113772
868,128,1568.390625
870,141,1814.9787234042553
872,133,2004.3007518796992
874,156,2130.74358974359
876,161,1935.111801242236
878,157,1797.407643312102
880,151,1855.0927152317881
882,167,1961.7904191616767
884,147,1925.5578231292518
886,152,2013.217105263158
888,164,2144.2134146341464
890,141,1924.276595744681
892,131,2384.4274809160306
894,184,2601.288043478261
896,160,2074.73125
898,171,2120.9473684210525
900,153,2172.2549019607845
902,154,2186.5
904,156,2410.0833333333335
906,137,2258.109489051095
908,133,2961.8345864661655
910,147,3161.0204081632655
912,180,2613.1555555555556
914,89,2258.9887640449438
916,204,2998.794117647059
918,156,3173.1153846153848
920,156,2744.423076923077
922,165,2794.5454545454545
924,160,2645.9
926,162,2308.7654320987654
928,131,2457.5496183206105
930,168,2754.75
932,0,0
934,0,0
936,0,0
938,-18905,0
940,7,93.85714285714286
942,7,51.285714285714285
944,15,82.4
946,13,260.46153846153845
948,4,393.5
950,25,641.0
952,22,68.0909090909091
954,14,60.785714285714285
956,22,107.04545454545455
958,25,105.56
960,29,137.9655172413793
962,25,68.28
964,30,84.26666666666667
966,28,113.78571428571429
968,31,127.87096774193549
970,47,146.59574468085106
972,24,122.0
974,37,117.83783783783784
976,43,169.02325581395348
978,43,126.97674418604652
980,49,114.6938775510204
982,38,160.31578947368422
984,41,176.390243902439
986,62,302.6774193548387
988,52,133.65384615384616
990,45,107.86666666666666
992,49,241.79591836734693
994,54,162.0
996,44,183.11363636363637
998,59,229.98305084745763
1000,61,235.78688524590163
1002,62,206.83870967741936
1004,79,203.126582278481
1006,56,130.5
1008,63,235.33333333333334
1010,65,218.27692307692308
1012,77,234.53246753246754
1014,60,206.18333333333334
1016,72,247.95833333333334
1018,67,209.62686567164178
1020,66,212.0
1022,76,328.4736842105263
1024,68,275.05882352941177
1026,81,339.77777777777777
1028,63,170.1904761904762
1030,72,258.6666666666667
1032,88,252.1818181818182
1034,66,272.57575757575756
1036,81,292.5925925925926
1038,61,404.42622950819674
1040,92,509.60869565217394
1042,79,354.75949367088606
1044,81,391.9753086419753
1046,89,387.4157303370786
1048,87,497.4712643678161
1050,78,469.38461538461536
1052,109,582.8440366972477
1054,93,365.35483870967744
1056,78,471.43589743589746
1058,98,440.1224489795918
1060,100,581.04
1062,89,365.4157303370786
1064,91,523.1428571428571
1066,117,545.7777777777778
1068,108,617.4166666666666
1070,74,883.0675675675676
1072,86,643.1511627906976
1074,111,839.5405405405405
1076,108,651.6666666666666
1078,94,668.2978723404256
1080,112,748.0357142857143
1082,124,730.483870967742
1084,66,792.3636363636364
1086,139,1327.726618705036
1088,129,860.8837209302326
1090,98,876.1836734693877
1092,99,788.6060606060606
1094,125,852.08
1096,109,740.1651376146789
1098,106,1012.2547169811321
1100,147,991.6666666666666
1102,123,984.7967479674796
1104,123,587.2357723577236
1106,113,547.7433628318585
1108,105,1007.1714285714286
1110,135,1227.4222222222222
1112,118,784.9237288135594
1114,127,876.007874015748
1116,91,816.3296703296703
1118,145,1126.855172413793
1120,102,1204.921568627451
1122,126,1531.857142857143
1124,106,1099.9056603773586
1126,143,1670.8461538461538
1128,151,1323.8344370860927
1130,142,1037.4084507042253
1132,114,1089.578947368421
1134,105,1358.7142857142858
1136,159,1279.867924528302
1138,113,1493.3982300884957
1140,145,1333.9172413793103
1142,126,1264.5714285714287
1144,127,1213.236220472441
1146,145,1338.1172413793104
1148,114,1681.701754385965
1150,159,1868.7924528301887
1152,117,1571.7777777777778
1154,151,1526.3443708609273
1156,127,1697.3543307086613
1158,145,1735.1724137931035
1160,150,1422.3333333333333
1162,139,1355.2661870503598
1164,154,1193.1168831168832
1166,103,1296.378640776699
1168,143,1450.4405594405594
1170,155,1485.032258064516
1172,138,1805.7608695652175
1174,149,1484.1140939597315
1176,143,1235.6993006993007
1178,118,1412.8135593220338
1180,129,1627.9302325581396
1182,123,1506.2845528455284
1184,123,1787.4065040650407
1186,142,1922.6478873239437
1188,157,1923.2738853503186
1190,124,1117.467741935484
1192,140,1265.0
1194,126,1124.7777777777778
1196,115,1248.6782608695653
1198,138,1720.695652173913
1200,140,1555.7
1202,158,1809.8101265822784
1204,156,1367.7692307692307
1206,127,1271.6850393700788
1208,122,1083.2540983606557
1210,136,1355.5
1212,120,1948.975
1214,128,1906.7265625
1216,132,1996.409090909091
1218,148,1909.0135135135135
1220,123,1893.5040650406504
1222,138,1912.8695652173913
1224,133,1861.3533834586467
1226,156,1402.128205128205
1228,148,1334.9527027027027
1230,135,1472.6
1232,138,1574.6521739130435
1234,111,1322.4324324324325
1236,156,1344.826923076923
1238,133,1399.045112781955
1240,150,1860.3733333333332
1242,135,1521.9851851851852
1244,122,1577.0819672131147
1246,129,1911.0697674418604
1248,156,1979.076923076923
1250,169,1654.0473372781064
1252,131,1229.2671755725191
1254,135,1227.7333333333333
1256,133,1709.4436090225563
1258,142,1794.4929577464789
1260,117,1813.2136752136753
1262,164,1525.9268292682927
1264,147,1243.9863945578231
1266,114,1133.0
1268,110,1436.3818181818183
1270,150,1808.44
1272,140,1868.5428571428572
1274,159,1470.301886792453
1276,128,1284.8671875
1278,133,1674.187969924812
1280,135,1544.5777777777778
1282,141,1283.3333333333333
1284,145,1650.503448275862
1286,128,1443.390625
1288,143,1544.4685314685314
1290,121,1318.4876033057851
1292,168,1606.547619047619
1294,118,1486.4745762711864
1296,128,1029.5078125
1298,149,1551.9597315436242
1300,137,1729.087591240876
1302,128,1775.90625
1304,158,1427.9746835443038
1306,105,1370.8095238095239
1308,159,1677.5345911949685
1310,135,1627.4222222222222
1312,130,1498.446153846154
1314,140,1480.7714285714285
1316,141,1908.3971631205675
1318,158,1459.2278481012659
1320,111,1388.6486486486488
1322,110,1762.9272727272728
1324,169,1818.076923076923
1326,126,1543.2380952380952
1328,133,2155.8872180451126
1330,127,1552.748031496063
1332,132,2342.401515151515
1334,103,1848.7184466019417
1336,0,0
1338,0,0
1340,-21173,0
1342,3,22.0
1344,3,97.0
1346,1,17.0
1348,4,80.0
1350,3,21.0
1352,6,64.0
1354,10,49.7
1356,9,73.77777777777777
1358,4,49.0
1360,6,34.0
1362,14,92.57142857142857
1364,12,57.666666666666664
1366,10,71.6
1368,13,48.76923076923077
1370,16,62.0
1372,16,62.0
1374,6,39.166666666666664
1376,13,49.46153846153846
1378,22,161.63636363636363
1380,13,73.0
1382,20,62.75
1384,17,72.0
1386,22,83.0909090909091
1388,22,85.0909090909091
1390,18,74.0
1392,20,104.4
1394,15,76.0
1396,27,101.62962962962963
1398,23,110.08695652173913
1400,16,176.25
1402,32,175.21875
1404,33,118.27272727272727
1406,24,112.75
1408,24,94.0
1410,26,94.0
1412,29,132.13793103448276
1414,33,113.75757575757575
1416,34,133.47058823529412
1418,29,479.44827586206895
1420,29,162.75862068965517
1422,27,144.11111111111111
1424,43,240.7674418604651
1426,33,244.33333333333334
1428,34,131.0
1430,40,109.625
1432,32,157.71875
1434,36,105.36111111111111
1436,39,105.33333333333333
1438,41,129.0
1440,36,129.0
1442,42,154.73809523809524
1444,41,184.73170731707316
1446,39,132.0
1448,41,161.3170731707317
1450,42,133.0
1452,45,161.64444444444445
1454,38,587.9736842105264
1456,35,302.65714285714284
1458,45,369.8666666666667
1460,63,438.0
1462,48,138.375
1464,38,250.89473684210526
1466,71,262.6619718309859
1468,40,133.325
1470,60,231.56666666666666
1472,44,176.0
1474,48,176.0
1476,49,137.87755102040816
1478,39,223.89743589743588
1480,61,176.0
1482,65,332.38461538461536
1484,47,181.0
1486,44,229.27272727272728
1488,72,243.0
1490,64,184.0
1492,58,223.9655172413793
1494,66,293.3636363636364
1496,55,232.34545454545454
1498,53,141.9811320754717
1500,73,258.2739726027397
1502,64,190.0
1504,55,190.0
1506,52,347.84615384615387
1508,80,228.2
1510,68,194.0
1512,58,194.0
1514,46,583.7391304347826
1516,77,637.8571428571429
1518,79,370.1898734177215
1520,58,270.2068965517241
1522,71,262.09859154929575
1524,67,217.0
1526,81,723.8148148148148
1528,55,229.0
1530,69,177.6231884057971
1532,87,478.48275862068965
1534,63,292.6507936507937
1536,48,546.9166666666666
1538,113,648.4867256637168
1540,62,251.0
1542,78,353.46153846153845
1544,60,185.4
1546,67,252.0
1548,85,301.50588235294117
1550,68,315.88235294117646
1552,86,456.8837209302326
1554,76,258.0
1556,69,192.68115942028984
1558,58,178.29310344827587
1560,72,191.59722222222223
1562,66,397.5151515151515
1564,75,257.0
1566,78,443.7692307692308
1568,78,260.0
1570,72,190.47222222222223
1572,70,259.0
1574,76,394.57894736842104
1576,83,324.0722891566265
1578,75,262.0
1580,64,262.0
1582,71,185.30985915492957
1584,64,347.078125
1586,77,334.54545454545456
1588,77,336.54545454545456
1590,71,264.0
1592,70,264.0
1594,82,407.5609756097561
1596,68,353.55882352941177
1598,91,333.42857142857144
1600,74,185.3108108108108
1602,63,267.0
1604,83,342.48192771084337
1606,55,268.0
1608,85,343.3529411764706
1610,77,353.1818181818182
1612,78,354.1025641025641
1614,72,363.1111111111111
1616,84,431.9047619047619
1618,74,365.7567567567568
1620,69,275.0
1622,69,375.40579710144925
1624,92,504.9130434782609
1626,64,279.0
1628,80,368.55
1630,64,167.0625
1632,70,383.25714285714287
1634,95,357.82105263157894
1636,75,181.42666666666668
1638,75,280.0
1640,62,280.0
1642,70,280.0
1644,83,466.93975903614455
1646,71,502.53521126760563
1648,81,284.0
1650,68,753.2941176470588
1652,100,530.34
1654,70,407.4
1656,78,292.0
1658,71,175.14084507042253
1660,80,395.7125
1662,87,292.0
1664,70,292.0
1666,77,292.0
1668,79,402.0
1670,75,526.7333333333333
1672,86,295.0
1674,87,192.26436781609195
1676,78,294.0
1678,86,294.0
1680,74,294.0
1682,71,294.0
1684,66,294.0
1686,72,294.0
1688,65,294.0
1690,82,410.2439024390244
1692,80,295.0
1694,80,295.0
1696,71,295.0
1698,73,295.0
1700,78,422.1025641025641
1702,71,296.0
1704,90,184.05555555555554
1706,66,448.6515151515151
1708,83,419.1807228915663
1710,71,297.0
1712,73,154.97260273972603
1714,63,296.0
1716,83,296.0
1718,59,475.20338983050846
1720,90,415.47777777777776
1722,67,298.0
1724,75,298.0
1726,66,298.0
1728,90,419.7888888888889
1730,74,299.0
1732,79,299.0
1734,66,129.6060606060606
1736,62,479.3225806451613
1738,87,429.2183908045977
1740,96,300.0
1742,58,300.0
1744,70,134.95714285714286
1746,74,456.1216216216216
1748,89,431.64044943820227
1750,70,301.0
1752,87,301.0
1754,71,301.0
1756,79,301.0
1758,67,301.0
1760,99,547.2424242424242
1762,78,303.0
1764,86,303.0
1766,74,303.0
1768,70,124.47142857142858
