Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle
2,0,0
4,0,0
6,0,0
8,0,0
10,0,0
12,5,269.0
14,11,55.18181818181818
16,12,94.0
18,15,98.53333333333333
20,13,144.76923076923077
22,28,235.0
24,22,212.8181818181818
26,20,148.1
28,23,99.21739130434783
30,28,172.96428571428572
32,48,213.25
34,36,241.5
36,44,192.86363636363637
38,47,218.4468085106383
40,57,207.52631578947367
42,50,198.18
44,45,246.0
46,69,261.4347826086956
48,59,160.15254237288136
50,52,225.30769230769232
52,69,277.39130434782606
54,70,349.0857142857143
56,66,368.1666666666667
58,83,476.9277108433735
60,59,374.3220338983051
62,91,357.6373626373626
64,73,299.73972602739724
66,98,453.7142857142857
68,89,407.2247191011236
70,98,638.3469387755102
72,96,428.9166666666667
74,88,434.45454545454544
76,61,751.1803278688525
78,137,1252.6131386861314
80,97,530.1752577319587
82,90,483.3
84,98,790.4387755102041
86,108,664.675925925926
88,124,733.7822580645161
90,99,736.3333333333334
92,128,879.1875
94,105,672.7333333333333
96,86,1116.9418604651162
98,126,1167.5555555555557
100,102,1020.5098039215686
102,100,1374.5
104,147,1678.6666666666667
106,87,1177.528735632184
108,129,1543.2790697674418
110,135,1381.762962962963
112,143,1263.048951048951
114,114,1343.6315789473683
116,99,1472.4545454545455
118,140,1649.642857142857
120,135,1931.4
122,128,1688.859375
124,127,1745.5984251968505
126,122,1945.8524590163934
128,163,2116.852760736196
130,131,1854.2900763358778
132,159,1903.2704402515724
134,120,2089.1666666666665
136,160,2035.75
138,130,1862.9692307692308
140,125,2022.992
142,143,2147.6363636363635
144,148,1804.8513513513512
146,135,2352.0
148,20,2079.75
150,0,0
152,0,0
154,-6055,0
156,21,208.66666666666666
158,19,134.6315789473684
160,36,238.05555555555554
162,34,329.11764705882354
164,48,614.5
166,58,349.7931034482759
168,52,301.2307692307692
170,61,447.1475409836066
172,97,702.1030927835052
174,76,507.10526315789474
176,97,607.2371134020618
178,111,619.1891891891892
180,98,593.1632653061224
182,84,837.8809523809524
184,122,938.8852459016393
186,101,1007.2673267326733
188,124,1065.1935483870968
190,129,1210.7906976744187
192,93,1318.0537634408602
194,142,1561.5
196,141,1821.177304964539
198,143,1675.4125874125873
200,152,1664.9736842105262
202,109,1629.7431192660551
204,162,1934.9012345679012
206,114,1664.122807017544
208,142,2423.0
210,136,2482.235294117647
212,137,2496.941605839416
214,147,3020.6190476190477
216,133,3929.315789473684
218,149,3389.0
220,157,3376.1974522292994
222,144,3524.2083333333335
224,135,3904.866666666667
226,164,3705.060975609756
228,127,4754.188976377953
230,150,5025.3
232,126,3745.8571428571427
234,208,5378.677884615385
236,129,4245.116279069767
238,107,3911.5607476635514
240,0,0
242,0,0
244,0,0
246,-4724,0
248,47,323.7659574468085
250,53,302.75471698113205
252,64,338.359375
254,63,371.6666666666667
256,89,562.9550561797753
258,99,655.3232323232323
260,104,865.0
262,99,891.1414141414141
264,117,1364.4529914529915
266,113,1440.274336283186
268,98,2090.5510204081634
270,157,2353.3694267515925
272,145,2068.6758620689657
274,159,2511.4591194968552
276,151,2025.794701986755
278,129,2451.4806201550387
280,110,2906.018181818182
282,175,3353.24
284,130,3469.576923076923
286,156,3787.4615384615386
288,132,5087.318181818182
290,167,5042.347305389221
292,150,6643.64
294,154,5408.2467532467535
296,172,5945.7558139534885
298,124,5735.451612903225
300,139,8736.661870503596
302,166,6392.355421686747
304,160,7010.7125
306,207,7587.521739130435
308,175,7857.771428571428
310,142,6320.338028169014
312,184,6841.489130434783
314,172,6695.302325581395
316,135,8435.022222222222
318,147,6710.122448979592
320,190,7350.263157894737
322,131,7581.236641221374
324,173,5786.0346820809245
326,40,6422.675
328,0,0
330,0,0
332,0,0
334,-5315,0
336,6,33.0
338,9,82.88888888888889
340,6,68.16666666666667
342,8,93.875
344,8,148.875
346,15,143.0
348,16,183.0
350,11,74.72727272727273
352,21,94.19047619047619
354,12,168.0
356,21,683.5714285714286
358,22,506.54545454545456
360,27,169.22222222222223
362,23,97.69565217391305
364,27,210.25925925925927
366,32,151.0
368,33,246.4848484848485
370,25,148.8
372,24,427.75
374,33,224.0
376,33,324.8484848484849
378,32,218.0
380,36,150.33333333333334
382,44,369.0
384,44,341.0
386,42,288.85714285714283
388,37,142.43243243243242
390,54,255.05555555555554
392,44,208.95454545454547
394,51,178.2549019607843
396,35,165.42857142857142
398,63,276.76190476190476
400,58,220.51724137931035
402,44,213.27272727272728
404,59,252.94915254237287
406,59,330.7457627118644
408,66,276.8787878787879
410,64,262.5
412,46,272.1304347826087
414,62,507.4516129032258
416,58,232.6206896551724
418,76,393.2368421052632
420,64,238.71875
422,47,330.1276595744681
424,102,648.0098039215686
426,40,156.275
428,89,963.2808988764045
430,71,397.40845070422534
432,72,347.43055555555554
434,88,321.0
436,73,262.47945205479454
438,70,539.6
440,101,440.2079207920792
442,73,265.7945205479452
444,85,387.0
446,70,475.85714285714283
448,100,677.55
450,88,440.82954545454544
452,94,380.968085106383
454,69,393.82608695652175
456,70,690.8285714285714
458,89,1045.2696629213483
460,95,1009.0
462,70,904.4285714285714
464,88,1235.5
466,105,821.9142857142857
468,90,639.0555555555555
470,104,553.7596153846154
472,82,632.4634146341464
474,103,787.4660194174758
476,123,719.9837398373984
478,95,600.3157894736842
480,93,873.0967741935484
482,103,1056.3300970873786
484,103,833.9029126213592
486,105,969.3714285714286
488,86,884.4651162790698
490,104,791.0384615384615
492,105,979.5238095238095
494,99,1172.040404040404
496,145,929.9862068965517
498,112,836.8035714285714
500,126,1106.547619047619
502,119,985.8403361344538
504,104,645.9615384615385
506,86,1105.6976744186047
508,127,1133.740157480315
510,120,1284.3166666666666
512,115,1544.9652173913043
514,133,1187.0
516,99,904.8181818181819
518,137,1525.7664233576643
520,128,1178.015625
522,127,1405.8897637795276
524,162,1648.432098765432
526,119,1978.1932773109243
528,120,1954.475
530,155,2133.032258064516
532,137,2162.5401459854015
534,123,2902.959349593496
536,115,3568.1652173913044
538,154,3458.064935064935
540,145,3454.806896551724
542,184,3319.5434782608695
544,126,3348.285714285714
546,165,3573.090909090909
548,105,3748.1714285714284
550,195,4743.369230769231
552,139,3925.6187050359713
