Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,high_i_o_read,high_i_o_write,high_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"pod_restart_{container=""main"", instance=""kube""","pod_restart_{container=""redis"", instance=""kube""","pod_restart_{container=""server"", instance=""kube""","pod_restart_{container=""server"", instance=""kube.2""","pod_restart_{container=""server"", instance=""kube.3""","pod_restart_{container=""server"", instance=""kube.4""","pod_restart_{container=""server"", instance=""kube.5""","pod_restart_{container=""server"", instance=""kube.6""","pod_restart_{container=""server"", instance=""kube.7""","pod_restart_{container=""server"", instance=""kube.8""","pod_restart_{container=""server"", instance=""kube.9"""
22,2,94.0,146269,0.0,13515132928,,,,,,108.0,2.62,139.0,,312.0,72.4,,1758.0,0.0203,0.01,0.000306,0.00449,0.00544,0.000142,0.00274,0.000273,0.000179,0.00127,0.00123,0.000362,0.00609,0,0,0,0,0,0,0,0,0,0,0
24,3,142.33333333333334,148486,0.0,13516673024,,,,,,105.0,2.48,137.0,,312.0,71.3,,1762.0,0.0206,0.0102,0.000287,0.00456,0.00553,0.000141,0.00272,0.000277,0.000182,0.00127,0.00122,0.000329,0.0062,0,0,0,0,0,0,0,0,0,0,0
26,4,132.0,150950,0.0,13522096128,,,,,,105.0,2.48,137.0,,302.0,68.1,,1750.0,0.0187,0.0103,0.000291,0.00463,0.00561,0.000139,0.0027,0.000274,0.000185,0.00133,0.0012,0.000341,0.00612,0,0,0,0,0,0,0,0,0,0,0
28,3,119.0,152272,0.0,13521399808,,,,,,105.0,1.72,142.0,,314.0,70.4,,1770.0,0.019,0.0105,0.000296,0.0047,0.0057,0.000138,0.00268,0.000272,0.000188,0.00131,0.00119,0.000348,0.0062,0,0,0,0,0,0,0,0,0,0,0
30,3,115.0,142895,0.0,13523927040,,,,,,106.0,1.75,142.0,,317.0,70.7,,1765.0,0.0193,0.0113,0.0003,0.00612,0.00534,0.000137,0.00266,0.000269,0.000192,0.0013,0.00118,0.000354,0.00644,0,0,0,0,0,0,0,0,0,0,0
32,5,107.0,144697,0.0,13528641536,,,,,,106.0,1.7,143.0,,315.0,70.7,,1763.0,0.0196,0.0115,0.000304,0.0062,0.00519,0.000135,0.00273,0.000266,0.000178,0.00129,0.00116,0.000361,0.00657,0,0,0,0,0,0,0,0,0,0,0
34,8,150.5,146886,0.0,13529481216,,,,,,103.0,1.7,144.0,,312.0,71.3,,1770.0,0.0199,0.0116,0.000308,0.00629,0.00526,0.000134,0.00271,0.000264,0.000364,0.00128,0.00115,0.000367,0.00626,0,0,0,0,0,0,0,0,0,0,0
36,7,193.0,147896,0.0,13535490048,,,,,,106.0,1.7,142.0,,312.0,71.7,,1746.0,0.0202,0.0118,0.000313,0.00638,0.00534,0.000132,0.00269,0.000266,0.00037,0.00127,0.00113,0.000374,0.00635,0,0,0,0,0,0,0,0,0,0,0
38,6,120.5,148551,0.0,13548306432,,,,,,106.0,1.7,142.0,,303.0,73.0,,1768.0,0.0205,0.012,0.000377,0.00647,0.00541,0.000131,0.00266,0.000263,0.000376,0.00125,0.00112,0.00038,0.00644,0,0,0,0,0,0,0,0,0,0,0
40,13,270.9230769230769,151583,0.0,13555712000,,,,,,104.0,1.81,140.0,,318.0,73.0,,1769.0,0.0208,0.0121,0.000382,0.00656,0.00549,0.00013,0.00264,0.00026,0.000382,0.00124,0.0011,0.000386,0.00652,0,0,0,0,0,0,0,0,0,0,0
