Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,cart_i_o_read,cart_i_o_write,cart_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"cart_pod_restart_{container=""main"", instance=""kube","cart_pod_restart_{container=""main"", instance=""kube.2","cart_pod_restart_{container=""redis"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube","cart_pod_restart_{container=""server"", instance=""kube.2","cart_pod_restart_{container=""server"", instance=""kube.3","cart_pod_restart_{container=""server"", instance=""kube.4","cart_pod_restart_{container=""server"", instance=""kube.5","cart_pod_restart_{container=""server"", instance=""kube.6","cart_pod_restart_{container=""server"", instance=""kube.7","cart_pod_restart_{container=""server"", instance=""kube.8","cart_pod_restart_{container=""server"", instance=""kube.9"
24,5,51.8,7545,0,13071523840,111,113,20.7,38.7,244,29.0,489.0,36.0,113,242,17.1,45.5,2608,0.0205,0.0115,4.22e-05,0.000199,0.00397,5.85e-05,0.00581,0.000166,0.000316,0.0039,0.000419,7.86e-05,0.00572,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
26,3,119.0,7569,0,13068718080,112,114,19.9,42.4,246,28.3,489.0,35.0,114,244,16.6,44.2,2844,0.0206,0.0115,4.08e-05,0.000195,0.00401,5.7e-05,0.00581,0.000162,0.000318,0.00393,0.00041,7.61e-05,0.00574,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
28,9,70.66666666666667,7594,0,13070958592,113,115,19.2,41.3,249,27.5,489.0,34.0,115,246,16.1,42.9,3018,0.0208,0.0116,3.95e-05,0.000191,0.00384,4.47e-05,0.00581,0.000158,0.000321,0.00396,0.000395,7.36e-05,0.0058,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
30,2,64.5,7618,0,13072769024,124,146,18.4,40.2,251,27.3,489.0,34.5,116,248,15.6,41.6,3077,0.021,0.0117,3.81e-05,0.000187,0.00387,5.06e-05,0.00581,0.000153,0.000324,0.004,0.000379,7.11e-05,0.00587,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
32,6,345.6666666666667,7626,0,13083889664,125,147,17.7,39.2,253,26.6,489.0,33.5,117,250,15.1,44.9,3159,0.0208,0.0118,3.67e-05,0.000185,0.0039,4.92e-05,0.00581,0.000149,0.000596,0.00386,0.000364,6.24e-05,0.00578,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
34,14,235.42857142857144,7651,0,13091373056,126,149,16.9,38.1,245,25.8,489.0,32.5,118,252,14.6,43.5,3165,0.0209,0.0119,3.6e-05,0.00018,0.00394,4.78e-05,0.00581,0.000144,0.000601,0.00386,0.000349,7.36e-05,0.00583,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
36,8,107.625,7675,0,13091799040,127,150,16.1,37.0,245,25.1,489.0,31.5,119,329,14.2,42.0,3272,0.0211,0.0145,3.46e-05,0.000176,0.00397,4.65e-05,0.00581,0.000145,0.000605,0.00416,0.000334,7.07e-05,0.0061,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
38,19,144.94736842105263,7540,0,13089673216,128,151,15.4,36.0,255,24.3,489.0,30.4,115,331,13.7,40.6,3291,0.0212,0.0146,3.32e-05,0.000172,0.00388,4.51e-05,0.00581,0.000141,0.00061,0.00419,0.000319,6.79e-05,0.00615,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
40,14,93.0,7563,0,13092663296,129,152,10.0,34.9,257,23.5,489.0,29.4,846,334,14.0,39.1,4030,0.0214,0.0147,3.18e-05,0.000168,0.00391,4.37e-05,0.00581,0.000136,0.000615,0.00423,0.000304,6.51e-05,0.0062,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
42,14,94.0,9505,0,13085618176,152,153,9.51,37.3,259,25.3,489.0,24.7,853,337,13.5,37.7,7612,0.0216,0.0148,3.04e-05,0.000163,0.00395,4.24e-05,0.00581,0.000132,0.0012,0.00426,0.000289,6.23e-05,0.00631,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0
