Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,checkout_i_o_read,checkout_i_o_write,checkout_memory,network_outgoing_pod_adservice,network_outgoing_pod_cartservice,network_outgoing_pod_checkoutservice,network_outgoing_pod_currencyservice,network_outgoing_pod_emailservice,network_outgoing_pod_frontend,network_outgoing_pod_loadgenerator,network_outgoing_pod_paymentservice,network_outgoing_pod_productcatalogservice,network_outgoing_pod_recommendationservice,network_outgoing_pod_redis,network_outgoing_pod_shippingservice,network_outgoing_system,cpu_pod_adservice,cpu_pod_cartservice,cpu_pod_checkoutservice,cpu_pod_currencyservice,cpu_pod_emailservice,cpu_pod_frontend,cpu_pod_loadgenerator,cpu_pod_paymentservice,cpu_pod_productcatalogservice,cpu_pod_recommendationservice,cpu_pod_redis,cpu_pod_shippingservice,cpu_system,"checkout_pod_restart_{container=""main"", instance=""kube","checkout_pod_restart_{container=""redis"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube","checkout_pod_restart_{container=""server"", instance=""kube.2","checkout_pod_restart_{container=""server"", instance=""kube.3","checkout_pod_restart_{container=""server"", instance=""kube.4","checkout_pod_restart_{container=""server"", instance=""kube.5","checkout_pod_restart_{container=""server"", instance=""kube.6","checkout_pod_restart_{container=""server"", instance=""kube.7","checkout_pod_restart_{container=""server"", instance=""kube.8","checkout_pod_restart_{container=""server"", instance=""kube.9"
30,3,109.0,212710,0.0,13620383744,52.6,110.0,104.0,105.0,252.0,113,4666.0,35.1,103.0,86.4,47.8,53.6,7563,0.0214,0.00165,0.000169,0.000409,0.00112,0.000377,0.00375,0.00268,0.000167,0.00327,0.00178,0.000204,0.00529,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
32,2,29.0,194530,0.0,13622751232,53.9,109.0,103.0,104.0,250.0,116,4821.0,36.0,102.0,88.5,47.4,54.9,7763,0.0197,0.00163,0.000167,0.000405,0.00111,0.00043,0.00372,0.00275,0.000166,0.00335,0.00176,0.000209,0.00522,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
34,2,38.5,200140,0.0,13628026880,55.1,108.0,102.0,104.0,248.0,119,4785.0,36.8,101.0,90.6,46.9,56.3,7732,0.0182,0.00162,0.000166,0.000401,0.0011,0.000439,0.0037,0.00282,0.000164,0.00343,0.00175,0.000214,0.00511,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
36,3,36.0,201188,0.0,13625077760,56.3,107.0,101.0,103.0,246.0,121,4748.0,37.6,99.8,112.0,46.5,57.6,7800,0.0187,0.0016,0.000155,0.00039,0.00109,0.000449,0.00367,0.00289,0.000166,0.00351,0.00166,0.000218,0.00519,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
38,6,51.666666666666664,206025,0.0,13625892864,51.7,105.0,100.0,102.0,241.0,124,4712.0,46.5,98.9,115.0,46.0,73.6,7788,0.0191,0.00159,0.000155,0.000386,0.00108,0.000458,0.00364,0.00296,0.000164,0.00359,0.00172,0.000223,0.0053,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
40,3,36.0,215638,0.0,13625839616,53.4,104.0,100.0,101.0,238.0,127,4675.0,47.5,98.0,117.0,43.3,75.3,7778,0.0195,0.00158,0.000161,0.000383,0.00107,0.000467,0.00361,0.00317,0.000162,0.00367,0.0017,0.000227,0.00543,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
42,3,59.333333333333336,224086,0.0,13627781120,54.5,103.0,99.4,99.8,236.0,130,4639.0,48.6,92.0,120.0,45.1,76.9,7750,0.0199,0.00156,0.000159,0.000379,0.00101,0.000477,0.00359,0.00325,0.000161,0.00354,0.00169,0.000207,0.00538,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
44,6,85.66666666666667,206647,0.0,13634994176,55.6,102.0,98.4,98.8,234.0,859,4602.0,49.6,96.1,122.0,44.6,78.5,8510,0.0203,0.00155,0.000157,0.000376,0.00101,0.000486,0.00356,0.00332,0.000159,0.00361,0.00167,0.000349,0.00562,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
46,6,48.666666666666664,214809,0.0,13640421376,56.7,101.0,97.4,97.9,232.0,876,4566.0,50.6,95.1,125.0,44.2,80.2,8494,0.0186,0.00153,0.000156,0.000372,0.00104,0.000907,0.00353,0.0034,0.000158,0.00368,0.00165,0.000355,0.00558,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
48,6,51.333333333333336,219390,0.0,13643915264,57.8,100.0,96.5,97.0,230.0,894,4529.0,51.6,94.2,127.0,43.8,81.8,9164,0.019,0.00156,0.000154,0.000369,0.00103,0.000924,0.00353,0.00347,0.000161,0.00376,0.00164,0.000362,0.00568,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
