Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_system,pod_restart,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
2,2,36.0,0,400,12764622848,215,498,526,910,343,8618,5.47,641.0,2703.0,176,2175,594,152,320,17877,0.00236,0.00578,0.000881,0.0153,0.00197,0.00482,0.00572,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827,0.00518,0,,,,,,,,,,,,,,,,,,,,,,0.00518,12764622848,9.791326185647797,23.269943341492446,0.005166629951358935
4,2,21.0,0,403,12751368192,209,498,521,921,343,8333,51.0,641.0,2703.0,176,2295,594,148,320,17753,0.00236,0.00578,0.000876,0.0148,0.00197,0.00459,0.00629,0.00585,0.00917,0.00155,0.00206,0.00358,0.00226,0.000827,0.00516,0,0.00518,,,,,2.0,,,,,12764622848.0,,,,,,,,,,,0.010339999999999998,25515991040,9.784366121628265,23.26890441204852,0.005146732819529832
6,4,79.0,0,403,12748492800,209,498,521,921,343,8333,55.3,641.0,2703.0,176,2295,594,148,320,17757,0.0023,0.00568,0.000876,0.0147,0.00195,0.00459,0.00686,0.00585,0.00917,0.00149,0.00206,0.00358,0.00226,0.000837,0.00518,0,0.00516,0.00518,,,,2.0,2.0,,,,12751368192.0,12764622848.0,,,,,,,,,,0.015519999999999999,38264483840,9.784591397592273,23.26867888987702,0.005166629951358935
8,7,33.142857142857146,0,403,12752961536,209,482,521,921,346,8333,59.6,641.0,2703.0,177,2226,594,148,323,17684,0.00232,0.00568,0.000876,0.0147,0.00195,0.00459,0.00469,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837,0.00501,0,0.00518,0.00516,0.00518,,,4.0,2.0,2.0,,,12748492800.0,12751368192.0,12764622848.0,,,,,,,,,0.02053,51017445376,9.780472101639582,23.26902935899039,0.004997491710291895
10,4,25.0,0,403,12758626304,209,479,521,921,346,8651,63.9,641.0,2703.0,177,2275,594,148,323,18052,0.00238,0.00581,0.000911,0.0147,0.00195,0.0048,0.00505,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000837,0.00507,0,0.00501,0.00518,0.00516,0.00518,,7.0,4.0,2.0,2.0,,12752961536.0,12748492800.0,12751368192.0,12764622848.0,,3.8,0.0051199999999999996,12755214336.0,0.002344,0.0020880000000000004,0.00585,0.025599999999999998,63776071680,9.801067154936659,23.269473452719733,0.005057190826762703
12,7,42.0,0,403,12751814656,209,495,521,921,346,8651,68.2,641.0,2703.0,177,2275,599,150,325,18080,0.00238,0.00581,0.000911,0.0147,0.00195,0.0048,0.00541,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852,0.0051,0,0.00507,0.00501,0.00518,0.00516,0.00518,4.0,7.0,4.0,2.0,2.0,12758626304.0,12752961536.0,12748492800.0,12751368192.0,12764622848.0,4.8,0.005103999999999999,12752652697.6,0.0023480000000000003,0.0021020000000000006,0.00585,0.030699999999999998,76527886336,9.802616942151154,23.268939424462673,0.005087039048557106
14,9,54.333333333333336,0,403,12746117120,209,513,521,921,351,8651,72.5,641.0,2703.0,177,2275,599,150,325,18108,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00576,0.00585,0.00917,0.00149,0.00213,0.00355,0.00226,0.000852,0.00519,0,0.0051,0.00507,0.00501,0.00518,0.00516,7.0,4.0,7.0,4.0,2.0,12751814656.0,12758626304.0,12752961536.0,12748492800.0,12751368192.0,6.2,0.00511,12751602483.2,0.002352,0.002116,0.00585,0.03589,89274003456,9.804164331241342,23.268492522639857,0.005176578368814511
16,11,49.36363636363637,0,392,12747350016,217,513,521,921,351,8651,357.0,641.0,2703.0,177,2275,601,150,325,18402,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00612,0.00585,0.00917,0.00172,0.00224,0.00355,0.00227,0.000852,0.00524,0,0.00519,0.0051,0.00507,0.00501,0.00518,9.0,7.0,4.0,7.0,4.0,12746117120.0,12751814656.0,12758626304.0,12752961536.0,12748492800.0,7.6,0.005122,12751373926.4,0.002368,0.0021520000000000003,0.00585,0.04113,102021353472,9.820268973785195,23.268589245144824,0.005226318971581391
18,5,24.8,0,399,12685602816,217,513,521,1028,351,9426,377.0,641.0,2703.0,177,2275,621,160,329,19338,0.00238,0.00581,0.000981,0.0153,0.00195,0.0048,0.00647,0.00585,0.00917,0.00175,0.00224,0.00355,0.00228,0.000857,0.00528,0,0.00524,0.00519,0.0051,0.00507,0.00501,11.0,9.0,7.0,4.0,7.0,12747350016.0,12746117120.0,12751814656.0,12758626304.0,12752961536.0,7.2,0.005176,12737902182.4,0.00238,0.0021739999999999997,0.00585,0.04641,114706956288,9.8698790613623,23.26373355090242,0.005266109672499837
20,10,37.7,0,399,12686184448,234,513,632,1075,351,9426,397.0,641.0,2703.0,183,2396,621,160,329,19660,0.00238,0.00611,0.000981,0.0153,0.00195,0.0048,0.00549,0.00585,0.00917,0.0018,0.00224,0.00355,0.00228,0.000857,0.00523,0,0.00528,0.00524,0.00519,0.0051,0.00507,5.0,11.0,9.0,7.0,4.0,12685602816.0,12747350016.0,12746117120.0,12751814656.0,12758626304.0,8.4,0.005208,12723413811.2,0.00238,0.0021959999999999996,0.00585,0.05164,127393140736,9.886392257107492,23.263779399623598,0.0052163710489562505
