Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod_restart,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
22,10,104.0,0.0,0.0,11465449472,127.0,140.0,140.0,184.0,318.0,329.0,3168.0,130.0,144.0,168.0,316.0,68.5,212.0,5445.0,0.00191,0.00251,0.000328,0.00093,0.00176,0.000336,0.00337,,0.000509,0.000306,0.00159,0.00215,0.000391,0.00134,0.0,,,,,,,,,,,,,,,,,,,,,,0.00134,11465449472,8.602636673233706,23.162603956412813,0.001339103001229485
24,11,67.72727272727273,0.0,0.0,11468533760,123.0,144.0,140.0,184.0,315.0,339.0,3146.0,142.0,144.0,168.0,316.0,68.5,212.0,5442.0,0.00191,0.00253,0.000328,0.00093,0.00176,0.000336,0.00336,,0.000502,0.000311,0.00155,0.00215,0.000391,0.00134,0.0,0.00134,,,,,10.0,,,,,11465449472.0,,,,,,,,,,,0.00268,22933983232,8.6020856584342,23.1628729273968,0.001339103001229485
26,16,119.6875,0.0,14.5,11540856832,123.0,144.0,174.0,182.0,311.0,339.0,3123.0,153.0,144.0,168.0,316.0,66.5,212.0,5456.0,0.00191,0.00253,0.000312,0.00093,0.0017,0.000336,0.00333,0.00541,0.000502,0.000311,0.00155,0.00215,0.000391,0.00178,0.0,0.00134,0.00134,,,,11.0,10.0,,,,11468533760.0,11465449472.0,,,,,,,,,,0.00446,34474840064,8.604654467186231,23.169159344230184,0.001778417677411212
28,20,165.55,0.0,14.5,11543244800,123.0,144.0,174.0,188.0,311.0,339.0,3100.0,164.0,144.0,493.0,317.0,76.2,211.0,5786.0,0.00191,0.00253,0.000323,0.00093,0.00175,0.000336,0.00331,0.00617,0.000502,0.000311,0.0016,0.00215,0.000391,0.00185,0.0,0.00178,0.00134,0.00134,,,16.0,11.0,10.0,,,11540856832.0,11468533760.0,11465449472.0,,,,,,,,,0.0063100000000000005,46018084864,8.663369301573839,23.169366237099258,0.0018482908576176176
30,25,67.24,0.0,14.5,11546431488,123.0,144.0,174.0,188.0,311.0,339.0,3077.0,175.0,144.0,493.0,317.0,74.1,211.0,5772.0,0.00191,0.00253,0.000313,0.00093,0.00175,0.000343,0.00329,0.00694,0.000492,0.000311,0.0016,0.00215,0.000391,0.00191,0.0,0.00185,0.00178,0.00134,0.00134,,20.0,16.0,11.0,10.0,,11543244800.0,11540856832.0,11468533760.0,11465449472.0,,16.4,0.001644,11512903270.4,0.00191,0.001578,,0.00822,57564516352,8.660947155060933,23.169642264184283,0.001908178269301584
32,21,81.47619047619048,0.0,28.7,11544469504,123.0,144.0,176.0,188.0,311.0,339.0,2991.0,187.0,149.0,515.0,420.0,74.7,245.0,5864.0,0.00191,0.00253,0.000311,0.00093,0.00175,0.000343,0.00326,0.00771,0.000508,0.000311,0.0016,0.00215,0.000391,0.00198,0.0,0.00191,0.00185,0.00178,0.00134,0.00134,25.0,20.0,16.0,11.0,10.0,11546431488.0,11543244800.0,11540856832.0,11468533760.0,11465449472.0,18.6,0.001772,11528707276.8,0.00191,0.0015800000000000002,,0.0102,69108985856,8.676757761087575,23.169472328502238,0.0019780423836276923
34,34,157.41176470588235,0.0,28.7,11541315584,123.0,144.0,176.0,188.0,311.0,4201.0,3069.0,482.0,153.0,515.0,420.0,76.9,245.0,10107.0,0.00191,0.00245,0.000321,0.00093,0.00175,0.000343,0.00324,0.00848,0.000508,0.000311,0.0016,0.00215,0.00038,0.00203,0.0,0.00198,0.00191,0.00185,0.00178,0.00134,21.0,25.0,20.0,16.0,11.0,11544469504.0,11546431488.0,11543244800.0,11540856832.0,11468533760.0,23.2,0.0019099999999999998,11543263641.6,0.00191,0.00159,0.006941999999999999,0.012230000000000001,80650301440,9.221082468508085,23.16919909369499,0.0020279423342370955
36,43,223.8372093023256,0.0,28.2,11540803584,123.0,340.0,176.0,505.0,311.0,4201.0,3046.0,509.0,153.0,515.0,420.0,76.9,245.0,10623.0,0.0019,0.00249,0.000321,0.0009,0.00175,0.000334,0.00322,0.00925,0.000508,0.000308,0.0016,0.00215,0.000391,0.00209,0.0,0.00203,0.00198,0.00191,0.00185,0.00178,34.0,21.0,25.0,20.0,16.0,11541315584.0,11544469504.0,11546431488.0,11543244800.0,11540856832.0,28.6,0.001972,11543252992.0,0.001908,0.0016,0.00771,0.014320000000000001,92191105024,9.270870871716214,23.169154730350677,0.002087818988347554
38,35,110.28571428571428,0.0,28.2,11542171648,193.0,349.0,176.0,505.0,303.0,4201.0,3023.0,537.0,153.0,515.0,420.0,76.9,250.0,10704.0,0.0019,0.00291,0.000321,0.00107,0.00175,0.000334,0.00323,0.01,0.000508,0.000309,0.0016,0.00215,0.000393,0.00221,0.0,0.00209,0.00203,0.00198,0.00191,0.00185,43.0,34.0,21.0,25.0,20.0,11540803584.0,11541315584.0,11544469504.0,11546431488.0,11543244800.0,31.6,0.002044,11543038361.6,0.0019060000000000001,0.0016,0.008476000000000001,0.016530000000000003,103733276672,9.278466201023782,23.16927326481062,0.002207561542000583
40,43,154.0,14.2,28.2,11547836416,201.0,349.0,176.0,505.0,347.0,4348.0,3000.0,564.0,153.0,515.0,420.0,76.9,250.0,10906.0,0.0019,0.00291,0.000321,0.00111,0.00177,0.000334,0.00321,0.00597,0.000493,0.000309,0.0016,0.00208,0.000393,0.00187,0.0,0.00221,0.00209,0.00203,0.00198,0.00191,35.0,43.0,34.0,21.0,25.0,11542171648.0,11540803584.0,11541315584.0,11544469504.0,11546431488.0,35.2,0.002036,11543319347.2,0.001904,0.0016,0.008282,0.018400000000000003,115281113088,9.297160063928743,23.16976393316357,0.0018682537266818222
