Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_pod-pod-25,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_pod-pod-25,cpu_system,pod_restart,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
22,2,94.0,146269,0.0,13515132928,,103.0,,125.0,,114.0,,145.0,,312.0,108.0,,2.62,,,139.0,,,131.0,312.0,,72.4,,,195.0,1758.0,0.0203,0.00125,0.01,0.00161,0.000306,0.000121,0.00449,0.000244,0.00544,0.000953,0.000142,0.000459,0.00274,0.00665,0.0071,0.000273,0.003,0.000179,0.000175,0.00127,0.00339,0.00123,0.00107,0.000362,0.000245,0.00609,0.0,,,,,,,,,,,,,,,,,,,,,,0.00609,13515132928,7.472500744737558,23.32707585229053,0.006071530896628143
24,3,142.33333333333334,148486,0.0,13516673024,,103.0,,128.0,,118.0,,143.0,,314.0,105.0,,2.48,,,137.0,,,134.0,312.0,,71.3,,,195.0,1762.0,0.0206,0.0013,0.0102,0.00159,0.000287,0.000119,0.00456,0.000237,0.00553,0.000942,0.000141,0.000466,0.00272,0.00665,0.0077,0.000277,0.00306,0.000182,0.000173,0.00127,0.00347,0.00122,0.00109,0.000329,0.000242,0.0062,0.0,0.00609,,,,,2.0,,,,,13515132928.0,,,,,,,,,,,0.012289999999999999,27031805952,7.47477218239787,23.32718979924652,0.006180859075081115
26,4,132.0,150950,0.0,13522096128,,103.0,,126.0,,117.0,,147.0,,314.0,105.0,,2.48,,,137.0,,,134.0,302.0,,68.1,,,195.0,1750.0,0.0187,0.00129,0.0103,0.00158,0.000291,0.000118,0.00463,0.000234,0.00561,0.000931,0.000139,0.000473,0.0027,0.00665,0.0083,0.000274,0.00312,0.000185,0.000172,0.00133,0.00355,0.0012,0.0011,0.000341,0.00024,0.00612,0.0,0.0062,0.00609,,,,3.0,2.0,,,,13516673024.0,13515132928.0,,,,,,,,,,0.01841,40553902080,7.467942332285852,23.327590934671125,0.0061013488579763344
28,3,119.0,152272,0.0,13521399808,,102.0,,126.0,,117.0,,147.0,,314.0,105.0,,1.72,,,142.0,,,136.0,314.0,,70.4,,,194.0,1770.0,0.019,0.00128,0.0105,0.00154,0.000296,0.000116,0.0047,0.000232,0.0057,0.000921,0.000138,0.00048,0.00268,0.00665,0.0089,0.000272,0.00317,0.000188,0.000167,0.00131,0.00326,0.00119,0.00112,0.000348,0.000237,0.0062,0.0,0.00612,0.0062,0.00609,,,4.0,3.0,2.0,,,13522096128.0,13516673024.0,13515132928.0,,,,,,,,,0.02461,54075301888,7.479299637782834,23.32753943837037,0.006180859075081115
30,3,115.0,142895,0.0,13523927040,,102.0,,126.0,,114.0,,149.0,,311.0,106.0,,1.75,,,142.0,,,131.0,317.0,,70.7,,,194.0,1765.0,0.0193,0.00127,0.0113,0.00161,0.0003,0.000115,0.00612,0.000229,0.00534,0.00091,0.000137,0.000488,0.00266,0.00665,0.0095,0.000269,0.00323,0.000192,0.000165,0.0013,0.00327,0.00118,0.00114,0.000354,0.000235,0.00644,0.0,0.0062,0.00612,0.0062,0.00609,,3.0,4.0,3.0,2.0,,13521399808.0,13522096128.0,13516673024.0,13515132928.0,,3.0,0.00621,13519845785.6,0.01958,0.0001394,0.0002352,0.03105,67599228928,7.476472381163905,23.327726326997848,0.006419351802183405
32,5,107.0,144697,0.0,13528641536,,102.0,,123.0,,118.0,,144.0,,312.0,106.0,,1.7,,,143.0,,,135.0,315.0,,70.7,,,194.0,1763.0,0.0196,0.00126,0.0115,0.00159,0.000304,0.000114,0.0062,0.000227,0.00519,0.000899,0.000135,0.000963,0.00273,0.00665,0.0101,0.000266,0.00329,0.000178,0.000164,0.00129,0.00334,0.00116,0.00115,0.000361,0.000232,0.00657,0.0,0.00644,0.0062,0.00612,0.0062,0.00609,3.0,3.0,4.0,3.0,2.0,13523927040.0,13521399808.0,13522096128.0,13516673024.0,13515132928.0,3.6,0.006306000000000001,13522547507.2,0.019440000000000002,0.00013800000000000002,0.00023180000000000002,0.03762,81127870464,7.475339236566737,23.32807487031891,0.006548511617763779
34,8,150.5,146886,0.0,13529481216,,103.0,,123.0,,119.0,,149.0,,312.0,103.0,,1.7,,,144.0,,,133.0,312.0,,71.3,,,198.0,1770.0,0.0199,0.00124,0.0116,0.00157,0.000308,0.000103,0.00629,0.000224,0.00526,0.000892,0.000134,0.000978,0.00271,0.00665,0.00573,0.000264,0.00305,0.000364,0.000162,0.00128,0.00341,0.00115,0.00117,0.000367,0.000238,0.00626,0.0,0.00657,0.00644,0.0062,0.00612,0.0062,5.0,3.0,3.0,4.0,3.0,13528641536.0,13523927040.0,13521399808.0,13522096128.0,13516673024.0,4.6,0.006318,13525109145.6,0.0193,0.0001366,0.0002292,0.04388,94657351680,7.479299637782834,23.32813693523065,0.0062404875894543485
36,7,193.0,147896,0.0,13535490048,,101.0,,123.0,,119.0,,145.0,,292.0,106.0,,1.7,,,142.0,,,133.0,312.0,,71.7,,,198.0,1746.0,0.0202,0.00123,0.0118,0.00156,0.000313,0.000108,0.00638,0.000222,0.00534,0.000881,0.000132,0.000992,0.00269,0.00665,0.00605,0.000266,0.00314,0.00037,0.00016,0.00127,0.00348,0.00113,0.00119,0.000374,0.000235,0.00635,0.0,0.00626,0.00657,0.00644,0.0062,0.00612,8.0,5.0,3.0,3.0,4.0,13529481216.0,13528641536.0,13523927040.0,13521399808.0,13522096128.0,5.2,0.006364,13527787929.6,0.0196,0.00013519999999999998,0.0002268,0.050230000000000004,108192841728,7.465655310134056,23.328580965415618,0.006329923694869695
38,6,120.5,148551,0.0,13548306432,,103.0,,125.0,,120.0,,149.0,,314.0,106.0,,1.7,,,142.0,,,134.0,303.0,,73.0,,,196.0,1768.0,0.0205,0.00122,0.012,0.00154,0.000377,0.000107,0.00647,0.000219,0.00541,0.00087,0.000131,0.00101,0.00266,0.00665,0.00637,0.000263,0.0032,0.000376,0.000158,0.00125,0.00355,0.00112,0.00121,0.00038,0.000233,0.00644,0.0,0.00635,0.00626,0.00657,0.00644,0.0062,7.0,8.0,5.0,3.0,3.0,13535490048.0,13529481216.0,13528641536.0,13523927040.0,13521399808.0,5.8,0.006411999999999999,13533169254.4,0.0199,0.00013380000000000003,0.0002242,0.056670000000000005,121741148160,7.478169694159785,23.329527389966195,0.006419351802183405
40,13,270.9230769230769,151583,0.0,13555712000,,103.0,,125.0,,116.0,,148.0,,314.0,104.0,,1.81,,,140.0,,,134.0,318.0,,73.0,,,194.0,1769.0,0.0208,0.00121,0.0121,0.00152,0.000382,0.000105,0.00656,0.000225,0.00549,0.00086,0.00013,0.00102,0.00264,0.00665,0.00669,0.00026,0.00325,0.000382,0.000156,0.00124,0.00361,0.0011,0.00122,0.000386,0.00023,0.00652,0.0,0.00644,0.00635,0.00626,0.00657,0.00644,6.0,7.0,8.0,5.0,3.0,13548306432.0,13535490048.0,13529481216.0,13528641536.0,13523927040.0,7.8,0.0064280000000000006,13539526246.4,0.020200000000000003,0.00013240000000000002,0.00022339999999999998,0.06319000000000001,135296860160,7.478734825567875,23.330073845334226,0.006498836739829576
