Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
14,0,0.0,85.5,0.0,11597189120,109,136,132,156,317,156,3574.0,156,153,150,326,68.9,213,5646,0.00184,0.00181,0.000284,0.000542,0.00171,0.000313,0.00134,0.00586,0.000435,0.000304,0.00181,0.00225,0.000431,0.00158,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.00158,11597189120,8.638879709672837,23.17402858854001,0.0015787531132146302
16,1,34.0,84.9,0.0,11600678912,106,140,136,158,305,156,3547.0,170,153,150,311,70.1,212,5614,0.00178,0.00181,0.000284,0.00056,0.00171,0.000313,0.00133,0.00642,0.000435,0.000307,0.00181,0.00225,0.000432,0.00162,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158,,,,,0.0,,,,,11597189120.0,,,,,,,,,,,0.0031999999999999997,23197868032,8.633196867172543,23.174329460328853,0.0016186892154563595
18,1,68.0,85.7,0.0,11604279296,117,140,136,158,316,151,3521.0,184,153,189,322,70.1,212,5668,0.00237,0.00181,0.000284,0.00056,0.00171,0.000313,0.00133,0.00698,0.000435,0.000307,0.00181,0.00216,0.000432,0.00171,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00162,0.00158,,,,1.0,0.0,,,,11600678912.0,11597189120.0,,,,,,,,,,0.0049099999999999994,34802147328,8.642768014324304,23.174639771943834,0.0017085396146023298
20,2,51.0,2121.0,0.0,11605180416,117,143,136,158,316,551,3494.0,232,153,189,322,70.1,212,6092,0.00237,0.00182,0.000284,0.00056,0.00171,0.000313,0.00133,0.00755,0.00042,0.000307,0.00187,0.00217,0.000432,0.00176,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00171,0.00162,0.00158,,,1.0,1.0,0.0,,,11604279296.0,11600678912.0,11597189120.0,,,,,,,,,0.00667,46407327744,8.714895850248494,23.174717423040548,0.0017584530148632579
22,3,53.333333333333336,2441.0,0.0,11610284032,117,143,136,245,316,551,3468.0,248,153,189,322,70.1,212,6169,0.00237,0.00221,0.000284,0.00178,0.0017,0.000313,0.00136,0.00811,0.000442,0.000307,0.00187,0.00225,0.000432,0.00195,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176,0.00171,0.00162,0.00158,,2.0,1.0,1.0,0.0,,11605180416.0,11604279296.0,11600678912.0,11597189120.0,,1.4,0.0017239999999999998,11603522355.2,0.002146,0.001834,0.006984,0.00862,58017611776,8.727454116899434,23.17515709687031,0.0019481012180158782
24,5,76.0,3030.0,0.0,11613687808,117,143,136,245,307,551,3563.0,265,148,189,322,70.1,212,6266,0.00237,0.00221,0.000284,0.00178,0.0017,0.000313,0.00135,0.00867,0.000442,0.000307,0.00187,0.00225,0.000432,0.002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0.00176,0.00171,0.00162,0.00158,3.0,2.0,1.0,1.0,0.0,11610284032.0,11605180416.0,11604279296.0,11600678912.0,11597189120.0,2.4,0.001808,11606822092.8,0.002252,0.001846,0.007546,0.01062,69631299584,8.743053050224676,23.175450222959814,0.001998002662673056
26,4,190.0,5614.0,0.0,11613368320,117,143,136,245,316,551,3679.0,281,156,185,322,70.1,206,6407,0.00237,0.00221,0.000435,0.00178,0.0017,0.000313,0.00134,0.00625,0.000442,0.000307,0.00187,0.00225,0.000432,0.00181,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.00195,0.00176,0.00171,0.00162,5.0,3.0,2.0,1.0,1.0,11613687808.0,11610284032.0,11605180416.0,11604279296.0,11600678912.0,3.0,0.001846,11609359974.4,0.00237,0.0018579999999999998,0.007512,0.01243,81244667904,8.765302488748196,23.175422712973337,0.0018083639239010049
28,4,74.0,7814.0,0.0,11696697344,118,143,175,243,316,579,3651.0,298,158,192,322,70.7,221,6486,0.00237,0.00221,0.000435,0.00178,0.0017,0.00119,0.00133,0.00663,0.000442,0.000307,0.00188,0.00225,0.000482,0.00192,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00181,0.002,0.00195,0.00176,0.00171,4.0,5.0,3.0,2.0,1.0,11613368320.0,11613687808.0,11610284032.0,11605180416.0,11604279296.0,3.6,0.0018880000000000001,11627843584.0,0.00237,0.001872,0.007442,0.01435,92941365248,8.777555453213056,23.182572360697,0.001918159155903824
30,5,30.0,8290.0,0.0,11724894208,118,143,175,244,316,579,3622.0,314,158,192,322,70.7,223,6477,0.00237,0.00221,0.000442,0.00178,0.0017,0.00125,0.00132,0.00701,0.000442,0.000307,0.00188,0.00225,0.000474,0.00195,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192,0.00181,0.002,0.00195,0.00176,4.0,4.0,5.0,3.0,2.0,11696697344.0,11613368320.0,11613687808.0,11610284032.0,11605180416.0,4.2,0.001926,11651786342.4,0.00237,0.001874,0.007334,0.0163,104666259456,8.776167099731275,23.184980128551484,0.0019481012180158782
32,7,55.142857142857146,8648.0,0.0,11728142336,118,232,174,252,316,2692,3593.0,475,158,192,322,68.5,223,8816,0.00268,0.00221,0.000442,0.00186,0.00176,0.00125,0.00131,0.00739,0.000442,0.000296,0.00188,0.00225,0.000491,0.00202,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00195,0.00192,0.00181,0.002,0.00195,5.0,4.0,4.0,5.0,3.0,11724894208.0,11696697344.0,11613368320.0,11613687808.0,11610284032.0,5.0,0.00194,11675358003.2,0.002432,0.0018759999999999998,0.00719,0.01832,116394401792,9.084436955087027,23.185257118527975,0.0020179625433136327
