Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
2,0,0.0,3013.0,316.0,11247333376.0,1337.0,3238.0,2223.0,4259.0,509.0,111780.0,85.1,11273.0,347.0,18158.0,2732.0,1044.0,894.0,157879.0,0.00439,0.0162,0.00352,0.0252,0.00292,0.0246,0.00539,0.0252,0.00536,0.00905,0.00826,0.00282,0.00207,0.0113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0113,11247333376.0,11.969590529776783,23.143396904344485,0.011236631925987681
4,0,0.0,3013.0,311.0,11248824320.0,1337.0,3238.0,2147.0,4259.0,509.0,72259.0,93.0,11190.0,347.0,18158.0,2732.0,566.0,864.0,117700.0,0.00439,0.0162,0.00352,0.0248,0.00252,0.0185,0.00593,0.025,0.00536,0.00905,0.00823,0.00282,0.00207,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0113,,,,,0.0,,,,,11247333376.0,,,,,,,,,,,0.022,22496157696.0,11.675902789388996,23.143529455335834,0.010643160098479827
6,0,0.0,3022.0,311.0,11248771072.0,864.0,3238.0,2147.0,4096.0,416.0,72259.0,101.0,11108.0,290.0,18158.0,1882.0,549.0,850.0,115958.0,0.00369,0.0117,0.00352,0.0248,0.00252,0.0185,0.00646,0.0249,0.00536,0.00669,0.00823,0.00282,0.00207,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107,0.0113,,,,0.0,0.0,,,,11248824320.0,11247333376.0,,,,,,,,,,0.0321,33744928768.0,11.660991959335076,23.143524721674385,0.01004933585300144
8,0,0.0,3014.0,319.0,11256643584.0,864.0,2023.0,2147.0,4096.0,424.0,72259.0,109.0,11026.0,290.0,18158.0,1820.0,566.0,850.0,114632.0,0.00369,0.0117,0.00352,0.017,0.00247,0.0185,0.007,0.0247,0.00536,0.00669,0.00823,0.00282,0.00207,0.00947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101,0.0107,0.0113,,,0.0,0.0,0.0,,,11248771072.0,11248824320.0,11247333376.0,,,,,,,,,0.041569999999999996,45001572352.0,11.649490999925979,23.144224332185075,0.00942544064715527
10,0,0.0,3014.0,319.0,11259490304.0,864.0,2023.0,2147.0,1999.0,424.0,70341.0,117.0,8078.0,290.0,18158.0,1807.0,566.0,850.0,107664.0,0.00369,0.0117,0.00352,0.017,0.00247,0.0185,0.00753,0.0245,0.00333,0.00652,0.00823,0.00282,0.00207,0.00932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00947,0.0101,0.0107,0.0113,,0.0,0.0,0.0,0.0,,11256643584.0,11248771072.0,11248824320.0,11247333376.0,,0.0,0.010178,11252212531.2,0.00397,0.008235999999999999,0.02486,0.05089,56261062656.0,11.586779833540708,23.144477192647628,0.00927683678020919
12,0,0.0,2947.0,319.0,11261349888.0,864.0,2023.0,2147.0,2066.0,424.0,70341.0,274.0,8078.0,290.0,8107.0,1807.0,566.0,850.0,97836.0,0.00369,0.0117,0.00343,0.017,0.00247,0.0185,0.00806,0.0144,0.00329,0.00652,0.00823,0.00282,0.00207,0.00851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00932,0.00947,0.0101,0.0107,0.0113,0.0,0.0,0.0,0.0,0.0,11259490304.0,11256643584.0,11248771072.0,11248824320.0,11247333376.0,0.0,0.00962,11255015833.6,0.00383,0.00823,0.0227,0.059399999999999994,67522412544.0,11.49105810758515,23.144642336042654,0.008473994079379531
14,0,0.0,3026.0,320.0,11258294272.0,864.0,2023.0,2147.0,2066.0,424.0,70341.0,291.0,8304.0,290.0,8105.0,1807.0,566.0,624.0,97851.0,0.00369,0.0117,0.00198,0.017,0.00247,0.00812,0.0086,0.0142,0.00329,0.00652,0.00823,0.00254,0.00122,0.00746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00851,0.00932,0.00947,0.0101,0.0107,0.0,0.0,0.0,0.0,0.0,11261349888.0,11259490304.0,11256643584.0,11248771072.0,11248824320.0,0.0,0.008971999999999999,11256909824.0,0.00369,0.00823,0.020539999999999996,0.06685999999999999,78780706816.0,11.491211412063475,23.144370962658886,0.00743231181729585
16,1,81.0,3026.0,319.0,11255279616.0,832.0,2023.0,923.0,2066.0,424.0,70341.0,308.0,8240.0,290.0,8212.0,1807.0,566.0,624.0,96657.0,0.00236,0.00486,0.00198,0.017,0.00207,0.00812,0.00523,0.0141,0.00329,0.00366,0.00823,0.00252,0.00121,0.00622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00746,0.00851,0.00932,0.00947,0.0101,0.0,0.0,0.0,0.0,0.0,11258294272.0,11261349888.0,11259490304.0,11256643584.0,11248771072.0,0.2,0.008196,11258211532.8,0.003424,0.00823,0.01838,0.07307999999999999,90035986432.0,11.478934254102867,23.144103154799257,0.006200735641603669
18,2,126.0,3005.0,307.0,11254026240.0,844.0,2023.0,923.0,2066.0,424.0,31327.0,326.0,8177.0,175.0,8212.0,1807.0,566.0,624.0,57494.0,0.00243,0.00504,0.00198,0.017,0.00207,0.00885,0.00553,0.014,0.00329,0.00366,0.00823,0.00263,0.00121,0.00633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00622,0.00746,0.00851,0.00932,0.00947,1.0,0.0,0.0,0.0,0.0,11255279616.0,11258294272.0,11261349888.0,11259490304.0,11256643584.0,0.6,0.007568,11257688064.0,0.0031720000000000003,0.00823,0.016239999999999997,0.07941,101290012672.0,10.959453266482765,23.14399178965906,0.006310049696021733
20,3,91.0,3092.0,307.0,11332743168.0,361.0,2016.0,923.0,2066.0,424.0,31327.0,343.0,8114.0,182.0,8212.0,1172.0,561.0,624.0,56324.0,0.00243,0.00539,0.00198,0.0053,0.00207,0.00885,0.00584,0.0139,0.00329,0.00366,0.00258,0.00263,0.00121,0.00493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00633,0.00622,0.00746,0.00851,0.00932,2.0,1.0,0.0,0.0,0.0,11254026240.0,11255279616.0,11258294272.0,11261349888.0,11259490304.0,1.2,0.00669,11272338636.8,0.00292,0.0070999999999999995,0.014119999999999999,0.08434,112622755840.0,10.938893765300445,23.15096199821507,0.0049178873439503674
