Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
36,19,394.0,0,0,13055610880,122,142,180,202,321,2072,10638,242,145,188,329,68.6,229,14879,0.00184,0.00228,0.000317,0.0014,0.00173,0.000634,0.00458,0.00663,0.000335,0.000365,0.00208,0.00216,0.000479,0.00207,0,0,0,0,0,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.00207,13055610880,9.607773308387083,23.292483830879043,0.002067860501998496
38,54,623.8148148148148,0,0,13056331776,148,143,180,308,321,2010,10556,254,145,188,329,78.9,229,14890,0.00184,0.00228,0.000317,0.0014,0.00173,0.000634,0.00455,0.00565,0.000331,0.000365,0.0021,0.00216,0.000479,0.00199,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00207,,,,,19.0,,,,,13055610880.0,,,,,,,,,,,0.004059999999999999,26111942656,9.608512282590205,23.292539046686585,0.0019880225729519666
40,27,1301.037037037037,0,0,13068783616,152,143,310,306,330,5286,10473,267,145,188,329,78.9,229,18236,0.00184,0.00292,0.000317,0.00317,0.00173,0.000654,0.00451,0.00593,0.000331,0.000365,0.0021,0.00209,0.000479,0.0022,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00199,0.00207,,,,54.0,19.0,,,,13056331776.0,13055610880.0,,,,,,,,,,0.00626,39180726272,9.811207776416833,23.293492293457373,0.0021975835434872217
42,110,1461.7272727272727,0,1221,13084983296,152,143,310,308,327,5286,10423,279,145,188,329,80.0,229,18198,0.00184,0.00292,0.000317,0.00317,0.00181,0.000654,0.00447,0.00621,0.000331,0.00101,0.0021,0.00217,0.000479,0.00229,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0022,0.00199,0.00207,,,27.0,54.0,19.0,,,13068783616.0,13056331776.0,13055610880.0,,,,,,,,,0.00855,52265709568,9.809121926500406,23.294731096427896,0.0022873819461337584
44,110,1367.5454545454545,0,1221,12719353856,152,507,310,317,327,5286,10340,229,145,182,329,80.0,229,18434,0.00209,0.00294,0.000317,0.00317,0.00181,0.000654,0.00444,0.00649,0.000319,0.00101,0.00388,0.00217,0.000479,0.00248,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00229,0.0022,0.00199,0.00207,,110.0,27.0,54.0,19.0,,13084983296.0,13068783616.0,13056331776.0,13055610880.0,,64.0,0.002206,12997012684.8,0.00189,0.002452,0.006182,0.01103,64985063424,9.822006310668245,23.266390596162495,0.0024769298748925353
46,84,1143.6666666666667,0,1221,12650106880,152,507,310,317,327,5286,10257,1482,170,189,318,80.0,371,19767,0.00204,0.00294,0.000317,0.00333,0.00181,0.000654,0.0044,0.00677,0.00122,0.00101,0.00388,0.00217,0.000479,0.00259,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00248,0.00229,0.0022,0.00199,0.00207,110.0,110.0,27.0,54.0,19.0,12719353856.0,13084983296.0,13068783616.0,13056331776.0,13055610880.0,77.0,0.00231,12915911884.8,0.00193,0.002812,0.00621,0.01362,77635170304,9.891819747668446,23.260931501175158,0.0025866517300999407
48,99,1918.4747474747476,0,1221,12529713152,331,507,310,317,327,5286,10175,1543,171,182,327,80.0,371,19929,0.00211,0.00294,0.000319,0.00333,0.00181,0.000654,0.00437,0.00705,0.00122,0.00104,0.00388,0.00217,0.000479,0.00261,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00259,0.00248,0.00229,0.0022,0.00199,84.0,110.0,110.0,27.0,54.0,12650106880.0,12719353856.0,13084983296.0,13068783616.0,13056331776.0,86.0,0.002434,12810588160.0,0.001984,0.003168,0.00649,0.01623,90164883456,9.89998141320684,23.251368712775104,0.002606599864949994
50,113,2521.9380530973453,0,1221,12642680832,331,507,310,317,376,5286,10092,1604,177,5931,327,293.0,367,25918,0.00211,0.00294,0.000319,0.00333,0.00181,0.00761,0.00434,0.00733,0.00122,0.00104,0.00388,0.0021,0.000466,0.00321,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00261,0.00259,0.00248,0.00229,0.0022,99.0,84.0,110.0,110.0,27.0,12529713152.0,12650106880.0,12719353856.0,13084983296.0,13068783616.0,103.2,0.0026360000000000003,12725367603.2,0.0020380000000000003,0.0035240000000000002,0.00677,0.019440000000000002,102807564288,10.16273156947506,23.260344294395313,0.003204858948911363
52,122,2493.622950819672,0,2361,12685312000,331,527,310,1362,376,5477,10009,1665,177,5931,317,293.0,379,27153,0.00211,0.00294,0.00142,0.0122,0.00181,0.00761,0.00431,0.00762,0.00122,0.00104,0.00388,0.00243,0.000482,0.00409,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00321,0.00261,0.00259,0.00248,0.00229,113.0,99.0,84.0,110.0,110.0,12642680832.0,12529713152.0,12650106880.0,12719353856.0,13084983296.0,105.6,0.002996,12645433344.0,0.0020919999999999997,0.00388,0.007052,0.023530000000000002,115492876288,10.209279644160226,23.263710625753514,0.0040816586862471235
54,137,3122.4963503649633,0,2361,12852932608,331,527,315,1362,382,5477,9879,1726,177,5931,1298,293.0,379,28076,0.00211,0.00291,0.00142,0.0122,0.00181,0.00789,0.00427,0.00658,0.00129,0.00104,0.00401,0.00243,0.000465,0.00404,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.00409,0.00321,0.00261,0.00259,0.00248,122.0,113.0,99.0,84.0,110.0,12685312000.0,12642680832.0,12529713152.0,12650106880.0,12719353856.0,111.0,0.0033079999999999997,12672149094.4,0.0020959999999999998,0.0039059999999999997,0.00707,0.027570000000000004,128345808896,10.242706014825366,23.27683784084896,0.004031861113370535
