Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_pod-pod-25,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_pod-pod-25,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,pod-restart-count-pod-14,pod-restart-count-pod-15,pod-restart-count-pod-16,pod-restart-count-pod-17,pod-restart-count-pod-18,pod-restart-count-pod-19,pod-restart-count-pod-20,pod-restart-count-pod-21,pod-restart-count-pod-22,pod-restart-count-pod-23,pod-restart-count-pod-24,pod-restart-count-pod-25,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
24,5,51.8,7545,0,13071523840,111,41.7,113,38.8,20.7,121,38.7,122,244,88.0,29.0,233,489.0,4.38,9.16,36.0,117,113,23.1,242,89.0,17.1,72.3,45.5,150,2608,0.0205,0.00131,0.0115,0.00214,4.22e-05,0.000352,0.000199,0.00452,0.00397,0.000363,5.85e-05,0.0005,0.00581,0.00649,0.000495,0.000166,0.00277,0.000316,4.65e-05,0.0039,0.000398,0.000419,0.00202,7.86e-05,0.000387,0.00572,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,0.00572,13071523840,7.866722285136729,23.293701948528525,0.005703702916678078
26,3,119.0,7569,0,13068718080,112,40.9,114,37.7,19.9,122,42.4,123,246,85.8,28.3,457,489.0,4.38,9.16,35.0,118,114,22.4,244,86.6,16.6,72.9,44.2,159,2844,0.0206,0.00129,0.0115,0.00153,4.08e-05,0.000343,0.000195,0.00456,0.00401,0.000352,5.7e-05,0.000504,0.00581,0.00704,0.000486,0.000162,0.00279,0.000318,4.51e-05,0.00393,0.000318,0.00041,0.00204,7.61e-05,0.000391,0.00574,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00572,,,,,5.0,,,,,13071523840.0,,,,,,,,,,,0.011460000000000001,26140241920,7.953318346560431,23.293487278747033,0.00572358896959552
28,9,70.66666666666667,7594,0,13070958592,113,39.0,115,36.7,19.2,123,41.3,124,249,83.7,27.5,461,489.0,176.0,9.16,34.0,119,115,21.7,246,84.5,16.1,73.5,42.9,160,3018,0.0208,0.00126,0.0116,0.00175,3.95e-05,0.000347,0.000191,0.0046,0.00384,0.000341,4.47e-05,0.000508,0.00581,0.0076,0.00025,0.000158,0.00281,0.000321,4.72e-05,0.00396,0.000318,0.000395,0.00206,7.36e-05,0.000394,0.0058,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00574,0.00572,,,,3.0,5.0,,,,13068718080.0,13071523840.0,,,,,,,,,,0.01726,39211200512,8.012680929706839,23.29365870489231,0.005783244755727333
30,2,64.5,7618,0,13072769024,124,42.2,146,35.7,18.4,121,40.2,125,251,81.5,27.3,465,489.0,187.0,9.79,34.5,120,116,20.9,248,82.4,15.6,74.1,41.6,161,3077,0.021,0.00124,0.0117,0.0017,3.81e-05,0.000349,0.000187,0.00464,0.00387,0.000265,5.06e-05,0.000512,0.00581,0.00815,0.000245,0.000153,0.00283,0.000324,4.56e-05,0.004,0.000363,0.000379,0.00208,7.11e-05,0.000397,0.00587,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0058,0.00574,0.00572,,,9.0,3.0,5.0,,,13070958592.0,13068718080.0,13071523840.0,,,,,,,,,0.02313,52283969536,8.032035314398824,23.293797203275506,0.005852838675235257
32,6,345.6666666666667,7626,0,13083889664,125,41.3,147,34.6,17.7,122,39.2,188,253,79.3,26.6,468,489.0,199.0,9.61,33.5,121,117,20.2,250,80.4,15.1,74.7,44.9,163,3159,0.0208,0.00121,0.0118,0.00165,3.67e-05,0.000352,0.000185,0.00577,0.0039,0.0003,4.92e-05,0.00124,0.00581,0.00527,0.00024,0.000149,0.00286,0.000596,4.41e-05,0.00386,0.000351,0.000364,0.00201,6.24e-05,0.0004,0.00578,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00587,0.0058,0.00574,0.00572,,2.0,9.0,3.0,5.0,,13072769024.0,13070958592.0,13068718080.0,13071523840.0,,5.0,0.005782000000000001,13073571840.0,0.02074,5.2000000000000004e-05,0.004818,0.02891,65367859200,8.058327306580958,23.294647513768282,0.005763359889104421
34,14,235.42857142857144,7651,0,13091373056,126,40.4,149,33.6,16.9,123,38.1,190,245,77.1,25.8,472,489.0,211.0,9.43,32.5,121,118,20.2,252,78.3,14.6,75.3,43.5,164,3165,0.0209,0.00119,0.0119,0.0016,3.6e-05,0.000355,0.00018,0.00582,0.00394,0.00029,4.78e-05,0.00125,0.00581,0.0056,0.000235,0.000144,0.00288,0.000601,4.26e-05,0.00386,0.000339,0.000349,0.00212,7.36e-05,0.000403,0.00583,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00578,0.00587,0.0058,0.00574,0.00572,6.0,2.0,9.0,3.0,5.0,13083889664.0,13072769024.0,13070958592.0,13068718080.0,13071523840.0,6.8,0.005804,13077541683.2,0.020819999999999998,4.986e-05,0.005078,0.03474,78459232256,8.060224240440958,23.29521930495016,0.005813071314291507
36,8,107.625,7675,0,13091799040,127,39.5,150,36.4,16.1,124,37.0,191,245,75.0,25.1,476,489.0,222.0,9.25,31.5,124,119,19.4,329,76.2,14.2,89.3,42.0,165,3272,0.0211,0.00116,0.0145,0.00155,3.46e-05,0.000358,0.000176,0.00587,0.00397,0.00028,4.65e-05,0.00126,0.00581,0.00593,0.00023,0.000145,0.00276,0.000605,4.11e-05,0.00416,0.000327,0.000334,0.00214,7.07e-05,0.000407,0.0061,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00583,0.00578,0.00587,0.0058,0.00574,14.0,6.0,2.0,9.0,3.0,13091373056.0,13083889664.0,13072769024.0,13070958592.0,13068718080.0,7.8,0.005876,13082157875.2,0.02092,4.7760000000000004e-05,0.00534,0.04084,91551031296,8.09346227450118,23.29525184371196,0.00608147031586796
38,19,144.94736842105263,7540,0,13089673216,128,38.6,151,35.3,15.4,124,36.0,193,255,72.8,24.3,480,489.0,234.0,9.08,30.4,125,115,18.7,331,74.1,13.7,90.1,40.6,166,3291,0.0212,0.00114,0.0146,0.0015,3.32e-05,0.000361,0.000172,0.00592,0.00388,0.00027,4.51e-05,0.00127,0.00581,0.00627,0.000225,0.000141,0.00278,0.00061,3.96e-05,0.00419,0.000315,0.000319,0.00216,6.79e-05,0.000457,0.00615,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0061,0.00583,0.00578,0.00587,0.0058,8.0,14.0,6.0,2.0,9.0,13091799040.0,13091373056.0,13083889664.0,13072769024.0,13070958592.0,9.8,0.005946,13085900800.0,0.021,4.784e-05,0.0056040000000000005,0.046990000000000004,104640704512,8.09925056179696,23.295089452232695,0.006131165930240219
40,14,93.0,7563,0,13092663296,129,37.7,152,34.1,10.0,125,34.9,194,257,67.7,23.5,483,489.0,246.0,8.9,29.4,126,846,17.9,334,72.1,14.0,90.8,39.1,168,4030,0.0214,0.00111,0.0147,0.00144,3.18e-05,0.000363,0.000168,0.00597,0.00391,0.00026,4.37e-05,0.00128,0.00581,0.0066,0.000221,0.000136,0.0028,0.000615,2.88e-05,0.00423,0.000304,0.000304,0.00217,6.51e-05,0.00046,0.0062,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.00615,0.0061,0.00583,0.00578,0.00587,19.0,8.0,14.0,6.0,2.0,13089673216.0,13091799040.0,13091373056.0,13083889664.0,13072769024.0,12.2,0.006012,13089879654.4,0.021079999999999998,4.646e-05,0.00587,0.05319,117733367808,8.301769763117166,23.29531785660076,0.006180859075081115
42,14,94.0,9505,0,13085618176,152,36.8,153,33.0,9.51,126,37.3,196,259,65.6,25.3,3991,489.0,257.0,8.72,24.7,127,853,17.2,337,73.2,13.5,91.5,37.7,198,7612,0.0216,0.00109,0.0148,0.00139,3.04e-05,0.000403,0.000163,0.00601,0.00395,0.000249,4.24e-05,0.00129,0.00581,0.00693,0.000191,0.000132,0.00282,0.0012,2.77e-05,0.00426,0.000292,0.000289,0.00219,6.23e-05,0.000464,0.00631,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0062,0.00615,0.0061,0.00583,0.00578,14.0,19.0,8.0,14.0,6.0,13092663296.0,13089673216.0,13091799040.0,13091373056.0,13083889664.0,13.8,0.006118,13090225356.8,0.021240000000000002,4.51e-05,0.005918,0.0595,130818985984,8.937612591306213,23.29477961499181,0.006290175302190091
