Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_pod-pod-14,network_outgoing_pod-pod-15,network_outgoing_pod-pod-16,network_outgoing_pod-pod-17,network_outgoing_pod-pod-18,network_outgoing_pod-pod-19,network_outgoing_pod-pod-20,network_outgoing_pod-pod-21,network_outgoing_pod-pod-22,network_outgoing_pod-pod-23,network_outgoing_pod-pod-24,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_pod-pod-14,cpu_pod-pod-15,cpu_pod-pod-16,cpu_pod-pod-17,cpu_pod-pod-18,cpu_pod-pod-19,cpu_pod-pod-20,cpu_pod-pod-21,cpu_pod-pod-22,cpu_pod-pod-23,cpu_pod-pod-24,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,pod-restart-count-pod-14,pod-restart-count-pod-15,pod-restart-count-pod-16,pod-restart-count-pod-17,pod-restart-count-pod-18,pod-restart-count-pod-19,pod-restart-count-pod-20,pod-restart-count-pod-21,pod-restart-count-pod-22,pod-restart-count-pod-23,pod-restart-count-pod-24,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
30,3,109.0,212710,0.0,13620383744,52.6,104.0,110.0,42.8,104.0,55.5,105.0,49.4,252.0,73.7,113,747.0,4666.0,176,35.1,120.0,103.0,44.5,86.4,225.0,47.8,39.7,53.6,157.0,7563,0.0214,0.00203,0.00165,0.00765,0.000169,0.000201,0.000409,0.00424,0.00112,0.00343,0.000377,0.000189,0.00375,0.00564,0.00268,0.000447,0.000167,0.000194,0.00327,0.00145,0.00178,0.000734,0.000204,0.000279,0.00529,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,,,,,,,,,,,,,,,,,,,,,,0.00529,13620383744,8.931155429778348,23.334833312380997,0.005276057100343765
32,2,29.0,194530,0.0,13622751232,53.9,103.0,109.0,42.8,103.0,56.9,104.0,50.5,250.0,75.5,116,740.0,4821.0,186,36.0,119.0,102.0,74.5,88.5,234.0,47.4,40.6,54.9,155.0,7763,0.0197,0.00202,0.00163,0.00783,0.000167,0.000205,0.000405,0.00434,0.00111,0.00352,0.00043,0.000187,0.00372,0.006,0.00275,0.000444,0.000166,0.000199,0.00335,0.00145,0.00176,0.000751,0.000209,0.000276,0.00522,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00529,,,,,3.0,,,,,13620383744.0,,,,,,,,,,,0.01051,27243134976,8.957252944288902,23.335007116754678,0.005206423027368961
34,2,38.5,200140,0.0,13628026880,55.1,102.0,108.0,42.8,102.0,58.2,104.0,51.7,248.0,77.2,119,733.0,4785.0,196,36.8,118.0,101.0,76.3,90.6,231.0,46.9,39.7,56.3,154.0,7732,0.0182,0.002,0.00162,0.00801,0.000166,0.000209,0.000401,0.00444,0.0011,0.0029,0.000439,0.000193,0.0037,0.00636,0.00282,0.00044,0.000164,0.000203,0.00343,0.00144,0.00175,0.000768,0.000214,0.000274,0.00511,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00522,0.00529,,,,2.0,3.0,,,,13622751232.0,13620383744.0,,,,,,,,,,0.01562,40871161856,8.953252164609035,23.33539430922631,0.0050969882578437795
36,3,36.0,201188,0.0,13625077760,56.3,101.0,107.0,68.2,101.0,59.5,103.0,52.9,246.0,79.0,121,727.0,4748.0,259,37.6,117.0,99.8,78.0,112.0,229.0,46.5,40.6,57.6,153.0,7800,0.0187,0.00198,0.0016,0.0082,0.000155,0.000214,0.00039,0.00447,0.00109,0.00298,0.000449,0.000191,0.00367,0.00672,0.00289,0.000436,0.000166,0.000207,0.00351,0.00143,0.00166,0.000776,0.000218,0.000271,0.00519,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00511,0.00522,0.00529,,,2.0,2.0,3.0,,,13628026880.0,13622751232.0,13620383744.0,,,,,,,,,0.020810000000000002,54496239616,8.962007209588313,23.33517788470879,0.005176578368814511
38,6,51.666666666666664,206025,0.0,13625892864,51.7,100.0,105.0,69.7,100.0,60.8,102.0,54.1,241.0,80.7,124,720.0,4712.0,271,46.5,116.0,98.9,79.8,115.0,227.0,46.0,41.5,73.6,152.0,7788,0.0191,0.00197,0.00159,0.00838,0.000155,0.000218,0.000386,0.00457,0.00108,0.00305,0.000458,0.000189,0.00364,0.00708,0.00296,0.000432,0.000164,0.000212,0.00359,0.00141,0.00172,0.000793,0.000223,0.000269,0.0053,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00519,0.00511,0.00522,0.00529,,3.0,2.0,2.0,3.0,,13625077760.0,13628026880.0,13622751232.0,13620383744.0,,3.2,0.005222,13624426496.0,0.01942,0.0004306,0.004412,0.02611,68122132480,8.960467760919949,23.33523770672478,0.005286004429237355
40,3,36.0,215638,0.0,13625839616,53.4,99.6,104.0,71.2,100.0,62.1,101.0,55.2,238.0,97.2,127,714.0,4675.0,284,47.5,115.0,98.0,81.6,117.0,225.0,43.3,42.5,75.3,150.0,7778,0.0195,0.00195,0.00158,0.00856,0.000161,0.000222,0.000383,0.00467,0.00107,0.00312,0.000467,0.000188,0.00361,0.00744,0.00317,0.000416,0.000162,0.000434,0.00367,0.0014,0.0017,0.000809,0.000227,0.000266,0.00543,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.0053,0.00519,0.00511,0.00522,0.00529,6.0,3.0,2.0,2.0,3.0,13625892864.0,13625077760.0,13628026880.0,13622751232.0,13620383744.0,3.2,0.00525,13625517670.4,0.019039999999999998,0.00044860000000000006,0.004498,0.03154,81747972096,8.959183074206774,23.33523379886314,0.00541531070126904
42,3,59.333333333333336,224086,0.0,13627781120,54.5,98.8,103.0,72.7,99.4,63.4,99.8,56.4,236.0,99.3,130,707.0,4639.0,296,48.6,114.0,92.0,83.3,120.0,223.0,45.1,43.4,76.9,149.0,7750,0.0199,0.00184,0.00156,0.00874,0.000159,0.000489,0.000379,0.00476,0.00101,0.00319,0.000477,0.000186,0.00359,0.00607,0.00325,0.000412,0.000161,0.000443,0.00354,0.00139,0.00169,0.000826,0.000207,0.000257,0.00538,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00543,0.0053,0.00519,0.00511,0.00522,3.0,6.0,3.0,2.0,2.0,13625839616.0,13625892864.0,13625077760.0,13628026880.0,13622751232.0,3.4,0.005282,13626523648.0,0.01908,0.00045799999999999997,0.004582,0.03692,95375753216,8.955577146281511,23.335376275638755,0.005365579498410187
44,6,85.66666666666667,206647,0.0,13634994176,55.6,102.0,102.0,74.2,98.4,64.7,98.8,107.0,234.0,101.0,859,701.0,4602.0,309,49.6,113.0,96.1,85.1,122.0,220.0,44.6,44.3,78.5,147.0,8510,0.0203,0.00183,0.00155,0.0114,0.000157,0.000498,0.000376,0.00486,0.00101,0.00327,0.000486,0.000185,0.00356,0.00558,0.00332,0.000409,0.000159,0.000452,0.00361,0.00138,0.00167,0.000842,0.000349,0.000257,0.00562,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00538,0.00543,0.0053,0.00519,0.00511,3.0,3.0,6.0,3.0,2.0,13627781120.0,13625839616.0,13625892864.0,13625077760.0,13628026880.0,4.2,0.005384,13627917107.2,0.019499999999999997,0.00046740000000000003,0.004666,0.04254,109010747392,9.049114723476961,23.335905426181167,0.0056042667198318
46,6,48.666666666666664,214809,0.0,13640421376,56.7,101.0,101.0,75.7,97.4,58.8,97.9,109.0,232.0,103.0,876,694.0,4566.0,321,50.6,112.0,95.1,86.9,125.0,218.0,44.2,45.2,80.2,146.0,8494,0.0186,0.00182,0.00153,0.0116,0.000156,0.000508,0.000372,0.00496,0.00104,0.00334,0.000907,0.000183,0.00353,0.00583,0.0034,0.000405,0.000158,0.000461,0.00368,0.00137,0.00165,0.000859,0.000355,0.000266,0.00558,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00562,0.00538,0.00543,0.0053,0.00519,6.0,3.0,3.0,6.0,3.0,13634994176.0,13627781120.0,13625839616.0,13625892864.0,13625077760.0,4.8,0.005462,13630985830.4,0.01948,0.0005589999999999999,0.004764,0.04812,122651168768,9.047233034106032,23.336303381626493,0.005564489472412076
48,6,51.333333333333336,219390,0.0,13643915264,57.8,101.0,100.0,146.0,96.5,324.0,97.0,111.0,230.0,106.0,894,687.0,4529.0,333,51.6,111.0,94.2,426.0,127.0,215.0,43.8,55.6,81.8,145.0,9164,0.019,0.0018,0.00156,0.0118,0.000154,0.000517,0.000369,0.00506,0.00103,0.00341,0.000924,0.000181,0.00353,0.00607,0.00347,0.000401,0.000161,0.00047,0.00376,0.00135,0.00164,0.000875,0.000362,0.000264,0.00568,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0.00558,0.00562,0.00538,0.00543,0.0053,6.0,6.0,3.0,3.0,6.0,13640421376.0,13634994176.0,13627781120.0,13625839616.0,13625892864.0,4.8,0.0055379999999999995,13634590310.4,0.019459999999999998,0.0006522,0.004862,0.0538,136295084032,9.123147160273806,23.33655949106136,0.00566392962443857
