Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
2,0,0.0,0.0,12008.0,11683663872.0,5354.0,12489.0,11256.0,20686.0,969.0,373560.0,670.0,21143.0,987.0,82516.0,9333.0,3257.0,3572.0,545793.0,0.0158,0.0641,0.0183,0.169,0.0067,0.14,0.00679,0.0969,0.0286,0.0564,0.0437,0.00623,0.0103,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0552,11683663872.0,13.209996894158209,23.181457452913623,0.05373032242096779
4,0,0.0,0.0,11826.0,11751768064.0,5186.0,12489.0,11129.0,20686.0,969.0,373560.0,698.0,20944.0,957.0,82516.0,8921.0,3373.0,3572.0,545002.0,0.0158,0.0641,0.0183,0.175,0.00637,0.14,0.00708,0.0959,0.0286,0.0564,0.0437,0.00625,0.0103,0.0557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0552,,,,,0.0,,,,,11683663872.0,,,,,,,,,,,0.1109,23435431936.0,13.208546578217387,23.187269539833583,0.05420405401351211
6,0,0.0,0.0,12106.0,11760447488.0,5091.0,12489.0,10592.0,20686.0,969.0,359966.0,726.0,20774.0,949.0,82516.0,8921.0,3373.0,3572.0,530624.0,0.0151,0.0588,0.0181,0.175,0.00641,0.14,0.00737,0.0952,0.0275,0.0564,0.0432,0.00625,0.00996,0.0549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557,0.0552,,,,0.0,0.0,,,,11751768064.0,11683663872.0,,,,,,,,,,0.1658,35195879424.0,13.181810836047749,23.188007830478657,0.05344597570562602
8,0,0.0,0.0,11921.0,12073209856.0,5091.0,12489.0,10592.0,20686.0,969.0,356787.0,755.0,20604.0,949.0,82516.0,8921.0,3373.0,3572.0,527303.0,0.0156,0.0591,0.0174,0.172,0.00662,0.14,0.00766,0.0944,0.0275,0.0564,0.0432,0.00625,0.00989,0.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549,0.0557,0.0552,,,0.0,0.0,0.0,,,11760447488.0,11751768064.0,11683663872.0,,,,,,,,,0.2205,47269089280.0,13.175532511304317,23.21425477348635,0.05325636630043149
10,0,0.0,0.0,11880.0,12196200448.0,5091.0,12489.0,10592.0,20686.0,969.0,356787.0,1045.0,20433.0,908.0,79390.0,8921.0,3373.0,3529.0,524214.0,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00795,0.0936,0.027,0.0564,0.0432,0.00625,0.0098,0.0547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547,0.0549,0.0557,0.0552,,0.0,0.0,0.0,0.0,,12073209856.0,11760447488.0,11751768064.0,11683663872.0,,0.0,0.05504,11893057945.6,0.0155,0.04340000000000001,0.09519999999999999,0.2752,59465289728.0,13.16965718449447,23.22439030157199,0.05325636630043149
12,0,0.0,0.0,11693.0,12209606656.0,5027.0,12489.0,10592.0,20101.0,969.0,356787.0,1082.0,20263.0,940.0,79390.0,8921.0,3373.0,3529.0,523464.0,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00755,0.0929,0.027,0.0561,0.0432,0.00625,0.0098,0.0546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0547,0.0547,0.0549,0.0557,0.0552,0.0,0.0,0.0,0.0,0.0,12196200448.0,12073209856.0,11760447488.0,11751768064.0,11683663872.0,0.0,0.054920000000000004,11998246502.4,0.01538,0.0433,0.09440000000000001,0.3298,71674896384.0,13.16822544936902,23.225488909726202,0.053161548114232356
14,0,0.0,0.0,11693.0,12213125120.0,5027.0,12122.0,10592.0,20101.0,931.0,356787.0,1119.0,20093.0,940.0,79390.0,8921.0,3251.0,3529.0,522802.0,0.0152,0.0609,0.0174,0.172,0.00662,0.14,0.00781,0.0921,0.027,0.0544,0.0416,0.00625,0.0098,0.0542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546,0.0547,0.0547,0.0549,0.0557,0.0,0.0,0.0,0.0,0.0,12209606656.0,12196200448.0,12073209856.0,11760447488.0,11751768064.0,0.0,0.05462,12090517913.6,0.015260000000000001,0.04288,0.09363999999999999,0.384,83888021504.0,13.166959999047798,23.225777039985857,0.05278218543896945
16,2,45.0,0.0,11960.0,12203630592.0,5027.0,11960.0,10592.0,19118.0,931.0,356787.0,1157.0,19923.0,940.0,79390.0,8827.0,3218.0,3529.0,521400.0,0.0152,0.0609,0.0174,0.172,0.00647,0.134,0.00808,0.0914,0.027,0.0544,0.0416,0.0062,0.00925,0.0537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0542,0.0546,0.0547,0.0547,0.0549,0.0,0.0,0.0,0.0,0.0,12213125120.0,12209606656.0,12196200448.0,12073209856.0,11760447488.0,0.4,0.05438,12179154534.4,0.015279999999999998,0.04256,0.09288,0.4377,96091652096.0,13.16427469839301,23.224999334004785,0.05230777962334486
18,1,27.0,0.0,11891.0,12256227328.0,4887.0,11960.0,10592.0,19821.0,931.0,347141.0,1194.0,19752.0,940.0,78724.0,8827.0,3218.0,3529.0,511517.0,0.0152,0.0609,0.017,0.172,0.00647,0.134,0.00834,0.0905,0.027,0.0544,0.0416,0.00608,0.00931,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537,0.0542,0.0546,0.0547,0.0547,2.0,0.0,0.0,0.0,0.0,12203630592.0,12213125120.0,12209606656.0,12196200448.0,12073209856.0,0.6,0.05416,12215758028.8,0.0152,0.04224,0.09209999999999999,0.49129999999999996,108347879424.0,13.145138054370479,23.229299998157092,0.052212871446934234
20,2,51.5,0.0,11891.0,12308537344.0,4887.0,11960.0,10229.0,19821.0,931.0,343739.0,1232.0,19530.0,940.0,78724.0,8528.0,3218.0,3386.0,507125.0,0.0152,0.0609,0.017,0.172,0.00647,0.134,0.00861,0.0897,0.027,0.0544,0.0416,0.00608,0.00963,0.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0537,0.0542,0.0546,0.0547,1.0,2.0,0.0,0.0,0.0,12256227328.0,12203630592.0,12213125120.0,12209606656.0,12196200448.0,1.0,0.05394,12238225408.0,0.0152,0.04192,0.09132,0.5448999999999999,120656416768.0,13.136514772407223,23.233558951643012,0.052212871446934234
22,5,66.0,0.0,11891.0,12319506432.0,4887.0,11960.0,10084.0,19821.0,931.0,343739.0,1269.0,19360.0,912.0,78724.0,8454.0,3169.0,3386.0,506695.0,0.0149,0.0609,0.017,0.165,0.00647,0.134,0.00887,0.0889,0.0261,0.0537,0.0397,0.00608,0.00963,0.0526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0536,0.0536,0.0537,0.0542,0.0546,2.0,1.0,2.0,0.0,0.0,12308537344.0,12256227328.0,12203630592.0,12213125120.0,12209606656.0,2.0,0.05354,12260205363.2,0.01514,0.04122,0.09052,0.5974999999999999,132975923200.0,13.135666497215356,23.23444973199278,0.05126329393754153
24,5,31.0,0.0,11891.0,12353126400.0,4887.0,11960.0,10084.0,19821.0,931.0,343739.0,1307.0,19190.0,912.0,78724.0,8454.0,3169.0,3386.0,506563.0,0.0148,0.0551,0.0164,0.165,0.00614,0.134,0.00914,0.0882,0.0259,0.0537,0.041,0.00608,0.00929,0.0521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0526,0.0536,0.0536,0.0537,0.0542,5.0,2.0,1.0,2.0,0.0,12319506432.0,12308537344.0,12256227328.0,12203630592.0,12213125120.0,3.0,0.05312,12288205619.2,0.01506,0.0411,0.08974000000000001,0.6496,145329049600.0,13.13540595204285,23.237175017861915,0.05078816683210506
26,3,41.0,0.0,11891.0,12352208896.0,4887.0,11960.0,10084.0,19821.0,931.0,343739.0,1169.0,19021.0,912.0,78724.0,8454.0,3169.0,3386.0,506255.0,0.0148,0.0551,0.0164,0.17,0.00637,0.134,0.0094,0.0874,0.0243,0.0537,0.041,0.00608,0.00929,0.0524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0521,0.0526,0.0536,0.0536,0.0537,5.0,5.0,2.0,1.0,2.0,12353126400.0,12319506432.0,12308537344.0,12256227328.0,12203630592.0,3.2,0.052860000000000004,12317921280.0,0.014980000000000002,0.04098,0.08893999999999999,0.702,157681258496.0,13.134797749184505,23.237100742083882,0.05107327018400062
28,5,46.0,0.0,11998.0,12412907520.0,4656.0,11960.0,10084.0,19439.0,931.0,335447.0,1716.0,18851.0,868.0,75686.0,8454.0,3080.0,3223.0,494395.0,0.0148,0.0574,0.0164,0.17,0.00637,0.134,0.00969,0.0867,0.0245,0.0521,0.0398,0.00606,0.00929,0.0523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0524,0.0521,0.0526,0.0536,0.0536,3.0,5.0,5.0,2.0,1.0,12352208896.0,12353126400.0,12319506432.0,12308537344.0,12256227328.0,4.0,0.0526,12349257318.4,0.0149,0.04062,0.08818000000000001,0.7543,170094166016.0,13.111092094478002,23.242002697279265,0.05097824476462945
30,7,118.85714285714286,0.0,12186.0,12420997120.0,4808.0,11481.0,10084.0,19439.0,891.0,330808.0,1763.0,18681.0,897.0,71766.0,8353.0,3080.0,3338.0,485387.0,0.0148,0.0574,0.0164,0.17,0.00621,0.127,0.00996,0.0859,0.0253,0.0521,0.0398,0.00606,0.00929,0.0517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0523,0.0524,0.0521,0.0526,0.0536,5.0,3.0,5.0,5.0,2.0,12412907520.0,12352208896.0,12353126400.0,12319506432.0,12308537344.0,5.0,0.05222,12371749273.6,0.01482,0.040260000000000004,0.08742000000000001,0.8059999999999999,182515163136.0,13.092703850090185,23.24265419372356,0.050407902543845695
32,10,47.0,0.0,12017.0,12421611520.0,4808.0,11481.0,10084.0,19439.0,891.0,330808.0,1809.0,18511.0,897.0,74401.0,8353.0,3080.0,3338.0,487899.0,0.0148,0.0574,0.0164,0.17,0.00621,0.13,0.0102,0.085,0.0253,0.0521,0.0398,0.00606,0.00929,0.0519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0517,0.0523,0.0524,0.0521,0.0526,7.0,5.0,3.0,5.0,5.0,12420997120.0,12412907520.0,12352208896.0,12353126400.0,12319506432.0,6.0,0.05208,12392170291.2,0.0148,0.04028,0.08664000000000001,0.8578999999999999,194936774656.0,13.09786574580393,23.242703657128068,0.05059805276309138
34,5,59.0,0.0,11682.0,12422127616.0,4669.0,11481.0,10084.0,19182.0,899.0,330808.0,1856.0,18412.0,897.0,74401.0,8353.0,3080.0,3338.0,487459.0,0.014,0.0574,0.0164,0.17,0.00621,0.13,0.0105,0.0843,0.0253,0.0521,0.0398,0.00593,0.00929,0.0518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0519,0.0517,0.0523,0.0524,0.0521,10.0,7.0,5.0,3.0,5.0,12421611520.0,12420997120.0,12412907520.0,12352208896.0,12353126400.0,6.0,0.05202,12405970534.4,0.01464,0.040040000000000006,0.08586,0.9096999999999998,207358902272.0,13.096963514771597,23.242745204497183,0.05050298217310676
