Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
2,0,0.0,0.0,0.0,11933786112.0,123.0,139.0,148.0,159.0,314.0,166.0,,4769.0,154.0,158.0,320.0,68.5,218.0,6737.0,0.00195,0.00194,0.000322,0.000519,0.0017,0.000287,0.0061,0.00295,0.000535,0.000303,0.00183,0.00239,0.000456,0.00177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.00177,11933786112.0,8.815518423966498,23.20263938339533,0.001768435395960704
4,0,0.0,0.0,5035.0,11936305152.0,123.0,138.0,148.0,159.0,310.0,166.0,201.0,4734.0,154.0,158.0,320.0,68.5,218.0,6898.0,0.00195,0.00194,0.000322,0.000519,0.0017,0.000569,0.0068,0.00293,0.000535,0.000303,0.00183,0.00265,0.000456,0.00187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00177,,,,,0.0,,,,,11933786112.0,,,,,,,,,,,0.00364,23870091264.0,8.839131752546109,23.202850445848444,0.0018682537266818222
6,0,0.0,0.0,5035.0,11937472512.0,123.0,133.0,148.0,159.0,310.0,1263.0,221.0,4699.0,154.0,158.0,320.0,76.9,218.0,7984.0,0.00195,0.00194,0.000322,0.000519,0.0017,0.000587,0.0075,0.00291,0.000535,0.000303,0.00201,0.00265,0.000456,0.00195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00187,0.00177,,,,0.0,0.0,,,,11936305152.0,11933786112.0,,,,,,,,,,0.0055899999999999995,35807563776.0,8.985320060649112,23.202948240174692,0.0019481012180158782
8,0,0.0,0.0,5035.0,11932729344.0,123.0,195.0,148.0,154.0,310.0,1312.0,240.0,4664.0,154.0,158.0,320.0,76.9,218.0,8075.0,0.00195,0.00194,0.000323,0.00202,0.0017,0.000587,0.0082,0.00288,0.000535,0.000299,0.00201,0.00265,0.000456,0.00213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00195,0.00187,0.00177,,,0.0,0.0,0.0,,,11937472512.0,11936305152.0,11933786112.0,,,,,,,,,0.007719999999999999,47740293120.0,8.996651979432729,23.202550826856562,0.0021277347660618876
10,0,0.0,0.0,5035.0,11932811264.0,121.0,195.0,202.0,357.0,316.0,1312.0,260.0,4630.0,154.0,158.0,320.0,76.9,209.0,8312.0,0.00195,0.00253,0.000526,0.00202,0.00164,0.000587,0.0089,0.00286,0.000535,0.000309,0.00202,0.00265,0.000534,0.00226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00213,0.00195,0.00187,0.00177,,0.0,0.0,0.0,0.0,,11932729344.0,11937472512.0,11936305152.0,11933786112.0,,0.0,0.001996,11934620876.8,0.00195,0.00194,0.0029059999999999997,0.00998,59673104384.0,9.025575833531088,23.202557691984936,0.002257450041215208
12,0,0.0,0.0,5314.0,11924406272.0,125.0,195.0,202.0,367.0,316.0,1312.0,280.0,4595.0,148.0,1037.0,419.0,76.9,251.0,9324.0,0.00195,0.00253,0.000526,0.00202,0.00165,0.000587,0.0096,0.00295,0.000518,0.000871,0.00202,0.00266,0.000534,0.00237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00226,0.00213,0.00195,0.00187,0.00177,0.0,0.0,0.0,0.0,0.0,11932811264.0,11932729344.0,11937472512.0,11936305152.0,11933786112.0,0.0,0.002116,11932744908.8,0.00195,0.0019779999999999997,0.002906,0.01235,71597510656.0,9.140454244512016,23.20185308405366,0.0023671959794785338
14,0,0.0,2045.0,5314.0,11929956352.0,125.0,199.0,202.0,367.0,316.0,1312.0,300.0,4560.0,166.0,1037.0,426.0,76.9,251.0,9337.0,0.00195,0.00253,0.000526,0.0021,0.0017,0.00276,0.0103,0.00292,0.000998,0.000871,0.00202,0.00266,0.000534,0.00266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00237,0.00226,0.00213,0.00195,0.00187,0.0,0.0,0.0,0.0,0.0,11924406272.0,11932811264.0,11932729344.0,11937472512.0,11936305152.0,0.0,0.0022739999999999995,11931475148.8,0.00195,0.002016,0.002904,0.015009999999999999,83527467008.0,9.141847375530883,23.202318414457757,0.002656468461209213
16,11,123.0,4323.0,5314.0,11941486592.0,210.0,199.0,202.0,367.0,316.0,1312.0,320.0,1843.0,166.0,1037.0,426.0,76.9,251.0,6725.0,0.00222,0.00253,0.000526,0.0021,0.00164,0.00276,0.0076,0.0029,0.00102,0.000871,0.00202,0.00266,0.000544,0.00245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266,0.00237,0.00226,0.00213,0.00195,0.0,0.0,0.0,0.0,0.0,11929956352.0,11924406272.0,11932811264.0,11932729344.0,11937472512.0,2.2,0.0023740000000000002,11932277964.8,0.0020039999999999997,0.0020180000000000003,0.002902,0.01746,95468953600.0,8.813735892300215,23.20328444243711,0.002447003643051784
18,14,133.71428571428572,4676.0,10214.0,11933011968.0,210.0,199.0,202.0,367.0,316.0,6280.0,340.0,1829.0,166.0,1037.0,426.0,136.0,251.0,11758.0,0.00222,0.00253,0.000532,0.0021,0.00186,0.00276,0.00808,0.00288,0.00102,0.000871,0.00202,0.00274,0.000544,0.00251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00245,0.00266,0.00237,0.00226,0.00213,11.0,0.0,0.0,0.0,0.0,11941486592.0,11929956352.0,11924406272.0,11932811264.0,11932729344.0,5.0,0.00245,11932334489.6,0.002058,0.00202,0.002902,0.01997,107401965568.0,9.372374183823416,23.20257451135027,0.0025068552111807353
20,18,296.22222222222223,5030.0,10214.0,11934535680.0,210.0,199.0,202.0,367.0,317.0,6619.0,955.0,1815.0,166.0,1037.0,426.0,136.0,251.0,12698.0,0.00222,0.00253,0.000532,0.0021,0.00186,0.00276,0.00857,0.00286,0.00102,0.000871,0.00289,0.00274,0.000771,0.00264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00251,0.00245,0.00266,0.00237,0.00226,14.0,11.0,0.0,0.0,0.0,11933011968.0,11941486592.0,11929956352.0,11924406272.0,11932811264.0,8.6,0.002526,11932679372.8,0.002112,0.002194,0.002902,0.02261,119336501248.0,9.449278529189034,23.202702192000533,0.0026365213211297605
