Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
16,3,64.0,87.1,0,11367145472,111,138,140,155,314,161,191,3777.0,152,159,323,69.0,215,5907,0.00158,0.00184,0.000297,0.000493,0.00148,0.000232,0.00702,0.00177,0.000451,0.000289,0.00171,0.00234,0.000445,0.00166,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.00166,11367145472,8.68406264365127,23.153993055404932,0.001658623722869518
18,7,81.14285714285714,87.9,0,11365793792,111,138,140,158,314,161,212,3749.0,151,159,329,69.0,220,5911,0.00158,0.0019,0.000297,0.000487,0.00148,0.000232,0.00781,0.00182,0.000429,0.000317,0.00183,0.00234,0.000445,0.00175,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00166,,,,,3.0,,,,,11367145472.0,,,,,,,,,,,0.00341,22732939264,8.684739462628038,23.153874137214395,0.0017484705341168846
20,9,59.111111111111114,87.3,294,11362508800,115,138,140,163,314,161,232,3995.0,151,159,329,73.0,224,6194,0.00158,0.0019,0.000277,0.000487,0.00148,0.000232,0.00861,0.0018,0.000432,0.000317,0.00183,0.00234,0.000457,0.00181,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00175,0.00166,,,,7.0,3.0,,,,11365793792.0,11367145472.0,,,,,,,,,,0.00522,34095448064,8.731497794063243,23.153585071015165,0.0018083639239010049
22,16,98.625,86.7,304,11361492992,116,138,140,163,314,161,171,3965.0,151,159,329,73.0,224,6104,0.00158,0.0019,0.000287,0.000487,0.00143,0.000232,0.0094,0.00179,0.000457,0.000317,0.00183,0.00234,0.000457,0.00188,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00181,0.00175,0.00166,,,9.0,7.0,3.0,,,11362508800.0,11365793792.0,11367145472.0,,,,,,,,,0.0070999999999999995,45456941056,8.716863386544805,23.15349566704399,0.0018782350117723604
24,12,46.75,239.0,593,11365306368,116,137,140,163,313,161,171,3935.0,151,159,326,73.0,224,6069,0.00158,0.0019,0.000287,0.000487,0.0015,0.000232,0.00593,0.00178,0.000457,0.000317,0.00183,0.0024,0.000457,0.0016,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00188,0.00181,0.00175,0.00166,,16.0,9.0,7.0,3.0,,11361492992.0,11362508800.0,11365793792.0,11367145472.0,,9.4,0.0017399999999999998,11364449484.8,0.00158,0.0018059999999999999,0.0017919999999999998,0.0087,56822247424,8.711113884053544,23.15383125112471,0.0015987213636970278
26,20,163.45,406.0,606,11369754624,116,137,180,163,313,2443,171,3906.0,152,712,326,73.0,224,8916,0.00167,0.00185,0.000287,0.000487,0.0015,0.000232,0.00639,0.00176,0.000457,0.000317,0.00177,0.00239,0.000456,0.00163,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0016,0.00188,0.00181,0.00175,0.00166,12.0,16.0,9.0,7.0,3.0,11365306368.0,11361492992.0,11362508800.0,11365793792.0,11367145472.0,12.8,0.001734,11364971315.2,0.001598,0.0018180000000000002,0.00179,0.010329999999999999,68192002048,9.095714846134879,23.154222563561298,0.001628672991819852
28,23,154.7826086956522,437.0,606,11375300608,116,137,180,163,302,2556,474,3876.0,152,724,326,70.9,224,9299,0.00167,0.00292,0.000287,0.000487,0.0015,0.000236,0.00685,0.00175,0.000457,0.000317,0.00183,0.00239,0.000456,0.00176,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00163,0.0016,0.00188,0.00181,0.00175,20.0,12.0,16.0,9.0,7.0,11369754624.0,11365306368.0,11361492992.0,11362508800.0,11365793792.0,16.0,0.0017360000000000001,11366872678.4,0.001616,0.0018180000000000002,0.0017759999999999998,0.012089999999999998,79567302656,9.137769679141348,23.15471022859907,0.0017584530148632579
30,21,66.42857142857143,468.0,606,11377790976,116,137,182,163,321,2556,505,3846.0,152,747,326,73.4,224,9346,0.00167,0.00292,0.000287,0.00463,0.0015,0.000236,0.0073,0.00174,0.000457,0.000984,0.00183,0.00239,0.000456,0.0022,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00176,0.00163,0.0016,0.00188,0.00181,23.0,20.0,12.0,16.0,9.0,11375300608.0,11369754624.0,11365306368.0,11361492992.0,11362508800.0,18.4,0.001814,11369929113.6,0.001634,0.0018180000000000002,0.001764,0.014289999999999999,90945093632,9.142810715182584,23.15492913230282,0.0021975835434872217
32,29,100.17241379310344,498.0,606,11382841344,111,133,182,555,321,2556,536,3816.0,152,747,472,73.4,224,9877,0.00167,0.00292,0.000512,0.0048,0.0015,0.00229,0.00776,0.00173,0.000457,0.000984,0.00183,0.00239,0.000456,0.00244,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.0022,0.00176,0.00163,0.0016,0.00188,21.0,23.0,20.0,12.0,16.0,11377790976.0,11375300608.0,11369754624.0,11365306368.0,11361492992.0,21.0,0.001926,11374198784.0,0.001652,0.0018180000000000002,0.001752,0.01673,102327934976,9.19806534110057,23.15537291330252,0.002437028033417257
34,26,97.6153846153846,530.0,606,11389280256,198,132,182,555,321,2556,567,3787.0,147,747,472,73.4,217,9952,0.00167,0.00292,0.000512,0.0048,0.0015,0.00229,0.00822,0.00178,0.000457,0.00102,0.00177,0.00239,0.000456,0.00248,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0.00244,0.0022,0.00176,0.00163,0.0016,29.0,21.0,23.0,20.0,12.0,11382841344.0,11377790976.0,11375300608.0,11369754624.0,11365306368.0,23.8,0.002102,11378993561.6,0.00167,0.0018059999999999999,0.001752,0.019209999999999998,113717215232,9.205629292246064,23.155938421627493,0.0024769298748925353
