Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,memory_lag_1,memory_lag_2,memory_lag_3,memory_lag_4,memory_lag_5,Requests je Sekunde_rolling_avg_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_pod-pod-8_rolling_avg_5,cpu_system_cumsum,memory_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,cpu_system_log_scaled
2,0,0.0,0.0,0,11175714816,108,133,145,154,318,100,2271.0,,152,150,317,70.4,216,4134,0.00207,0.00169,0.000294,0.000385,0.00186,0.000284,0.00277,,0.000433,0.000308,0.00188,0.00226,0.0004,0.00122,0.0,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0.00122,11175714816,8.327242607457793,23.137008941127394,0.001219256404729373
4,0,0.0,0.0,0,11107840000,108,133,145,151,318,100,2271.0,,152,150,323,70.4,216,4138,0.00207,0.0017,0.000299,0.000385,0.00186,0.000284,0.00277,,0.000433,0.000308,0.00188,0.00226,0.0004,0.00122,0.0,,0,0,0,0,0,0,0,0,0,0,0,0.00122,,,,,0.0,,,,,11175714816.0,,,,,,,,,,,0.00244,22283554816,8.328209491748732,23.130917002344123,0.001219256404729373
6,0,0.0,0.0,0,11106107392,108,133,145,151,306,157,2190.0,,152,152,323,70.4,216,4103,0.00201,0.0017,0.000299,0.000385,0.00186,0.000284,0.00268,,0.000425,0.000308,0.00188,0.00226,0.0004,0.00121,0.0,,0,0,0,0,0,0,0,0,0,0,0,0.00122,0.00122,,,,0.0,0.0,,,,11107840000.0,11175714816.0,,,,,,,,,,0.0036499999999999996,33389662208,8.319717386850606,23.130761009537192,0.0012092685399849542
8,0,0.0,0.0,0,11105906688,108,129,145,151,317,157,2266.0,,152,152,323,68.0,216,4184,0.00208,0.0017,0.000291,0.000372,0.00186,0.000284,0.00266,,0.00044,0.000308,0.00188,0.00226,0.000385,0.00121,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0.00122,0.00122,,,0.0,0.0,0.0,,,11106107392.0,11107840000.0,11175714816.0,,,,,,,,,0.00486,44495568896,8.339261982923576,23.130742937875677,0.0012092685399849542
10,0,0.0,0.0,0,11108880384,110,138,145,151,317,157,2194.0,,152,152,323,68.0,215,4122,0.00208,0.00173,0.000302,0.000523,0.00186,0.000294,0.00264,,0.00044,0.000308,0.00181,0.00226,0.000388,0.00122,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00121,0.00121,0.00122,0.00122,,0.0,0.0,0.0,0.0,,11105906688.0,11106107392.0,11107840000.0,11175714816.0,,0.0,0.0012159999999999999,11120889856.0,0.002062,0.001866,,0.0060799999999999995,55604449280,8.3243363327069,23.131010660092223,0.001219256404729373
12,5,269.0,0.0,0,11163316224,110,137,139,151,317,160,2179.0,124.0,150,152,323,70.1,214,4226,0.00208,0.00173,0.000302,0.000529,0.00186,0.000294,0.00262,,0.00044,0.000308,0.00188,0.00226,0.000402,0.00122,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0.00121,0.00121,0.00122,0.00122,0.0,0.0,0.0,0.0,0.0,11108880384.0,11105906688.0,11106107392.0,11107840000.0,11175714816.0,1.0,0.001216,11118410137.6,0.002064,0.001866,,0.007299999999999999,66767765504,8.34924780056679,23.135898902536212,0.001219256404729373
14,11,55.18181818181818,0.0,0,11155308544,109,137,144,151,317,160,2164.0,143.0,150,153,323,70.1,214,4234,0.00209,0.00173,0.000304,0.000529,0.00186,0.000347,0.0026,,0.00044,0.000308,0.00188,0.00226,0.000402,0.00123,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0.00122,0.00121,0.00121,0.00122,5.0,0.0,0.0,0.0,0.0,11163316224.0,11108880384.0,11105906688.0,11106107392.0,11107840000.0,3.2,0.001218,11127903846.4,0.0020679999999999995,0.001866,,0.00853,77923074048,8.351138607086154,23.135181324242197,0.0012292441697173459
16,12,94.0,611.0,0,11158298624,113,137,144,145,317,160,2148.0,162.0,152,153,323,70.1,214,4239,0.00209,0.00173,0.000304,0.000529,0.0018,0.000347,0.00258,,0.00044,0.000349,0.00188,0.00226,0.000402,0.00123,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0.00122,0.00122,0.00121,0.00121,11.0,5.0,0.0,0.0,0.0,11155308544.0,11163316224.0,11108880384.0,11105906688.0,11106107392.0,5.6,0.001222,11138342092.8,0.002084,0.001866,,0.00976,89081372672,8.352318548226004,23.135449329320455,0.0012292441697173459
18,15,98.53333333333332,29758.0,0,11200950272,113,137,144,201,317,160,2133.0,181.0,152,153,323,70.1,214,4299,0.00209,0.00173,0.000304,0.000529,0.00188,0.000347,0.00257,0.00593,0.000424,0.000349,0.00188,0.00226,0.000402,0.00172,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00123,0.00123,0.00122,0.00122,0.00121,12.0,11.0,5.0,0.0,0.0,11158298624.0,11155308544.0,11163316224.0,11108880384.0,11105906688.0,8.6,0.001324,11157350809.6,0.0020859999999999997,0.001866,,0.011479999999999999,100282322944,8.366370301681654,23.13926445745183,0.001718522493964307
20,13,144.76923076923077,34636.0,2219,11205464064,113,137,144,201,317,160,2118.0,200.0,152,148,323,70.1,214,4299,0.00209,0.00173,0.000304,0.000529,0.00189,0.000347,0.00255,0.00658,0.000592,0.000355,0.00188,0.00226,0.000402,0.00179,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.00172,0.00123,0.00123,0.00122,0.00122,15.0,12.0,11.0,5.0,0.0,11200950272.0,11158298624.0,11155308544.0,11163316224.0,11108880384.0,11.2,0.001438,11176667545.6,0.0020879999999999996,0.00188,,0.013269999999999999,111487787008,8.366370301681654,23.139667359227452,0.0017883998592167721
