Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_system_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,i_o_read_log_scaled,i_o_write_log_scaled
26,2,60.0,0,1547,12107333632,122,144,181,169,320,1789,5808.0,212,146,162,325,71.1,227,9675,0.00189,0.00201,0.000349,0.000854,0.00169,0.00057,0.0053,0.0075,0.000342,0.000323,0.00171,0.00226,0.000444,0.0021,,,,,,,,,,,,,,,0.0021,9.177403871729918,23.217077191325448,0.0,7.344719054149673
28,3,39.0,0,1520,12108156928,122,144,181,169,317,1847,5764.0,226,146,191,325,71.1,227,9730,0.00189,0.00201,0.000349,0.000854,0.00168,0.00057,0.00522,0.00504,0.000342,0.000323,0.00171,0.00219,0.000444,0.00188,0.0021,,,,,2.0,,,,,,,,,0.00398,9.18307194482199,23.217145188791633,0.0,7.327123292259293
30,6,26.0,0,1515,12108808192,122,139,181,168,317,1847,5720.0,171,146,191,325,72.9,227,9627,0.00188,0.00194,0.000349,0.000854,0.00168,0.00057,0.00518,0.00537,0.000342,0.000323,0.00171,0.00217,0.000444,0.0019,0.00188,0.0021,,,,3.0,2.0,,,,,,,,0.00588,9.172430798902962,23.217198974556847,0.0,7.323830566202317
32,3,39.0,0,1529,12103020544,125,179,181,168,318,1847,5676.0,171,146,191,327,72.9,227,9629,0.00188,0.00235,0.000349,0.00187,0.00168,0.000844,0.00514,0.0057,0.000342,0.000323,0.00171,0.00226,0.000444,0.00207,0.0019,0.00188,0.0021,,,6.0,3.0,2.0,,,,,,,0.007949999999999999,9.172638504792172,23.21672089021445,0.0,7.333023014386481
34,5,75.0,0,1529,12148690944,125,179,238,168,318,2695,5561.0,327,148,191,327,71.0,226,10574,0.00188,0.00235,0.000349,0.00195,0.00168,0.000844,0.0051,0.00603,0.000342,0.000323,0.00166,0.00226,0.000515,0.00211,0.00207,0.0019,0.00188,0.0021,,3.0,6.0,3.0,2.0,,0.002012,12115202048.0,0.0018839999999999998,0.0017000000000000001,0.01006,9.266248003914479,23.22048725977621,0.0,7.333023014386481
36,8,71.0,0,1496,12161073152,125,179,238,168,318,2695,5518.0,345,148,191,316,71.0,218,10530,0.00188,0.00235,0.000349,0.00195,0.00168,0.000844,0.00506,0.00637,0.000577,0.000323,0.00171,0.00226,0.000515,0.00215,0.00211,0.00207,0.0019,0.00188,0.0021,5.0,3.0,6.0,3.0,2.0,0.0020220000000000004,12125949952.0,0.001882,0.0017000000000000001,0.012209999999999999,9.262078567380597,23.221505962304207,0.0,7.311218384419629
38,5,34.6,0,1496,12171853824,125,179,238,168,318,2695,5475.0,363,148,191,380,71.0,244,10593,0.00188,0.00234,0.000445,0.00195,0.00168,0.00088,0.00502,0.0067,0.000577,0.00033,0.00171,0.00226,0.000515,0.00219,0.00215,0.00211,0.00207,0.0019,0.00188,8.0,5.0,3.0,6.0,3.0,0.002084,12138689331.2,0.00188,0.0017000000000000001,0.0144,9.268043082104471,23.222392059789737,0.0,7.311218384419629
40,8,87.75,0,1496,12178214912,125,179,238,168,328,2695,5431.0,380,148,191,380,71.0,244,10578,0.00194,0.00234,0.000447,0.00195,0.00168,0.00088,0.00492,0.00703,0.000605,0.000641,0.00171,0.00226,0.000515,0.00224,0.00219,0.00215,0.00211,0.00207,0.0019,5.0,8.0,5.0,3.0,6.0,0.002152,12152570675.2,0.001892,0.0016999999999999997,0.01664,9.266626182986775,23.22291452962037,0.0,7.311218384419629
42,10,170.1,0,1521,12195266560,121,179,238,164,328,2695,5388.0,398,148,663,380,71.0,244,11016,0.00194,0.00234,0.000447,0.00195,0.00168,0.00088,0.00489,0.00736,0.000605,0.000641,0.00171,0.0022,0.000522,0.00226,0.00224,0.00219,0.00215,0.00211,0.00207,8.0,5.0,8.0,5.0,3.0,0.00219,12171019878.4,0.001904,0.0017000000000000001,0.0189,9.307194813340065,23.22431372659599,0.0,7.3277805384216315
44,11,38.90909090909091,0,1545,12440707072,120,260,237,416,328,2674,5345.0,416,148,663,383,70.2,244,11304,0.00194,0.00234,0.000447,0.00195,0.00173,0.00192,0.00485,0.00577,0.000605,0.000641,0.00165,0.00227,0.000522,0.00222,0.00226,0.00224,0.00219,0.00215,0.00211,10.0,8.0,5.0,8.0,5.0,0.002212,12229423104.0,0.001916,0.0016979999999999999,0.02112,9.33300038471207,23.244239761307785,0.0,7.343426229147367
46,9,76.0,0,1577,12447469568,155,260,237,416,328,4918,5301.0,433,148,663,383,101.0,244,13588,0.00194,0.00234,0.000447,0.00195,0.00173,0.00192,0.00481,0.00602,0.000605,0.000641,0.00212,0.00227,0.000522,0.00228,0.00222,0.00226,0.00224,0.00219,0.00215,11.0,10.0,8.0,5.0,8.0,0.002238,12286702387.2,0.0019280000000000002,0.00178,0.0234,9.517015920920498,23.24478319172968,0.0,7.363913501405819
48,8,56.25,0,1530,12526379008,155,266,237,416,328,4918,5258.0,666,153,694,383,101.0,267,13843,0.00194,0.00234,0.000523,0.00196,0.00173,0.00192,0.00477,0.00627,0.000605,0.000641,0.00212,0.00229,0.000579,0.00231,0.00228,0.00222,0.00226,0.00224,0.00219,9.0,11.0,10.0,8.0,5.0,0.002262,12357607424.0,0.00194,0.0018620000000000002,0.02571,9.535607204755236,23.251102578375683,0.0,7.333676395657684
50,10,136.3,0,1530,12639064064,155,266,296,416,328,4918,4946.0,692,155,694,383,101.0,271,13622,0.00205,0.00331,0.000523,0.0074,0.00173,0.00192,0.00473,0.00651,0.000605,0.000641,0.00212,0.00229,0.000579,0.00287,0.00231,0.00228,0.00222,0.00226,0.00224,8.0,9.0,11.0,10.0,8.0,0.0023880000000000004,12449777254.4,0.001962,0.001944,0.02858,9.51951481976606,23.260058177433113,0.0,7.333676395657684
52,12,114.66666666666669,0,1507,12696190976,155,266,296,416,328,4918,5101.0,718,155,694,383,101.0,271,13803,0.00205,0.00331,0.000523,0.0074,0.00173,0.00192,0.00466,0.00676,0.000843,0.00108,0.00215,0.00229,0.000579,0.00294,0.00287,0.00231,0.00228,0.00222,0.00226,10.0,8.0,9.0,11.0,10.0,0.002524,12549962137.6,0.001984,0.002032,0.03152,9.532713684217894,23.26456786235417,0.0,7.318539548567902
54,15,208.73333333333332,0,1487,12798046208,155,266,296,430,328,4918,5058.0,744,155,694,383,101.0,271,13800,0.00205,0.00323,0.000523,0.0074,0.00166,0.00197,0.00462,0.00701,0.000843,0.00111,0.00215,0.00229,0.000571,0.00295,0.00294,0.00287,0.00231,0.00228,0.00222,12.0,10.0,8.0,9.0,11.0,0.0026699999999999996,12621429964.8,0.002006,0.0021319999999999998,0.03447,9.53249633228804,23.27255835629945,0.0,7.305188215393037
56,18,71.22222222222223,0,1487,12808073216,156,266,292,430,336,4918,5016.0,771,155,1532,370,101.0,271,14613,0.00205,0.00335,0.000541,0.0074,0.00172,0.00204,0.00458,0.00726,0.000843,0.00111,0.00215,0.00229,0.000575,0.00299,0.00295,0.00294,0.00287,0.00231,0.00228,15.0,12.0,10.0,8.0,9.0,0.002812,12693550694.4,0.002028,0.0021379999999999997,0.03746,9.589735252351163,23.273341529129794,0.0,7.305188215393037
58,15,126.8,0,1514,12814835712,156,266,302,430,336,4918,4973.0,797,164,1532,527,101.0,271,14773,0.00205,0.00335,0.000541,0.0074,0.00172,0.00408,0.00454,0.00751,0.000861,0.00111,0.00215,0.00229,0.000594,0.00318,0.00299,0.00295,0.00294,0.00287,0.00231,18.0,15.0,12.0,10.0,8.0,0.002986,12751242035.2,0.00205,0.002144,0.04064,9.600624158088683,23.273869376781715,0.0,7.323170717943469
60,24,157.66666666666666,0,1542,12829114368,156,443,302,752,336,4918,4930.0,823,164,1532,527,135.0,271,15290,0.00205,0.00335,0.000541,0.0134,0.0018,0.00408,0.0045,0.00776,0.000861,0.00111,0.00279,0.00229,0.000594,0.00376,0.00318,0.00299,0.00295,0.00294,0.00287,15.0,18.0,15.0,12.0,10.0,0.003164,12789252096.0,0.00205,0.002278,0.0444,9.63501969900815,23.274982985054226,0.0,7.341483852363161
