Timestamp,Requests je Sekunde,Durchschnittliche Antwortzeitintervalle,i_o_read,i_o_write,memory,network_outgoing_pod-pod-1,network_outgoing_pod-pod-2,network_outgoing_pod-pod-3,network_outgoing_pod-pod-4,network_outgoing_pod-pod-5,network_outgoing_pod-pod-6,network_outgoing_pod-pod-7,network_outgoing_pod-pod-8,network_outgoing_pod-pod-9,network_outgoing_pod-pod-10,network_outgoing_pod-pod-11,network_outgoing_pod-pod-12,network_outgoing_pod-pod-13,network_outgoing_system,cpu_pod-pod-1,cpu_pod-pod-2,cpu_pod-pod-3,cpu_pod-pod-4,cpu_pod-pod-5,cpu_pod-pod-6,cpu_pod-pod-7,cpu_pod-pod-8,cpu_pod-pod-9,cpu_pod-pod-10,cpu_pod-pod-11,cpu_pod-pod-12,cpu_pod-pod-13,cpu_system,pod-restart-count-pod-1,pod-restart-count-pod-2,pod-restart-count-pod-3,pod-restart-count-pod-4,pod-restart-count-pod-5,pod-restart-count-pod-6,pod-restart-count-pod-7,pod-restart-count-pod-8,pod-restart-count-pod-9,pod-restart-count-pod-10,pod-restart-count-pod-11,pod-restart-count-pod-12,pod-restart-count-pod-13,cpu_system_lag_1,cpu_system_lag_2,cpu_system_lag_3,cpu_system_lag_4,cpu_system_lag_5,Requests je Sekunde_lag_1,Requests je Sekunde_lag_2,Requests je Sekunde_lag_3,Requests je Sekunde_lag_4,Requests je Sekunde_lag_5,cpu_system_rolling_avg_5,memory_rolling_avg_5,cpu_pod-pod-1_rolling_avg_5,cpu_pod-pod-11_rolling_avg_5,cpu_system_cumsum,network_outgoing_system_log_scaled,memory_log_scaled,i_o_read_log_scaled,i_o_write_log_scaled
10,0,0.0,0,0,11289747456,111,139,178,153,322,1001,4581.0,143,154,168,325,67.3,227,7569,0.0019,0.00187,0.000331,0.000665,0.00172,0.000365,0.00262,0.00702,0.000419,0.000313,0.00163,0.00225,0.000455,0.0018,0.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,0.0018,8.931948346431495,23.147160846124404,0.0,0.0
12,0,0.0,0,0,11288674304,110,139,177,153,322,1001,4548.0,158,154,168,325,67.3,229,7552,0.0019,0.00187,0.000331,0.000665,0.00172,0.00037,0.0026,0.00777,0.000415,0.000323,0.00163,0.00225,0.000455,0.00186,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,,,,,0.0,,,,,,,,,0.00366,8.929700114313448,23.147065786158556,0.0,0.0
14,0,0.0,0,0,11289317376,110,139,177,197,320,1001,4516.0,173,153,168,325,67.3,229,7574,0.0019,0.00195,0.000331,0.000665,0.00172,0.00037,0.00258,0.00496,0.000415,0.000323,0.00163,0.00225,0.000455,0.00163,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0.0018,,,,0.0,0.0,,,,,,,,0.0052899999999999996,8.93260863037757,23.147122750658255,0.0,0.0
16,0,0.0,0,0,11292655616,110,139,177,203,314,2466,4483.0,188,153,168,325,67.3,227,9021,0.00189,0.00196,0.000331,0.000676,0.00172,0.00037,0.00256,0.00539,0.000416,0.000313,0.00163,0.00225,0.000455,0.00166,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00163,0.00186,0.0018,,,0.0,0.0,0.0,,,,,,,0.00695,9.107421317968342,23.1474184059604,0.0,0.0
18,7,262.0,0,0,11298971648,110,134,177,203,314,2466,4451.0,202,153,168,325,67.3,227,8999,0.00189,0.00203,0.000331,0.000676,0.00172,0.000359,0.00242,0.00583,0.000416,0.000604,0.00157,0.00209,0.000455,0.0017,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0.00163,0.00186,0.0018,,0.0,0.0,0.0,0.0,,0.00173,11291873280.0,0.0018960000000000001,0.001618,0.00865,9.104979856318357,23.14797755401027,0.0,0.0
20,11,320.90909090909093,0,0,11305426944,110,243,177,203,314,2466,4418.0,434,153,168,325,67.3,227,9307,0.00189,0.00203,0.000331,0.000676,0.00172,0.00179,0.00242,0.00626,0.000416,0.000604,0.00163,0.00222,0.000455,0.00187,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.00166,0.00163,0.00186,0.0018,7.0,0.0,0.0,0.0,0.0,0.001744,11295009177.6,0.0018939999999999999,0.001618,0.01052,9.138629524422182,23.148548707995953,0.0,0.0
22,22,114.36363636363636,0,0,11309547520,110,243,177,203,314,2549,4386.0,463,153,169,444,66.4,227,9505,0.00189,0.00203,0.000331,0.000676,0.00167,0.00179,0.00242,0.00669,0.000416,0.000604,0.00163,0.00229,0.000528,0.00191,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00187,0.0017,0.00166,0.00163,0.00186,11.0,7.0,0.0,0.0,0.0,0.001754,11299183820.8,0.001892,0.001618,0.01243,9.159678457173955,23.14891311928917,0.0,0.0
24,22,115.27272727272728,0,0,11312218112,110,243,177,203,314,2549,4206.0,493,153,1473,444,66.4,227,10658,0.00183,0.00203,0.000308,0.000676,0.00166,0.00188,0.00249,0.00712,0.000416,0.000604,0.00235,0.00229,0.000528,0.00201,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0.00187,0.0017,0.00166,0.00163,22.0,11.0,7.0,0.0,0.0,0.00183,11303763968.0,0.001878,0.0017620000000000001,0.01444,9.274159884689137,23.149149227474147,0.0,0.0
26,13,312.2307692307692,0,4009,11403481088,110,243,177,701,314,2549,4348.0,522,144,1473,435,64.3,227,11308,0.00223,0.00369,0.00048,0.00857,0.00176,0.00188,0.00247,0.00654,0.000406,0.000604,0.00235,0.00229,0.000528,0.00282,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0.00191,0.00187,0.0017,0.00166,22.0,22.0,11.0,7.0,0.0,0.002062,11325929062.4,0.0019460000000000002,0.0019060000000000001,0.01726,9.333354147871328,23.1571845044186,0.0,8.296546520300614
28,23,729.8695652173913,0,4009,11423621120,106,243,353,701,314,2549,4315.0,552,149,1473,438,144.0,303,11641,0.00223,0.00369,0.000496,0.0088,0.00176,0.00188,0.00245,0.00691,0.000419,0.000605,0.00235,0.00229,0.000528,0.00287,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.00282,0.00201,0.00191,0.00187,0.0017,13.0,22.0,22.0,11.0,7.0,0.0022960000000000003,11350858956.8,0.0020139999999999997,0.002062,0.020130000000000002,9.362374527831681,23.15894907681509,0.0,8.296546520300614
